,Unnamed: 0,author,date,section,word_count,abstract,headline,source
10,10,"KRAWCZENIUK, BORYS","Apr 13, 2012",News,545,"""These are people who signed pledges never to do anything to enact revenue legislation no matter what,"" Mr. [Matt Cartwright] said. ""You can't compromise with people like that because all you ever end up doing is giving in to them because they refuse to give you anything. ... We have to blow the lid off these people."" ""Warren Buffett thinks that would be a good idea. Bill Gates thinks that would be a good idea,"" he said. ""It's not much to them. To this nation, it's a fortune, a boatload of money that we don't need to be going into debt for to give an extra 3 percent to the wealthiest Americans."" ""So let's call it Obamacare because that makes it scary,"" Mr. Cartwright said. ""And then let's have people like Sarah Palin talk about death panels. Death panels. Nonsense. And that's all spin. We Democrats ... have to do a better job of spinning the message. We've been getting beaten in the court of public opinion.""",Cartwright Rips Tea Party For Damaging Nation,The Times - Tribune
11,11,Anonymous,"Jun 11, 2011",Opinion,755,"It's brutal out there, and I'm not talking about the run up to summer with the recent heat wave, but with the Obama economy. The headlines this past week, tell a story of weak job creation, falling home prices, lagging consumer spending and a sell-off in stocks. It's the Obamanomics version of Murderers' Row. Then there is the Sultan of Swat, better known, in this case, as the nation's unemployment rate that was supposed to drop beginning in August of 2009 to 8 percent. According to the Bureau of Labor Statistics, it's now 9.1 percent. The stats are worse for blacks; it rose to 16.2 percent. Despite the increase, Obama's approval rating among blacks is a phenomenal 85 percent. To continue with the box score: Obama's Steinbrenneresque spending binge increased federal spending by 28 percent - all of it during a recession. According to the Government Accountability Office, for every dollar spent in 2011, 43 cents must be borrowed. Obama has run up more debt than under all the other White House occupants in history - from George Washington to George W. Bush - combined. This is not opinion, but fact. Like Casey Stengel said, you can look it up.",An Un-stimulating Strikeout,The News - Item
12,12,,"Oct 9, 2011",Opinion,976,"The Federal Trade Commission's ""We Don't Serve Teens"" campaign includes an informative website (www.DontServeTeens.gov) where parents can get information on how to reduce teens' access to alcohol. This public service campaign and greater parental vigilance are clearly having a positive effect. The ""poor"" richer Americans must not pay their fair share - only middle America and the poor must suffer? As Rush Limbaugh stated upon Obama's election - ""We must make sure he fails."" Dr. [Ronnie Laing] wrote the groundbreaking books ""The Divided Self"" and ""The Politics of Experience"" and fearlessly challenged the establishment.",Letters To The Editor 10/10/2011,The Times - Tribune
13,13,"KRAWCZENIUK, BORYS","Apr 07, 2011",News,808,"The shutdown would come at midnight tonight if Congress fails to pass a spending bill for the rest of the budget year, which ends Sept. 30. Since Oct. 1 of last year, Congress has passed a series of continuing resolutions to keep the federal government operating.",Local Congressmen: Don't Pay Us During Shutdown,The Daily Review
14,14,"McAuliffe, Josh","Sep 13, 2011",News,995,"""I thought, 'Who do I know that's happiest in their field?' It's teachers, because they get to make a difference in their students' lives,"" she said. ""I loved it,"" said Mrs. [Joe Castrogiovanni], who earned her master's degree and principal's certificate at the University of Scranton. ""It gave me the chance to be the decision maker."" ""I tell the kids, 'This is your home away from home,'"" Mrs. Castrogiovanni said. ""We want it to be a happy, warm, comforting place.""",Northeast Woman: Judy Pinataro Castrogiovanni,The Times - Tribune
15,15,SARAH HOFIUS HALL,"Sep 30, 2012",News,871,"""It's different - very, very different,"" she said. ""We're trying to continue to still expose kids to different fruits and vegetables,"" she said. ""Raw carrots are huge here. ... at least we know the kids will always take that."" ""It's taking the emphasis off food,"" she said. ""Food doesn't need to be for a celebration or reward.""",School Lunches Get Healther In NEPA,The Times - Tribune
16,16,Anonymous,"Sep 2, 2011",Opinion,495,"I don't own a computer so I can't vote in your e-poll regarding the Ohio State House considering opening a bar on the premises but still felt the need to comment. They're already drunk with power, spend taxpayer money like drunken sailors, sowhy not complete the circle? That's my opinion. The Democrats locked the doors and wouldn't let the Republicans in the hall when they wrote Obamacare. Pelosi said you'll find out what's in it when we pass it. Now they want the Republicans to do what the Democrats want. What a joke. I never thought I'd say this but this clown in Washington, [Obama], makes Jimmy Carter look like a genius. He's unbelievable.",Thunder/Enlightning,Republican & Herald
17,17,,"Nov 5, 2012",News,188,"Scranton School District Superintendent Bill King said Saturday he was contacted by the [Barack Obama] campaign that afternoon, but had not been given any specifics about the visit. Details were released late Sunday, but Obama campaign spokeswoman Devora Kaye said she had no specifics on the format of [Bill Clinton]'s visit.",Former President Clinton Due At Scranton High Tonight,Citizens' Voice
18,18,,"Sep 29, 2012",Opinion,209,"All Americans must remember that ""insanity"" is defined as ""Continuing to do the same things while expecting a different result."" It is a simple choice: Be insane and share the responsibility for [Obama]'s continuing and increasing failures. Be sane and share the responsibility for restoring America's success and greatness with [Romney].",Voters Should Be Sane When Voting For President,Citizens' Voice
19,19,"RANDOM, RODERICK","Oct 13, 2012",Opinion,828,"""The fact is that we're in a situation where we inherited a god-awful circumstance,"" Mr. [Joe Biden] said. ""We acted to move to bring relief to the people who need the most help now,"" Mr. Biden said. ""My friend (Mr. [Paul Ryan]) says that 30 percent of the American people are takers. ... [Mitt Romney] points out, 47 percent of the people won't take responsibility. He's talking about my mother and father. And he's talking about the places I grew up in, my neighbors in Scranton and Claymont (Delaware)."" ""The economy was in free fall,"" Mr. Biden said of when he and Mr. [Barack Obama] took office. ""We had - the Great Recession hit. Nine million people lost their job, 1.7 - $1.6 trillion in wealth lost in equity in your homes, in retirement accounts from the middle class. We knew we had to act for the middle class. We immediately went out and rescued General Motors. We went ahead and made sure that we cut taxes for the middle class. ... And when that occurred, what did Romney do? Romney said, no, let Detroit go bankrupt. We moved in and helped people refinance their homes. Gov. Romney said, no, let foreclosures hit the bottom. But it shouldn't be surprising for a guy who says 47 percent of the American people are unwilling to take responsibility for their own lives. ... My friend (Mr. Ryan) recently ... said 30 percent of the American people are takers. These people are my mom and dad, the people I grew up with, my neighbors. ... They are elderly people who in fact are living off of Social Security. They are veterans and people fighting in Afghanistan right now who are, quote, not paying any taxes.""","Scranton Up, Janesville Down; Causes Elusive",The Times - Tribune
20,20,,"Jan 30, 2012",Opinion,593,"With an unending supply of bad news going on in the world lately, thank God for our area's silver lining, Henry Hynoski. We are so proud of you, young man. We can't wait to watch you in the Super Bowl. This couldn't be happening to a nicer young man. We have met him on several occasions; he is so down to earth, so polite and so friendly. We hope to see you with that big, shiny ring on your finger soon. A lot of Christians tell me they know where I'm going because I'm Agnostic. I just smile and tell them when I get there I'll let a light on for them. Can someone please explain to me why the county has no funds so we have to get rid of the assistant district attorney? But I just read in the paper that we now have money to pay Sacavage's daughter in his own probation office. Why don't we use that money to keep the assistant DA?",Sound Off 01-31-12,The News - Item
21,21,"Krawczeniuk, Borys","Apr 7, 2012",News,1151,"""A lot of people are very concerned,"" [Bill Vinsko] said. ""They won't want to leave their job because of health care costs; they don't want to leave their job or they don't want to start a new business because they're afraid the economy is not going to be able to sustain it."" ""It can't be all on the government and it can't be all on the business,"" he said. ""We have to have opportunities for businesses to grow. I like that model because I'm familiar with it, I've used it. a?[broken bar] I firmly believe that job creation is not going to be with large companies hiring masses of people. The only way we're going to be able to solve the job crisis is to hire people one, two, three at a time."" ""A congressman doesn't create jobs; a congressman creates an environment that makes jobs possible,"" he said. ""In my opinion, the most important way to create jobs in this country is to do what's right for the United States, which is to build up our infrastructure. We're falling behind. We need to build up our roads, our bridges. The bridges in Pennsylvania are a disgrace and a lot of them are dangerous.""",Democratic Candidates Vary On Jobs Solutions,Citizens' Voice
22,22,"Leskin, Thomas","Feb 03, 2011",News,373,"STATE COLLEGE - While the top ideas in engineering new green technologies usually involve electric vehicles or recycling, President Barack Obama spoke of research initiative and energy-efficient buildings as a new way of cutting back on wasted resources during a speech at Penn State University Thursday. As part of this initiative to jumpstart energy efficient buildings, Obama introduced the Great Philadelphia Innovation Cluster for Energy Efficient Buildings, also known as the Philadelphia Energy Innovation Hub, a vision to improve building energy efficiency in the U.S. by 50 to 80 percent.",Energy-efficient Buildings Wave Of The Future,The News - Item
23,23,Anonymous,"Sep 8, 2011",News,168,"- A payroll tax ""holiday"" for employers on any new hires or wages. All companies would be eligible for the break, which would apply to up to $50 million in new payroll spending.",Highlights Of President Barack Obama's Jobs Package,The Times - Tribune
24,24,Anonymous,"Jun 11, 2011",Opinion,863,"In Boston, she reinvented history and complained about ""gotcha"" journalism. You know, like the ""gotcha"" question Katie Couric asked in 2008 about what she read. This ""gotcha"" had come from a Boston reporter who had thrown an even easier puff ball - ""What did you learn in Massachusetts and what did you take away from it?"" Apparently, she didn't learn much. Instead of spending enough time in Boston to learn about America's revolution, she informed the nation that a bell-clanging Paul Revere went out to warn the British not to mess with America's right to bear arms - or something to that effect. When historians politely disagreed with her curious interpretation of history, she steadfastly maintained she knew American history, and that everyone-including, apparently, Paul Revere's own notes and letters- was wrong. On the second day, 10-year-old Piper Palin had sarcastically told a photographer, ""Thanks for ruining our vacation."" Of course, it wasn't the media who ""ruined"" what Piper thought was a family vacation. Palin's own website claimed the purpose of the tour was ""part of our new campaign to educate and energize Americans about our nation's founding principles, in order to promote the Fundamental Restoration of America."" To ""promote"" that education campaign, Piper's mother commissioned a luxury bus and wrapped it in a professionally created design, complete with a [Sarah Palin] signature larger than anything John Hancock could have written. Since Mother Sarah always emerged from the bus wearing ready-for-prime-time campaign makeup and conservative ""glad-to-meet-ya-but-I'm-not-really-running"" conservative suits, it was questionable just whose vacation it was.",New Hampshire Or Bus: Palin's No-campaign Campaign Tour,The News - Item
25,25,Anonymous,"Apr 10, 2011",Opinion,1082,"Yes, Pennsylvania's Legislature is one of the most expensive and corrupt in the country. But our Legislature's cost and corruption are not borne of its size. The culprit is the erosion of America's founding tradition of a part-time and term-limited ""citizen legislature."" Consider New Hampshire. It is a fraction of the size and population of the Keystone State, but its legislature is nearly double the size of Pennsylvania's. The Granite State's legislators are part-time and earn a meager stipend. Mr. [Sam Smith] might rebut that a large, geographically and demographically diverse state like ours needs a full-time legislature. I would counsel him to study Texas. It is four times Pennsylvania's size geographically and twice its size demographically, and yet somehow its part-time legislature runs the affairs of the Lone Star State as well as - if not better than - the General Assembly manages the Keystone State's.",Letters To The Editor - 4/11/2011,The Times - Tribune
26,26,"Kashuba, Cheryl A","Mar 02, 2011",News,1998,"The Knights of Columbus picked a good year. St. Patrick's Day, March 17, fell on a Saturday, the ideal day for a parade. The event that would grow to monumental proportions got off to a modest start, one that emphasized its religious significance. With President Judge T. Linus Hoban as marshal and Scranton Times Editor and Publisher Edward J. Lynett as honorary marshal, 12 divisions, including Knights of Columbus delegations from around the area - along with Scranton Diocese Council of Catholic Men, four Holy Name societies, Junior Catholic Daughters, Friendly Sons of St. Patrick and the Ancient Order of Hibernians - lined up at 1 p.m. at Wyoming Avenue and Mulberry Street. ""It's a beautiful city,"" Mr. [Downey] said. ""People here are very, very friendly. It's amazing."" Many Lackawanna County families of Irish descent came from County Mayo. ""When I go back, I'm going to publicize this,"" Mr. Downey said. In 2002, Sinn Fein President Gerry Adams brought Ireland once again to Scranton when he addressed a group of Irish-Americans on Saturday, March 9. He spoke at the Banshee on Penn Avenue, just hours after the annual St. Patrick's parade had ended. His message was simple: Keep the troubles of Northern Ireland in the public eye so that peace can be reached. Six years earlier, James Doherty Jr., president of the Friendly Sons of St. Patrick of Lackawanna County, had invited Mr. Adams to speak at the group's annual dinner. ""We are going to achieve freedom,"" Mr. Adams said, ""and you will have helped to bring it about.""",Annual St. Patrick's Parade Enjoys Long History In City,The Times - Tribune
27,27,"Dino, Jim","Jan 31, 2011",News,611,"""It was more like a Sadie Hawkins dance,"" he said. ""I sat next to the ambassador to Saudi Arabia."" ""This bill would kill jobs and raise taxes,"" he said. ""There are some points of it I like, and I think can be included in a new bill."" Those include covering people with a pre-existing condition, eliminating lifetime caps, and covering children until they are 26, he said. ""We need to do more than just freeze spending. We need to cut spending,"" [Lou Barletta] said. ""A good place to start is by scaling back our discretionary spending to 2008 levels, a plan which I was happy to support just last week. The price of the deficit has tripled in 10 years.""",Barletta: There's Work To Be Done In Washington,Standard - Speaker
28,28,"Heaney, Caitlin","Mar 03, 2011",News,420,"A 1974 graduate of Scranton Preparatory School, Gen. Wiercinski graduated from the U.S. Military Academy at West Point in 1979. His Army career has taken him around the world and included stints in Panama, Afghanistan and Iraq. Gen. Wiercinski has received several commendations, including the Distinguished Service Medal, Defense Superior Service Medal, Defense Meritorious Service Medal, Legion of Merit with three oak-leaf clusters and the Bronze Star Medal with Valor device. His wife, Jeannine, has remained in Japan while Gen. Wiercinski awaited a decision from the Army chief of staff about what his next assignment would be. President Barack Obama nominated Gen. Wiercinski for the promotion Jan. 26.",Dickson City Native Earns Third Star In Army Career,The Times - Tribune
29,29,"Krawczeniuk, Borys","Sep 9, 2011",News,727,"For flood victims without flood insurance, federal help could still be available. FEMA might cover damage to a primary residence if it entails making ""the damaged home safe, sanitary and functional,"" according to a FEMA document. He suggest homeowners document ""all their damages to the 'T',"" including taking photos, he said. ""I've seen them take weeks, I've seen them take days, I've seen them take hours,"" [Nicholas Morici] said. ""We're asking people to be patient.""",Flood Insurance Shows Its Benefits,Citizens' Voice
30,30,"Krawczeniuk, Borys","Jan 05, 2011",News,844,"""I was in church this morning and Monsignor Jordan had a Mass for [Lou Barletta] and I and after the Mass I went to him and said, 'You know something, John,' I said, 'the only time people get Masses for themselves is the time they get married or they're dead and we're having one now as congressmen.' That's a good omen as far as I'm concerned. It means I want every bit of help that I can get, from above and anywhere else I could get it,"" [Tom Marino] said. ""I always think about that,"" he said, pausing to collect himself. ""Fortunately, my dad was with me when I was sworn in as U.S. attorney and we talked about politics quite a bit. But he's with me, Dad's with me, he's saying to somebody up there, 'I told you he could do it.'"" ""When I was getting dressed today, I was putting my tie on, I told (his wife) Mary Grace, I said, 'I just cannot imagine how proud my mother and father would be today if they were here watching this.' That's one regret that I have that they're not here with me ... I'm sure they'll come to memory when I'm standing on the floor (getting sworn in).""",Marino Remembers Late Father During Ceremony,The News - Item
31,31,,"Nov 6, 2012",Opinion,181,"[Obama] is all over our televisions, making hollow promises trying to get re-elected while telling the storm victims that the country is pulling for them. Here's a thought for Obama: Do something besides talk. Maybe sail an aircraft carrier or two up the Hudson and East rivers.",Obama Does Little For Storm Victims,Republican & Herald
32,32,"Sisak, Michael R","Jul 30, 2011",News,754,"""With the full faith and credit of the United States, once it's lost - for whatever reason, political, philosophical, craziness, some one senator filibustering - we will never again rise to the epitome of what we are today in the finances of the world,"" [Paul Kanjorski] said. ""That's a loss of incredible value that you can't replace."" Kanjorski, a former member of the House Financial Services Committee, dismissed the high-drama surrounding the debt limit as ""artificial crisis"" propelled by partisan gamesmanship, particularly on the political fringes, where leaders are making ""foolish decisions"" with ""un-thought-out consequences."" ""We're arguing about a very, very, very big principle right now,"" Kanjorski said. ""I wish we could be sane enough not to structure it on the debt limit or something as silly as that.""",Kanjorski Can Only Stand By And Watch,The News - Item
33,33,Anonymous,"Jan 25, 2011",Opinion,387,"Many say that a woman has the ""right"" to choose. What about the baby's right? Michael Vick was scorned, hated and even went to jail for killing dogs.Where is the sanity and civility in our country when our laws allow the killing of innocent children in the womb? Aren't children more precious than any animal? Recently we read about the terrible tragedy that took place in Arizona. President Obama, a radical supporter of abortion, called on all Americans to be civil which in turn would hopefully lead to stability in our nation. But neither he, nor anyone else who covered this tragic event ever mentioned the most important link between civility and stability, and that is ""morality.""",Where Is Civility In A Nation That Allows Abortion?,Standard - Speaker
34,34,"Whalen, Jill","Jun 16, 2012",News,599,"""It gives us an opportunity to talk about his record, and what the choices are that our country will be facing this November. It's a very different vision between what Gov. Romney proposes and what President (Barack) Obama has done and what he proposes for his second term,"" O'[Gurek Jr.] said at a press conference that followed Romney's visit to Weatherly Casting and Machine Co. on Saturday morning. ""President [Obama] wants to continue to grow the economy, create middle-class jobs for families like the ones we have here in Carbon County. And he also wants to pay down the debt,"" O'Gurek Jr. said from Spring and Laurel streets near Weatherly Casting. ""Gov. Romney wants to go back to the economic policies of the past that saw less regulations and more tax cuts. They're the same policies that got us into the economic situation that we face today."" Under Romney's governorship, O'Gurek Jr. said Massachusetts fell to 47th out of 50 states in job growth, its debt grew by 16 percent and government jobs grew six times faster than private-sector jobs. Romney vetoed a bill to raise the state's minimum wage and signed one to cut taxes to the wealthy, O'Gurek said.",Carbon County Dems Attack Record,Citizens' Voice
35,35,"Hrin, Eric","May 06, 2011",News,744,"According to Shinagawa, it was an ""interesting day to be in the White House"" just days after bin Laden's death.",Nathan Shinagawa Meets The President,The Daily Review
36,36,"Wilding, Patrice","Dec 27, 2011",News,1020,"""It's definitely a sense of accomplishment for me, but more so for them, because it's truly about the kids,"" Mrs. [Lisa McConlogue] said. ""It's how the public perceives what the youth of today can do, and what Scranton High School is capable of."" ""I just thought they were the coolest dogs. They are like giant cats, but they still have that companionship factor,"" Mrs. McConlogue said of her Greyhounds. ""Most dogs command your attention and want something from you; they are grateful for whatever you give them. They say they're like potato chips: you can't have just one, and it's true."" ""There's an old hymn, 'Rescue the Perishing,' and my father used to say it was my theme song. I guess he was right,"" Mrs. McConlogue said. ""I refuse to pay money for an animal that isn't being rescued or in need of a home.""","Scranton Woman Shepherds Student Singers, Church Chorale And Home Full Of Rescue Animals",The Times - Tribune
37,37,"Wellock, Bill","Jan 10, 2012",News,475,"""Lunch time was pretty rough. I couldn't talk to anybody. It was 50 minutes by myself in a room,"" he said. ""No books, just staring at a wall, eating a sandwich."" [Michael McKeown] answered ""Jupiter,"" and just like that, he had $18,000 in his ""Millionaire Bank."" ""In a nation filled with overly large people, which we are, liposuction seems reasonable. I've seen plenty of nose jobs in my day, so that seemed reasonable,"" he said. ""I couldn't say with any confidence one way or other. Nothing really grabbed me. The risk-reward didn't make any sense to make. So, I decided to take the money and run.""","'Millionaire' Contestant Brings Home $11,550, Disney Cruise",Citizens' Voice
38,38,,"Sep 24, 2012",Opinion,1028,"I applaud The Times-Tribune's Sept. 16 editorial (""NEPA's long path of least resistance"") for bringing up this issue. Many people, in and out of the area, actually enjoy the view. Those mountains are a hallmark of this area's geography and an attraction to many. Citizens: Don't let Scranton get any uglier; seeing an empty downtown after 5 p.m. is bad enough. Furthermore I'll never understand how these events are allowed to take place and how anyone with any sense of compassion and ethics can spend their hard-earned money patronizing this evil ""sport.""A It's no different than pit bull dog fights. Animal abuse is animal abuse no matter how much it's sugar-coated.",Letters To The Editor - 9/24/2012,The Times - Tribune
39,39,,"Mar 3, 2012",Opinion,1136,"""Upon their son's death, [Rick Santorum] and Karen Santorum opted not to bring his body to a funeral home. Instead they bundled him in a blanket and drove to Karen's parents' home in Pittsburgh. There, they spent several hours kissing and cuddling Gabriel with his three siblings, ages 6, 4 and 2[1/2]. They took photos, sang lullabies and held a private mass. He and Karen brought Gabriel's body home so that their children could absorb and understand that they had a brother."" Mr. Santorum says, ""We wanted them to see that he was real,"" not an abstraction ... not a fetus either, as Rich and Karen were appalled to see him described - ""a 20 week old fetus"" - on a hospital form. They changed the form to read ""20 week old baby."" U.S. EPA Administrator Lisa Jackson said recently that fracturing is ""perfectly capable of being clean"" for the environment. And due to tight state oversight, the ""regulation of fracking doesn't necessarily need to be federal,"" Ms. Jackson noted.",Letters To The Editor 3/4/2012,The Times - Tribune
40,40,News-Item Staff,"Sep 8, 2011",News,961,"- Officials from Mount Carmel Borough, Mount Carmel Township, Kulpmont and Sunbury all declared a state of emergency for their municipalities, with Sunbury Mayor David Persing calling for citizens living in the lower areas of the city, from Sixth Street to Front Street and Shikellamy Avenue to the Veterans Memorial Bridge to make preparations to evacuate. ""We were getting a number of calls, and found that our resources were getting short, so time and energy from our emergency responders would be better spent working on emergency situations or evacuations, not with pumping,"" [Steve Reiner] said. ""We have implemented our emergency protocols to ensure we meet the immediate medical needs of our community. The safety of our employees and patients are of the utmost concern,"" said Tom Sokola, chief administrative officer, said in a statement Thursday. ""We are grateful to those employees going above and beyond to ensure that we do not compromise the level of care we are delivering to our patients.""",Thursday Night Updates On Flood,The News - Item
41,41,"Sisak, Michael R","Oct 19, 2012",News,747,"""I don't have all the answers,"" [Gene Stilp] said, ""but I'm a quick study and I'm willing to learn and willing to work with the other side and the people on my side in order to make it happen."" ""I want to work with those people who will agree to work in a compromising fashion - not compromising the needs of the American people, but staying away from the radical budgets and the radical agendas on both ends,"" Stilp said. ""I will look for places of compromise, of working together. I'm not going to be a?[broken bar] a person who is going to vote for vaginal ultrasounds. I'm not going to be a person on the left that votes for something that just pleases a small portion of the left."" ""No act on first passage is perfect,"" Stilp said. ""We've had Medicare, Social Security, we've had the Voting Rights Act, the G.I. Bill. All of these bills, after being passed, required the Congress to go back in, take another look at it and see how it could be strengthened.""",Stilp Promises To Work With Fellow Lawmakers,Citizens' Voice
42,42,"Krawczeniuk, Borys","Feb 1, 2012",News,921,"""I believe in the power of the voter,"" [Gene Stilp] said. Then, he conceded ""money has a significant part to play in an election, sad to say."" ""Yeah, but they're not raising money either,"" [Ed Mitchell] said of the challengers. ""You have to get your message out, and you have to have money. These people are just not going to get on television and buy mail."" Money to buy advertising is especially necessary in congressional races because districts consist of about 705,000 people, far too many for the kind of door-to-door campaigns a city council or township supervisor candidate might wage, Mitchell said. In Mitchell's and other political observers' eyes, the best hope for a competitive local congressional race might be Moosic attorney Matt Cartwright's challenge of Holden in the Democratic primary. A successful lawyer, Cartwright has said he can provide an infusion of his cash.","Redistricting, Lack Of Cash Conspire Against Congressional Hopefuls",Citizens' Voice
