,abstract,author,date,headline,section,source,word_count,id,candidate,rating
30271,"[Laureen Cummings], 48, of Old Forge, said she supported replacing the income tax system with a 23 percent national sales tax plan backed by Republican Reps. John Linder and Rob Woodall, Georgia. Cummings branded it the ""fair tax."" [Matt Cartwright] called the plan the ""unfair tax"" because he said it would affect every American, even those who currently do not pay income tax. ""I need to correct you on that,"" Cummings said. ""It's not that Mitt [Romney] doesn't care about those people. He was talking about their votes."" ""My opponent really wants to turn the clock back about 3 1/2 years and rehash the debates that have consumed Washington for the last 3 1/2 years,"" Cartwright said, adding that Cummings, with her proposals for limited regulation and health care repeal, wanted to turn Wall Street back into the ""Wild Wild West"" and the country into a place where insurance companies can drop people with pre-existing conditions.","Sisak, Michael R",10/12/2012,"17th District Candidates Cartwright, Cummings Outline Opposing Platforms At Wilkes University",News,Republican & Herald,873,30271,Romney,1
7020," Mitt Romney rolled to an easy victory Tuesday in the New Hampshire primary, taking a broad stride toward capturing the GOP presidential nomination as the contest heads south for a pair of potentially make-or-break contests.",,1/11/2012,2 FOR 2,,Chicago Tribune,427,7020,Romney,1
29348,"Only 11,013 votes were cast by the 25,276 Republicans and 23,297 Democrats who were eligible to vote in the primary election. During the last primary presidential election in 2008, 19,725 votes (41 percent) were cast. Republican Mitt Romney received 3,153 votes (49.47 percent) out of the 6,374 total votes cast by county Republicans. Rick Santorum received the second highest vote total in the county among the four Republicans on the ballot with 1,536 votes (24.10 percent).","Gilger, Mark",4/25/2012,22% Vote In County,News,The News - Item,227,29348,Romney,1
5327," With one presidential run under its belt, Romney's campaign had left nothing to chance, marshaling more than 130 blue-shirted volunteers and a massive float bearing the state seal to trail the candidate. When it came to impressing voters Monday, no detail was too small -- where the candidates would go, their choice of clothing, their skill at skirting Amherst's candy-tossing ban (Romney's camp put small boys on scooters to ride the route offering sweets from blue buckets).","Reston, Maeve; Mehta, Seema",7/5/2011,"4 GOP hopefuls, 2 parades, scores of handshakes",News,Chicago Tribune,655,5327,Romney,1
24620,Romney managed to escape any sustained attacks on health care during the primary season by focusing not on the past but on the future: pledging to repeal Obama's law.,"Cillizza, Chris",4/10/2012,5 things Romney should do now,A-SECTION,Washington Post,427,24620,Romney,1
25880,Romney managed to escape any sustained attacks on health care during the primary season by focusing not on the past but on the future: pledging to repeal Obama's law.,"Cillizza, Chris",4/10/2012,5 things Romney should do now,A-SECTION,Washington Post,427,25880,Romney,1
9594,"[...]a USA TODAY/Gallup poll showed supporters and critics of the Supreme Court decision evenly split, 46%-46%.--David Jackson Murdoch pipes up again as pro-Romney Rupert Murdoch is back on Twitter, offering his support for Mitt Romney after slamming the presumptive GOP presidential nominee in a few tweets.","Jackson, David; Camia, Catalina",7/3/2012,56% weary of fight over health care law,NEWS,USA Today,246,9594,Romney,1
34325," [...]Mr. Romney can promise to fight for people of modest means who want to better their lives through hard work and private enterprise. According to economist Scott Shane of Case Western Reserve University, the percentage of job-seeking business starters fell to 4% from 11% between 2007 and 2010.","Brooks, Arthur C",10/8/2012,A '47%' Solution for Romney,,The Wall Street Journal,1018,34325,Romney,1
23493,The measures included a big payroll tax cut for workers and small businesses; aid to states to hire back some of the teachers laid off in the past few years; major investment in infrastructure improvements to rebuild schools and roads as well as other projects. The campaign of former Massachusetts governor Mitt Romney put up a video on its site that included footage of the president in the House chamber and the message that he is 960 days late in issuing a jobs plan.,"Balz, Dan",9/9/2011,A bid to energize economy - and his presidency,A-SECTION,Washington Post,1041,23493,Romney,1
23742,The measures included a big payroll tax cut for workers and small businesses; aid to states to hire back some of the teachers laid off in the past few years; major investment in infrastructure improvements to rebuild schools and roads as well as other projects. The campaign of former Massachusetts governor Mitt Romney put up a video on its site that included footage of the president in the House chamber and the message that he is 960 days late in issuing a jobs plan.,"Balz, Dan",9/9/2011,A bid to energize economy - and his presidency,A-SECTION,Washington Post,1041,23742,Romney,1
31760," [...] yesterday, Mr. Santorum hadn't been in New Hampshire in a month, South Carolina for two, and Florida hardly at all. Because he has a high floor of support but also a very low ceiling, Texas Congressman Ron Paul is likely to have seen his high-water mark Tuesday.","Rove, Karl",1/5/2012,A Big Win for Romney in Iowa,,The Wall Street Journal,746,31760,Romney,1
6598," After trailing Santorum in previous polls, a Public Policy Polling poll released Monday put Romney ahead of his main competitor 37-36 percent, making the contest a statistical dead heat. Gingrich and Paul trail with 15 and 11 percent, respectively Population: 11.5 million Median income: $47,358 Unemployment rate: 7.9% Tennessee Delegates: 58 Primary process: 28 delegates will be awarded on a proportional basis to any candidate receiving more than 20 percent of the statewide vote.","Memoli, Michael A; Rust, Max; Yoder, Chad",3/6/2012,A bounty at stake on Super Tuesday,News,Chicago Tribune,963,6598,Romney,1
16769," Seeking to regain momentum in the GOP presidential contest, Mitt Romney hopscotched on Friday between two key early-voting states that pose quandaries for his bid, aiming his fire at President Obama while avoiding criticizing his Republican rivals.","Mehta, Seema; Reston, Maeve",12/17/2011,A buoyed Romney courts voters in Iowa and South Carolina,Main News; Part A; National Desk,Los Angeles Times,749,16769,Romney,1
34818," Mitt Romney, the argument goes, is conveniently forgetting his real agenda, flipping his positions to better appeal to the electorate. Since Mr. Romney's conservative base would surely disagree, this raises the question of whether the president isn't himself suffering from a psychological malady that experts call ""projection."" --- ""Starting in 2011, we are prepared to freeze government spending for three years"" --","Strassel, Kimberley A",10/26/2012,A Chronic Case of Obamnesia,,The Wall Street Journal,825,34818,Romney,1
22168,"Conservatives are pushing Mitt Romney to erase doubts about his agenda by choosing Rep Paul D Ryan as his running mate; Ryan, a champion of cutting government spending and reining in the costs of entitlement programs, would do much to reassure the conservative base that Romney stands behind their fiscal agenda. Photos (M)1","MICHAEL D. SHEAR and TRIP GABRIEL; Michael D. Shear reported from Washington, and Trip Gabriel from New York",8/9/2012,A Conservative Bid for Ryan to Be Romney's Running Mate,U.S. / Politics,The New York Times,1029,22168,Romney,1
16745," The GOP contenders, led by Mitt Romney and Newt Gingrich, have derided the agency for launching an investigation of Boeing Co. for allegedly retaliating against unions in the Seattle area by transferring airline assembly jobs to a nonunion plant in South Carolina.","Savage, David G",12/1/2011,A divided labor board may be put out of work,Main News; Part A; National Desk,Los Angeles Times,454,16745,Romney,1
19560,"Caucus column; former Pres George H W Bush offers an informal endorsement of Mitt Romney, telling the Houston Chronicle that Romney is the best choice for the Republican presidential nomination. (M)",MICHAEL D. SHEAR and KATHARINE Q. SEELYE,12/23/2011,A Former President Says Romney Has His Backing,National Desk,The New York Times,458,19560,Romney,1
805," Romney also got a laugh when he said the homegrown benefits of Texas - zero income tax, a Republican legislature, a Republican Supreme Court and lots of oil - diminish the governor's jobs record.","vennochi, joan",9/13/2011,A grim night for Perry; a good one for Romney,Editorial,Boston Globe,361,805,Romney,1
22311,Virgil Goode’s third-party run for president is making some Republicans nervous in a crucial battleground state.,SHERYL GAY STOLBERG,11/4/2012,A Long-Shot Campaign Could Threaten Romney’s Chances in Virginia,U.S. / Politics,The New York Times,846,22311,Romney,1
3806,US presidential candidate Romney and running mate Paul Ryan might reduce the fiscal deficit – but exacerbate the other three,Laura Tyson,9/11/2012,"A Mitt Romney budget would hit jobs, public investment and opportunities",Business,Guardian,1012,3806,Romney,1
24657,"At the beginning of last week, Santorum held a clear lead in Ohio, but that was before Romney won Michigan and Arizona. [...] Romney has gained ground, just as he did on his way to his narrow victory in Michigan.","Balz, Dan",3/4/2012,A pivotal Tuesday,A-SECTION,Washington Post,1258,24657,Romney,1
24828,"At the beginning of last week, Santorum held a clear lead in Ohio, but that was before Romney won Michigan and Arizona. [...] Romney has gained ground, just as he did on his way to his narrow victory in Michigan.","Balz, Dan",3/4/2012,A pivotal Tuesday,A-SECTION,Washington Post,1258,24828,Romney,1
11211,Gov. Romney has gone well beyond what is required as there is no legal obligation that a presidential candidate release any tax returns.,"Toner, Michael",7/19/2012,A ploy to change the subject,NEWS,USA Today,428,11211,Romney,1
11437,"Visuals The ad shows Romney talking while looking off camera, and cuts to scenes of shipyard cranes, Romney walking through a warehouse with a group of men, money being printed, a woman putting out an ""Open"" sign on a shop, a woman working as a baker, a woman working in a machinery design studio.","Moore, Martha T",9/18/2012,A positive ad vows to add 12M jobs,NEWS,USA Today,477,11437,Romney,1
20049,The performances of Mitt Romney and Rick Perry at Wednesday’s Republican debate were a kind of lesson in the different paths that might lead to the White House.,"MICHAEL D. SHEAR; Ashley Parker contributed reporting from Newport Beach, Calif",9/9/2011,A Preview of Strategies to Come,National Desk,The New York Times,748,20049,Romney,1
21409,Caucus column; Mitt Romney responds to attack on his Mormon faith by a voter at town hall-style meeting in Wisconsin. (M),ASHLEY PARKER,4/3/2012,A Question on Religion,National Desk,The New York Times,539,21409,Romney,1
21488,Text and assessment of television ad released by Mitt Romney's presidential campaign that contends stimulus money went to Pres Obama's political donors and to overseas companies. Photo (M),RICHARD A. OPPEL Jr,7/18/2012,A Romney Attack on Spending,National Desk,The New York Times,464,21488,Romney,1
1406," In terms of background, Romney has been under fire for his role in the passage of the state's 2006 health care overhaul, the landmark law that has dramatically reduced the number of uninsured people in Massachusetts, stayed within cost projections, led to a steep drop in so-called free care, and is widely popular here. Besides that, it's been a disaster.","McGrory, Brian",5/18/2011,A Romney we can respect,Metro,Boston Globe,664,1406,Romney,1
22938,"In a talk Oct. 6, 2011, aboard the retired aircraft carrier USS Yorktown, now a floating museum in the harbor at Charleston, S.C., Romney said he would ""add 100,000 active-duty troops"" to the Army so it would not need to turn to the National Guard for additional forces.","Pincus, Walter",10/30/2012,A Romney win would mean a military U-turn,A-SECTION,Washington Post,958,22938,Romney,1
25711,"In a talk Oct. 6, 2011, aboard the retired aircraft carrier USS Yorktown, now a floating museum in the harbor at Charleston, S.C., Romney said he would ""add 100,000 active-duty troops"" to the Army so it would not need to turn to the National Guard for additional forces.","Pincus, Walter",10/30/2012,A Romney win would mean a military U-turn,A-SECTION,Washington Post,958,25711,Romney,1
21050,"Republican race for president splinters along two distinct tracts in New Hampshire debate, as rivals line up against Mitt Romney and engage him in some of the most pointed exchanges of the campaign; Romney remains solid favorite there two days before the first primary of the Republican nominating process but candidates who lag behind him compete to outlast one another through the next few nominating contests. Photo (M)",JIM RUTENBERG and JEFF ZELENY,1/9/2012,A Sharper Edge For Republicans As Voting Nears,National Desk,The New York Times,1325,21050,Romney,1
6343," ""Because a strong America is the best deterrent to war that ever has been invented.""","Mehta, Seema",5/29/2012,"'A strong America' keeps world safe, Romney says",News,Chicago Tribune,431,6343,Romney,1
6544," Mitt Romney chalked up Super Tuesday wins in Virginia, Vermont and Massachusetts, seeking to fasten his grip on the Republican presidential nomination by dominating the single biggest day of balloting in the hard-fought primary campaign.",,3/7/2012,A SUPER SPLIT,,Chicago Tribune,316,6544,Romney,1
22148,"Mitt Romney and Paul Ryan's differences in background and style seem more pronounced than their similarities, but aides to Romney say that those distinctions are precisely what they consider part of Ryan's appeal. Photo (M)",MICHAEL BARBARO,8/11/2012,A Team That Seems Comfortable With the Contrasts,National Desk,The New York Times,960,22148,Romney,1
8230,"Santorum can now fashion himself to be the 21st century version of Ronald Reagan, who ran for the GOP nomination twice unsuccessfully before succeeding -- and reaching the White House -- in 1980. [...] by leaving the race now, as opposed to waiting even a few more weeks, he has avoided burning his bridges to the Republican establishment and other elements of the party that might find cause to blame him if Romney loses.",,4/11/2012,A victory of sorts for Santorum,NEWS,USA Today,597,8230,Romney,1
17507," Catholics have more guidance about how to vote than they have in the past, Hudson said, because the U.S. Conference of Catholic Bishops has come out against both same-sex marriage and the contraception coverage requirement.","Semuels, Alana",11/4/2012,Abortion galvanizes battleground Ohio; The issue helps spur religious activists to campaign in support of Mitt Romney.,Main News; Part A; National Desk,Los Angeles Times,761,17507,Romney,1
21216,Caucus column; 'super PAC' backing Mitt Romney's presidential campaign releases ad in advance of Mother's Day that revives the criticism that Democratic strategist Hilary Rosen leveled against Ann Romney and links it to the Obama campaign; ad is part of fierce battle for female voters. Photo (M),MICHAEL D. SHEAR,5/12/2012,"Ad Defends Ann Romney, Then Goes on Attack",National Desk,The New York Times,332,21216,Romney,1
21407,"Text and assessment of Republican presidential candidate Rick Santorum's campaign advertisement that aired in Wisconsin, which makes several misleading claims about Mitt Romney's record as governor of Massachusetts. Photo (M)a",JEREMY W. PETERS,4/3/2012,Ad Watch: Santorum Keeps Heat on Romney,National Desk,The New York Times,523,21407,Romney,1
21000,"Political Memo; the lead up to the South Carolina primary has been defined by fierce attacks on Mitt Romney's tenure at Bain Capital, sparing him what otherwise might have been an inquisition on social issues and his Mormon faith. Photos (M)y","JEFF ZELENY; Ashley Parker contributed reporting from Hilton Head, S.C",1/15/2012,Advisers See an Upside in Criticism of Romney's Time at Bain Capital,National Desk,The New York Times,1030,21000,Romney,1
21033,"Advisers to Republican presidential candidate Mitt Romney, stung by unexpectedly fierce attacks from Republican rivals on his career as a corporate buyout specialist, are scrambling to avoid a nasty battle over his business record before it does him lasting damage; rebut criticisms by telling stories of winners in the world of private equity. Photo (M)","MICHAEL BARBARO and ASHLEY PARKER; Nicholas Confessore contributed reporting from Manchester, and Richard A. Oppel Jr. from Columbia, S.C",1/11/2012,Advisers Work to Put Positive Spin on Romney's Career in Corporate Buyouts,National Desk,The New York Times,1090,21033,Romney,1
21097,"Newt Gingrich, following fourth-place bruising in the Iowa caucuses, immediately begins fulfilling vow to take on Gov Mitt Romney and Rep Ron Paul more aggressively; anti-Gingrich ads aired by the Romney and Paul campaigns helped derail Gingrich's surge in the lead-up to the caucuses. Photo (M)",TRIP GABRIEL,1/5/2012,"After a Red-Eye, Gingrich Reloads",National Desk,The New York Times,745,21097,Romney,1
21390,"Political Memo; 2012 presidential campaign, marked by mercurial public enthusiasm for a host of different candidates, is unlikely to stabilize now that Republicans have begun rallying around Mitt Romney; will likely remain narrowly contested, revolving around the mobilization of party loyalists and an attempt to win over a small slice of voters who will remain undecided until almost the end. (M)",JOHN HARWOOD,4/5/2012,"After a Rollicking Primary, a Different Kind of Fight in November",National Desk,The New York Times,985,21390,Romney,1
21803,"Speaking to National Guard members in Reno, Nev., Mitt Romney expressed gratitude for troops serving overseas and said the defense budget should not be cut.",ASHLEY PARKER,9/12/2012,"After Criticism of His Convention Speech, Romney Thanks Nation’s Armed Forces",U.S. / Politics,The New York Times,847,21803,Romney,1
7218," Altogether, his campaign and affiliated committees have pulled in a record $1.037 billion, according to Federal Election Commission data compiled by the nonpartisan Campaign Finance Institute.",,10/26/2012,"After debates, Romney sees cash infusion in October",News,Chicago Tribune,327,7218,Romney,1
18615,Strong March 6 showing can propel Romney to the nomination,By Jonathan Lemire / NEW YORK DAILY NEWS,2/29/2012,"After Michigan and Arizona wins in GOP race, front-runner Mitt Romney sets sight on Super Tuesday",,New York Daily News,,18615,Romney,1
841," Republican presidential candidate Newt Gingrich shows no sign of letting up on his attacks against Mitt Romney, despite losing Saturday's Nevada caucuses to Romney by a large margin.","Schoenberg, Shira",2/6/2012,"After Nevada loss, Gingrich continues attack",National,Boston Globe,714,841,Romney,1
21494,"Campaign advisers to presumptive Republican presidential nominee Mitt Romney hint that he may defy custom and disclose his vice-presidential pick well ahead of the Republican convention; say with polls showing a close race, a warmly received running mate could significantly energize Romney's candidacy. (M)",MICHAEL BARBARO,7/17/2012,"After the Who, The Question Of the When",National Desk,The New York Times,460,21494,Romney,1
20750,"Mitt Romney is declared the winner of the presidential straw poll in Maine's nonbinding caucuses, averting embarrassment after losses in three states. (M)",KATHARINE Q. SEELYE; Erik Eckholm contributed reporting,2/12/2012,"After Three Straight Losses, Romney Edges Past Paul in the Maine Caucuses",National Desk,The New York Times,690,20750,Romney,1
5038,"The former Massachusetts governor is expected to coast to victory on Tuesday, but the race is still likely to run on for months",Ewen MacAskill in New Hampshire,1/10/2012,All eyes on frontrunner Romney as New Hampshire heads to the polls,World news,Guardian,619,5038,Romney,1
30190,"I am a veteran of World War II. I watched the Veterans of Foreign Wars convention where Mitt Romney was the main speaker. He said if he becomes president, he won't hesitate to attack if we are threatened. He got a big ovation.",,9/14/2012,All Should Be Willing To Serve Their Country,Opinion,Republican & Herald,198,30190,Romney,1
29196,"WASHINGTON - The period of the American Revolution coincided with publication of Edward Gibbon's ""The History of the Decline and Fall of the Roman Empire"" (1776), and ever since we've been vigilant for signs that the U.S. was following in Rome's footsteps. ""Rome is the mob. Conjure magic for them and they'll be distracted. Take away their freedom and still they'll roar. The beating heart of Rome is not the marble of the Senate, it's the sand of the coliseum. He'll bring them death - and they will love him for it."" What day or column would be complete without a few words from Joe Biden? Latest to the Coliseum, a few (accidental or well-chosen) words from the vice president: [Romney]'s plan for financial regulation will ""put y'all back in chains.""",,8/19/2012,All U.S. Roads Lead To Rome,Opinion,The Times - Tribune,749,29196,Romney,1
32638," Mr. Romney later stated that he wasn't calling for a reduction in the teacher force -- but perhaps there would be some wisdom in doing just that. Since 1970, the public school workforce has roughly doubled -- to 6.4 million from 3.3 million -- and two-thirds of those new hires are teachers or teachers' aides.","Coulson, Andrew J",7/9/2012,America Has Too Many Teachers,,The Wall Street Journal,671,32638,Romney,1
20722,"Relationship between Republican presidential candidates Mitt Romney and Ron Paul stands out for its behind-the-scenes civility, in a contest rife with angry rivalries.",RICHARD A. OPPEL Jr,2/17/2012,"Amid Rivalry, Friendship Blossoms on the Campaign Trail",National,The New York Times,1091,20722,Romney,1
6415," Rick Santorum joined the ranks of the Republican also-rans, ceding his party's presidential nomination to Mitt Romney without a peep of support.",Anonymous,4/11/2012,"An exit, but no endorsement",News,Chicago Tribune,380,6415,Romney,1
1606," First of two columns `I Don't mean to be flip with this, said Mitt Romney during a q-and-a with students at the University of Chicago last week.","Jacoby, Jeff",3/25/2012,"As Dems rack up debt, youth should flock to GOP",Editorial,Boston Globe,790,1606,Romney,1
24962,"The tight margin in what is expected to be a major swing state at the presidential level next year is drawing many boldface political names - including former Massachusetts governor Mitt Romney, who rallied voters in Fairfax County last week.","Cillizza, Chris",10/31/2011,"As Election Day 2012 looms large, races to watch in 2011",A-SECTION,Washington Post,645,24962,Romney,1
25563,"The tight margin in what is expected to be a major swing state at the presidential level next year is drawing many boldface political names - including former Massachusetts governor Mitt Romney, who rallied voters in Fairfax County last week.","Cillizza, Chris",10/31/2011,"As Election Day 2012 looms large, races to watch in 2011",A-SECTION,Washington Post,645,25563,Romney,1
79," Gingrich, who fell about 20 points in Iowa in 20 days after facing millions of dollars of televised attacks against him by a super political action committee that supports Romney, announced yesterday that he is planning a two-day bus tour of New Hampshire, ending speculation that he might join Bachmann in writing off the state.","Kranish, Michael",1/4/2012,"As eyes turn to N.H., front-runner becomes the target",National,Boston Globe,983,79,Romney,1
18808,John McCain should know better,NEW YORK DAILY NEWS,4/30/2012,  Republicans way out of bounds attacking President Obama for ad on order to take out Osama Bin Laden   ,,New York Daily News,,18808,Obama,1
9074,"Federal agents recovered $2.5 billion from health care fraud judgments in the budget year that ended in September, a record-breaking amount they credit to whistle-blowers and a renewed effort from the Obama administration.","Kennedy, Kelly",1/24/2011,$2.5B recovered in health care fraud,NEWS,USA Today,336,9074,Obama,1
10246,"Investigators recovered a record-breaking $4.1billion in health care fraud money during 2011, a reflection of the Obama administration's increased focus on fighting fraud, Justice Department officials announced Tuesday.","Kennedy, Kelly",2/15/2012,$4.1B recovered in fight against health care fraud,NEWS,USA Today,345,10246,Obama,1
5426, The commitment came at the conclusion of an international summit in France at which President Barack Obama exhorted other leaders for economic assistance and debt forgiveness to strengthen new governments in Egypt and Tunisia and to encourage popular movements elsewhere.,"Parsons, Christi",5/28/2011,$40B pledged to Arab nations,News,Chicago Tribune,582,5426,Obama,1
27548,"  ""With this investment by the Obama administration, the Amtrak vision for high-speed rail in the Northeast is now departing the station and heading down the tracks to help take America to the next generation of passenger service,"" Amtrak president and chief executive Joe Boardman said in a statement.","Dymski, Gary; Castillo, Alfonso A",5/10/2011,$450M in funds for 'Gateway',NEWS,Newsday,241,27548,Obama,1
8132,"[...] Obama himself might be able to contribute. Who better than the 44th president of these United States, a black man, to read the stirring words of President Abraham Lincoln, enshrined by Copland in his memorable text: It is the eternal struggle between two principles, right and wrong, throughout the world.","Person, David",2/23/2011,"150 years later, Civil War redux",NEWS,USA Today,891,8132,Obama,1
6969," Friday's report will get especially close scrutiny by economists and political operatives trying to get a clearer reading on whether the economy, after strengthening at the start of the year, faded in the spring, as it did in each of the last two years. [...]the March report came out, the jobs story had been going President Barack Obama's way.","Lee, Don",5/3/2012,1ST FRIDAYS SET OFF FRENZIES,Business,Chicago Tribune,686,6969,Obama,1
24377,"First lady Michelle Obama declared September 4, 2012, that her husband's record in office has proved his values, his vision and his courage, as the Democrats opened their convention here with a wide-ranging appeal to the diverse constituencies and interests they must bring out in force to reelect the president.","Tumulty, Karen",9/5/2012,1st lady lauds Obama's vision,,Washington Post,,24377,Obama,1
22005,"Caucus column; Charlie Crist, former Republican governor of Florida who became a pariah in his party when he ran for the Senate as an independent, formally endorses President Obama. (M)",MICHAEL D. SHEAR,8/27/2012,2012 Election | Switching Sides: Florida Ex-Governor Backs Obama,National Desk,The New York Times,175,22005,Obama,1
3188,"I haven't analysed every new poll, as aggregates show a steady Obama lead in key states. It's only a story if they've screwed up",Harry J Enten,11/1/2012,2012's state polling is very consistent – even if it proves consistently wrong,Comment is free,Guardian,940,3188,Obama,1
33," In 1995, a ribbon-cutting ceremony was held for the Rock and Roll Hall of Fame and Museum in Cleveland. In 2010, President Barack Obama convened a new round of ambitious Mideast peace talks at the White House as he hosted Israeli Prime Minister Benjamin Netanyahu and Palestinian President Mahmoud Abbas in the first face-to-face negotiations in nearly two years. 01history.ART",Anonymous,9/1/2011,36pt. MGC hed centered 2 linesggg DEAR MARGO,Living Arts,Boston Globe,427,33,Obama,1
24146,"Many independent voters think it is more realistic to push for open primaries, and campaign finance and congressional redistricting reform that would open up the process tofor all voters and candidates, than it would be to try to create a competitive third party. 4. In 2008, Barack Obama won 52 percent of independent voters to John McCain's 44 percent, the largest margin a Democratic presidential candidate has received from independents since 1996.\n","Killian, Linda",5/20/2012,5 Myths about independent voters,OUTLOOK,Washington Post,1101,24146,Obama,1
20124,"Criticism of President Obama’s record was overshadowed by a burst of incivility among the Republican presidential candidates at a debate on Thursday in Ames, Iowa.",JEFF ZELENY and ASHLEY PARKER,8/12/2011,8 From G.O.P. Let Sparks Fly At Iowa Debate,National Desk,The New York Times,1093,20124,Obama,1
27245,"  ""God is our refuge and strength, a very present help in trouble,"" Obama said as he read Psalm 46 at a glass-enclosed podium near the memorial. [...] we will not fear, even though the earth be removed, and though the mountains be carried into the midst of the sea.","Brune, Tom",9/12/2011,"9.11.11: At memorial, somber salutes from Obama and Bush",NEWS,Newsday,672,27245,Obama,1
26965,  The president and first lady Michelle Obama laid a wreath at the memorial wall with the names of the 40 passengers and crew etched in white granite panels along the flight path.,"Povich, Elaine S",9/12/2011,9.11.11: Homage to heroes aboard Flight 93,NEWS,Newsday,469,26965,Obama,1
7167," Obama and his wife, Michelle, observed a moment of silence on the White House lawn at 8:46 a.m., when the first hijacked plane crashed into the World Trade Center, before they traveled to the Pentagon.","Parsons, Christi; Susman, Tina",9/12/2012,9/11 marked in solemn tributes,News,Chicago Tribune,886,7167,Obama,1
2184," Yesterday in Manhattan, after President Obama paid tribute to the fallen in a ceremony at ground zero, he met with several relatives of the 9/11 victims, including Coombs, in an emotional gathering at the temporary site of the memorial.","Bishop, Stewart",5/6/2011,9/11 widow praises Obama for compassion,Metro,Boston Globe,460,2184,Obama,1
17567," Obama said that, under his administration, ""we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before."" Since May 2007, the Medicare Fraud Strike Force under the Justice Department and the Health and Human Services Department has conducted a series of sweeps and arrested more than 1,480 defendants on suspicion of more than $4.8 billion in healthcare fraud.","Serrano, Richard A",10/5/2012,91 charged in federal healthcare fraud sting; A Medicare strike force says phony billing added up to $430 million.,Main News; Part A; National Desk,Los Angeles Times,541,17567,Obama,1
1595," Asked whether he felt the questions about Obama's birthplace and his academic record were motivated by race, Patrick - like Obama, the first African-American to hold his job - said: ""I have no idea, but whatever is motivating it, it feels like a new low in American politics, particularly when you consider the extraordinary challenges facing this country and this president, that we would spend our time on stuff like that and attempts to marginalize our president.""","Bierman, Noah; Johnson, Glen",4/29/2011,"A bill to expand gambling is still possible, governor says",Metro,Boston Globe,439,1595,Obama,1
20597,"Obama campaign will release The Road We've Traveled, 17 minute documentary film recounting the president's record by Academy-Award winning director Davis Guggenheim; film is narrated by Tom Hanks. Photo (M)",JACKIE CALMES,3/9/2012,A Bit of Gloss on Obama's Presidency,National Desk,The New York Times,328,20597,Obama,1
