,author,date,word_count,abstract,headline,source
12,"Lee, Carol E; Meckler, Laura","Sep 15, 2011",736," The decision to exclude Social Security, and discussions inside the White House about what to propose on Medicare, come as Mr. Obama and his top aides are trying to keep attention on his plan to create jobs, the top concern in voter surveys.",U.S. News: Obama Plan Won't Include Changes to Social Security,The Wall Street Journal
13,"Favole, Jared A","Apr 19, 2011",409, First Family's Tax Bill and Its Philosophy of Taxation --,"U.S. News: Obamas' Federal Tax Bill: $453,770",The Wall Street Journal
14,"Seib, Gerald F","Jan 26, 2011",782," Nor will the Obama vision be entirely pleasing to his friends on the left, who will be puzzled by his sudden interest in cutting the corporate tax rate and disturbed by the spending cuts they know are coming.",The State of the Union Address --- CAPITAL JOURNAL: Obama Woos Center to Recapture Some Lost Ground,The Wall Street Journal
15,"Casey, Nicholas; Luhnow, David","Aug 27, 2011",621,,World News: Casino Deaths Stun Mexico,The Wall Street Journal
16,"Dagher, Sam; MacDonald, Alistair","May 25, 2011",235," Jeffrey Feltman, U.S. assistant secretary of state for Near Eastern affairs, said during a visit to the eastern city of Benghazi that he delivered an oral message to members of the rebels' National Transitional Council from President Barack Obama that promised further support and reiterated America's position that Col. Gadhafi has ""lost legitimacy to rule; he cannot regain control of Libya and he must step down immediately.""",World News: NATO Steps Up Airstrikes in Libyan Capital,The Wall Street Journal
17,"Wessel, David","Jan 19, 2011",823," In 1981, Ronald Reagan issued an executive order asserting centralized White House review over executive-branch agency regulation-writing, requiring the first cost-benefit tests and empowering a new Office of Information and Regulatory Affairs (OIRA) to block regulatory-happy agencies. [...] Mr. Clinton made a similar demand in his 1993 order.",U.S. News --- CAPITAL: Move Reflects Shift In President's Tone,The Wall Street Journal
18,"Stein, Peter; Oster, Shai","Jan 18, 2011",746," Executives, bankers and government officials raised questions over the emerging offshore market for China's currency during a conference Monday, underscoring the debate over the future of the yuan in the global economy.","Global Finance: For Global Growth of Yuan, China Seeks Slow, Steady",The Wall Street Journal
19,"Jenkins, Holman W; Jr.","Mar 2, 2011",782," [...] the supplier campaign was a distraction from the fact that the Big Three's own workers were giving ground on jobs and job security. Accurately stating matters, the New York Times recently noted that the homegrown industry's ""cost structure has been reduced substantially, first through worker buyouts and plant closings and then by eliminating debt during its bankruptcy.""",Winds of Change in Unionland,The Wall Street Journal
20,"Kessler, Andy","Aug 8, 2011",1107," Why? Because the president's calls for ""patent reform"" and an ""infrastructure bank"" won't move the needle.",Five Ideas to Kick-Start Job Creation,The Wall Street Journal
21,"Henninger, Daniel","Jul 21, 2011",848," Mr. Obama wants spending to rise to 25% of GDP to support those commitments for the next 70 years. [...] we settle this and the taxes it implies, everything else a candidate may propose, such as devolving power away from Washington, is beside the point because it won't be possible.",The Paul Ryan Factor,The Wall Street Journal
22,Anonymous,"Aug 19, 2011",359," Whether it's deserved or not, the buck stops with him, and anything from the escalating cost of wars to a massive deficit to the increase in price of frozen tilapia will result in an impassioned rant from the voting public. Or the non-voting public, even. Dissed by the President, even though I'm sure Obama didn't mean any harm. [...] came the early March visit with the president.",Notable &amp; Quotable,The Wall Street Journal
23,"Rove, Karl","Jan 6, 2011",809," According to the department's website, the waivers cover 1,507,418 employees, of which more than a third (525,898) are union members. The Senate Republican Policy Committee's health policy analyst, Chris Jacobs, points out that the administration has already given an extravagant gift to the AARP (American Association of Retired Persons), a key player in passing the Patient Protection and Affordable Care Act.","ObamaCare Rewards Friends, Punishes Enemies",The Wall Street Journal
24,Anonymous,"Apr 29, 2011",249," A roadside bomb in Pakistan hit a bus carrying navy personnel, killing five people, in the third such attack this week. ---",World-Wide,The Wall Street Journal
25,"Rivkin, David B, Jr; Casey, Lee A","Sep 12, 2011",795, Both the trial and appellate courts refused to rule on the law's constitutionality because they concluded that it presented a political question not appropriate for judicial resolution.,Congress's Power Play Over Jerusalem,The Wall Street Journal
26,"Lehrer, Jonah","Apr 16, 2011",706," Behavioral economics promises to help solve difficult societal problems, from energy consumption to the obesity epidemic, for relatively limited costs, without additional taxes or burdensome regulations.","REVIEW --- Head Case: Is 'Nudging' Really Enough? --- With things like burgers and electricity, we often need a shove",The Wall Street Journal
27,"Hodge, Nathan; Fidler, Stephen; Levinson, Charles","Mar 31, 2011",755," Columns of pickup trucks and other vehicles swept quickly west into areas held by Col. Gadhafi's loyalists, and threatened his hometown of Sirte, with allied planes and missiles hitting regime armor in open desert.",The Middle East: Gadhafi Push Tests Allies --- Rebel Retreat From Oil Town Fuels Debate on Wider Military Aid to Opposition,The Wall Street Journal
28,"Jenkins, Holman W; Jr.","Jul 30, 2011",770," Government is now financing this costlier and costlier pursuit of smaller and smaller gains directly -- with loan subsidies to auto makers to build new factories, with research dollars showered on battery companies, with a $7,500 check handed to every buyer of a Nissan Leaf or Chevy Volt.",Bullet Train to Nowhere,The Wall Street Journal
29,"Hodge, Nathan; Fidler, Stephen; Dagher, Sam","Mar 22, 2011",1130," Gen. Ham said an effort to establish a no-fly zone there was under way. ""[...] we do that, our ability to influence activities on the ground remains somewhat limited,"" he said.",Arab Regimes Under Siege --- Allies Spar But Renew Airstrikes On Libya,The Wall Street Journal
30,"Barnes, Julian E","Jun 10, 2011",296," At the meeting, which included ministers from 20 other nations contributing forces as well as the 28 NATO allies, Anders Fogh Rasmussen, NATO secretary-general, said that the troops being considered for withdrawal were from the extra 30,000 American forces and 10,000 allied troops committed in 2009.",World News: U.S. Seeks Afghan Pledges By NATO,The Wall Street Journal
31,"Gonzalez, Angel","Jan 12, 2011",357, Some relatives of the dead and wounded were present at the news conference at the medical center Tuesday.,The Arizona Shootings: Doctors Brighten Giffords's Outlook,The Wall Street Journal
32,"Rove, Karl","Aug 25, 2011",777, [...] he has ceded power to congressional committees so more of the House's work is done there. The annual budget battle will give Mr. Boehner and the House GOP more opportunities to cut spending as the 12 separate appropriations bills needed to fund the government move through Congress.,Boehner's Surprising Success,The Wall Street Journal
33,"Myers, Marc","Aug 25, 2011",1241," Mr. di Suvero is a steel whisperer. Since the early '60s, he has been madly in love with the brawny alloy, coaxing it into graceful forms.",A Cultural Conversation / With Mark di Suvero: America's Great Man of Steel,The Wall Street Journal
34,"Devlin, Barrett","Jan 10, 2011",583," Another advantage for Democrats -- and potential disadvantage for Mr. Lieberman -- is that in 2012 President Barack Obama will be running for re-election, and that may well drive up Democratic voter turnout.",City News: Challengers Look To Lieberman Seat,The Wall Street Journal
35,Anonymous,"Apr 14, 2011",674, The U.N. Security Council last month approved a no-fly zone and air strikes for the humanitarian purpose of stopping assaults on rebel forces and civilians in Benghazi and other cities.,The Libya Stalemate,The Wall Street Journal
36,Anonymous,"Feb 10, 2011",561, The main reason Democratic liberals insisted on passing Class is because it will crowd out private insurance for long-term care like home health aides or nursing homes.,The Next Repeal Target,The Wall Street Journal
37,"Golub, Harvey","Sep 21, 2011",834," The president obviously believes that tax-free bonds are a benefit to the buyers when, in reality, the benefit accrues entirely to the municipalities that issue the bonds. Because the bonds are tax-free, the issuers pay a lower interest rate -- by an amount almost exactly equal to the tax benefit.",A Jobs Bill That Boggles the Mind,The Wall Street Journal
38,"Levinson, Charles; Coker, Margaret; Solomon, Jay","Feb 7, 2011",751," Egypt's regime sat down formally for the first time with representatives of the outlawed Muslim Brotherhood, casting aside a longstanding taboo in the government's scramble to placate masses of demonstrators seeking President Hosni Mubarak's ouster -- and threatening to divide protest groups who had pledged to reject any talks until Mr. Mubarak is gone.","Turmoil in Egypt: Government, Banned Islamists Meet --- Surprise Cairo Talks With Muslim Brotherhood Threaten Opposition Unity; Most Demand President's Ouster Before Parlay",The Wall Street Journal
39,"Saving, Thomas R; Goodman, John C","May 27, 2011",1038," For the past 40 years, real Medicare spending per capita has been growing about two percentage points faster than real gross domestic product (GDP) per capita. Since real GDP per capita grows at just about 2%, that means Medicare is growing at twice the rate of our economy -- and is clearly unsustainable.",Mediscare: The Surprising Truth,The Wall Street Journal
40,"Noonan, Peggy","Apr 16, 2011",1225," [...] he will likely lose in 2012. In last week's budget duel, the president was outgunned by Republicans in the House and outclassed by Paul Ryan, who offered seriousness and substance as a unique approach to solving our fiscal problems.",Declarations: Obama Is Likely to Lose,The Wall Street Journal
41,Anonymous,"Apr 20, 2011",554," According to the National Science Foundation, the percentage of students in the U.S. studying math, physical science and engineering has been decreasing from its peak in the 1980s of 21% to approximately 16% today.","We Need Scientists and Engineers, and They Need Jobs",The Wall Street Journal
42,"Johnson, Keith; Meckler, Laura","Jun 16, 2011",530," The lawsuit, filed in U.S. District Court in Washington by Ohio Democrat Dennis Kucinich and nine other congressmen, seven of them Republicans, came a day after House Speaker John Boehner (R., Ohio) warned the president he could soon be in violation of the War Powers Act and asked him to clarify the White House's justification for armed intervention in Libya.",U.S. News: Obama Defends Libya Intervention,The Wall Street Journal
43,Anonymous,"Apr 1, 2011",301," [...] in 2009 we had the spectacle of Senator Dick Durbin of Illinois, then head of a subcommittee that oversaw the program's funding, stringing along its supporters with intimations of support if they jumped various hoops, such as getting the D.C. Council to support it.",Democrats and Poor Kids -- II,The Wall Street Journal
44,"Reilly, David","Feb 11, 2011",418," Goldman Sachs analysts say these may include efforts to cut the size of loans that can be backed by Fannie and Freddie, reduce the size of the mortgage giants' balance sheets and increase the fees they charge to guarantee mortgages.",Wall Street Can't Kick Its Government Housing Habit,The Wall Street Journal
45,"Power, Stephen; Ryan, Tracy","Jan 11, 2011",410," Legislation to eliminate the current $75 million cap on spill liability passed the House of Representatives last summer, but failed to advance in the Senate. [...] U.S. gasoline prices have risen to an average of more than $3 a gallon, unusually high for winter, and Republicans, who are generally more supportive than Democrats of the oil industry and domestic exploration, gained the majority in the House.",U.S. News: Panel Seeks More Spill Liability --- Congress Has Balked at Lifting Industry Exposure; Bigger Safety Focus on Arctic,The Wall Street Journal
46,Anonymous,"Aug 15, 2011",247," Eugene Scalia rightly points out that what the Democrats could not achieve via Congress, they are attempting to achieve by fiat via the National Labor Relations Board (""Obama's New Gifts to Organized Labor,"" op-ed, Aug. 9).",Advancing Unions Via Fiat From Boards and Agencies,The Wall Street Journal
47,"Hodge, Nathan","Sep 9, 2011",517, [...] it is the difference between a divided government that works and a dysfunctional government that doesn't.,U.S. News: Senator Threatens to Walk If Debt Panel Hits Defense,The Wall Street Journal
48,"Fowler, Geoffrey A; Perez, Evan","Feb 25, 2011",587," While permitting same-sex couples to marry is an issue for the states, gay-rights advocates contend that DOMA prevents couples from receiving certain federal services and rights, including Social Security, tax benefits and the ability to sponsor a foreign spouse for a visa or citizenship.",U.S. News: Shift on Gay-Marriage Law Will Affect Array of Policies,The Wall Street Journal
49,Anonymous,"Mar 28, 2011",767," The state implemented a blizzard of reforms, including wellness programs, co-payments, audits of hospitals and nursing homes, fraud prevention, and letting seniors move from nursing homes into home and community care.",Rhode Island's Medicaid Lesson,The Wall Street Journal
50,"Hakim Almasmari; Coker, Margaret; Entous, Adam","May 25, 2011",626," The Pentagon has sharply increased support for Mr. Saleh's security forces, providing them with arms and counterterrorism training to help combat al Qaeda's most active affiliate, Yemen-based al Qaeda in the Arabian Peninsula.",World News: Fighting Spurs Fears of War in Yemen,The Wall Street Journal
51,"Meckler, Laura","Sep 21, 2011",681," U.S. officials scrambled Tuesday to head off a showdown before the U.N. Security Council, where the Palestinians have said they will seek to gain membership within the U.N. The White House repeated its promise to veto the measure, but worked desperately to avoid the need to do so.",World News: White House Faces Middle East Test --- President's Problems Mount as Officials Try to Avert Arab World Showdown at U.N. General Assembly,The Wall Street Journal
52,"Bravin, Jess","May 20, 2011",653," Edward Whelan, president of the conservative Ethics and Public Policy Center, conceded that Mr. Liu is ""a very talented fellow,"" but said ""he embraces a freewheeling constitutional approach"" that approves of such practices as affirmative action and same-sex marriage. [...] Mr. Whelan said, Republicans were offended at the vocal stand Mr. Liu took against the Supreme Court nominations of Chief Justice John Roberts and Justice Samuel Alito.",U.S. News: Republicans Block Obama Judicial Nominee,The Wall Street Journal
53,"Devlin, Barrett","Jan 20, 2011",377," In a legislative chamber where seniority translates directly into political clout, only three other states could boast the same level of Senate seniority when Congress recessed for the Christmas holiday.","City News: Draining Connecticut --- Lieberman, Dodd Decisions Cost State Much Clout in Senate",The Wall Street Journal
54,"Ford, Harold; Jr.","May 11, 2011",637," President George H.W. Bush took aggressive steps to keep off-limits vast supplies of oil and gas along the coasts of California and Florida. [...] the build-up of restrictions, limitations and bans on drilling (onshore and off) have cost the U.S. economy billions of dollars while increasing our dependence on foreign sources of energy.",Washington vs. Energy Security,The Wall Street Journal
55,Anonymous,"Apr 9, 2011",97,,World-Wide,The Wall Street Journal
56,Anonymous,"May 21, 2011",842," [...] a President Romney can usher in real reform with interstate competition, abolition of defensive medicine and universal access that is fostered through a vibrant market-driven system of affordability and vouchers for the poor. Robert C. Richards Sanford, N.C. --- In his May 13 letter, Mitt Romney discusses the ability of the Massachusetts health-care reform law to ""bring down the costs of health care.""","We Can Learn From RomneyCare; Romney Should, Too",The Wall Street Journal
57,"Grossman, Andrew; Brown, Eliot","Sep 29, 2011",803," [...] he has been credited with bringing order to the rebuilding of the World Trade Center and earned plaudits from many in New York's business community. The deal unlocked construction that had been put on hold, and repaired relations frayed by the fight, such as those between Mr. Ward and the mayor. [...] Mr. Bloomberg has repeatedly praised him.",Port Authority Chief to Resign,The Wall Street Journal
58,"Mason, Joseph","Apr 25, 2011",642," According to the administration's estimates, this cost nearly 19,000 jobs in the Gulf states alone -- even though federal researchers then cut the figure by an ad hoc factor of 40%-60% to make the results more palatable.",Time for a Cease-Fire in the War on Oil,The Wall Street Journal
59,"Weisman, Jonathan; King, Neil","Aug 15, 2011",1138," The departure Sunday of former Minnesota Gov. Tim Pawlenty brought clarity to the campaign for the Republican presidential nomination, leaving social conservatives Michele Bachmann and Rick Perry as the main challengers to front-runner Mitt Romney. The desire among many Republicans for a candidate with sharp ideological edges has also hurt Mr. Romney, as some remain leery of his past embraces of abortion rights and his backing of a Massachusetts health law similar to President Barack Obama's national law.",Election 2012: GOP Race Gains Focus As Pawlenty Says Goodbye,The Wall Street Journal
60,"Weisman, Jonathan; Bendavid, Naftali","Feb 14, 2011",1264," White House officials believe the time for dealing with entitlements will come soon, when the administration and congressional Republicans come to loggerheads over spending for the current fiscal year or over raising the government's statutory borrowing limit, said Robert Greenstein, executive director of the liberal Center on Budget and Policy Priorities and a White House adviser.",Parties Clash Over Sliver of Spending,The Wall Street Journal
61,Anonymous,"Aug 31, 2011",862," In a letter to U.S. District Court Judge Larry Burns, who is overseeing Mr. Loughner's criminal trial, the prison warden asked for more time ""to complete the mental health treatment to determine if there is a substantial probability that the defendant will become competent for trial to proceed.""",U.S. Watch,The Wall Street Journal
62,"Priest, George L","Sep 6, 2011",719, [...] the best evidence of the prospective effect of a proposed acquisition is the response of competitors that will face the combined firms.,Washington's Antitrust Timewarp,The Wall Street Journal
63,Anonymous,"Sep 6, 2011",100,,What's Ahead -- People &amp; Events to Watch in the Coming Week,The Wall Street Journal
64,"Chazan, Guy","Feb 4, 2011",386," The company was close to beginning its Alaskan campaign last April when the Deepwater Horizon rig exploded, triggering the worst offshore oil spill in U.S. history, and the Obama administration responded by imposing a moratorium on offshore drilling.",Corporate News: Shell Postpones Its Plan for Offshore Alaska Drilling,The Wall Street Journal
65,"Cummins, Chip; Welsch, Edward","Jul 8, 2011",1521," Foreign companies have made roughly $40 billion in oil-sands deals since 2005, according to data provided by Calgary investment bank Peters & Co. Peter Pond, a short-tempered, Connecticut-born explorer and trapper, was the first non-native to stumble upon Alberta's oil sands. The oil sands are essentially a mix of bitumen -- a black, pungent form of crude that is thick like tar at room temperature -- and quartz sands, lying just beneath Alberta's boreal forest.","Canada Has Plenty of Oil, But Does the U.S. Want It?",The Wall Street Journal
66,"Seib, Gerald F","Aug 30, 2011",844, The committee's partisan and ideological divides are quite stark. [...] there are virtually no new ideas that haven't been tried on for size in recent months and discarded by one party or the other.,U.S. News --- CAPITAL JOURNAL: Another Deficit Standoff This Year? Maybe Not,The Wall Street Journal
67,"Hodge, Nathan","Jul 30, 2011",426," According to military officials, this was the media's first chance to see the supersonic aircraft's most unique feature, its ability to hover and land vertically.",The Deficit Fight: On the Marines' Wish List: A Pricey Jet Fighter,The Wall Street Journal
68,"Marlowe, Ann","May 31, 2011",846," The new soldiers were to re-enter Libya from Tunisia to fight Gadhafi's forces in the western mountains. Because of its remoteness, this active and dangerous front line has been little covered in the press.",How to Help the Anti-Gadhafi Fighters,The Wall Street Journal
69,"Terlep, Sharon; Power, Stephen","Jul 27, 2011",422," Five of the largest auto makers in the U.S. have endorsed a proposal by the Obama administration to set tougher fuel-economy regulations, after the White House lowered its miles-per-gallon target and built in allowances for the large trucks that drive profits at Detroit car companies, people familiar with the talks said Tuesday.",U.S. News: New Fuel-Mileage Plan Wins Backing,The Wall Street Journal
70,"Calio, Nicholas E","May 26, 2011",562," The Federal Aviation Administration estimates that commercial aviation drives $1.2 trillion in economic activity and more than 5% of U.S. gross domestic product each year -- and is responsible for 11 million jobs. New taxes on commercial aviation can and must be rejected out of hand, even as Congress struggles to find ways to reduce the federal budget deficit.",The Air Travel 'Sin' Tax,The Wall Street Journal
71,"Lee, Carol E; McKinnon, John D; Bendavid, Naftali","Jul 11, 2011",1197," President Barack Obama and Republican leaders in Congress clashed Sunday over the scope of an effort to cut the federal deficit, one that could be shorn of its most ambitious elements, including revamping the tax code and significantly reducing growth in benefit programs.",Deficit Negotiators Hit Reset --- Divisions on Spending Cuts and Tax Increases Remain as Debt-Limit Clock Ticks,The Wall Street Journal
72,Anonymous,"Mar 19, 2011",1845," Influential unions are demanding the EPA soften new rules aimed at pollution associated with coal-fired power plants, as the Obama administration's environmental agenda, long a target of business, starts to take fire from some of the Democratic Party's most reliable supporters.","This Week: Crises Deepen in Libya, Japan; Buffett Deal",The Wall Street Journal
73,Anonymous,"Jul 25, 2011",751, Mr. Boehner and the Senate's bipartisan Gang of Six produced plans that would have acceded to that White House demand in exchange for substantive tax reform that would have lowered individual and corporate rates.,Toying With Default,The Wall Street Journal
74,Anonymous,"Aug 3, 2011",606," ""There has never been in my lifetime, since we got rid of the poll tax and all the other Jim Crow burdens on voting, the determined effort to limit the franchise that we see today,"" the former President warned a student group last month.",Bill Clinton Does 'Jim Crow',The Wall Street Journal
75,"Henninger, Daniel","Apr 7, 2011",842," To win and run the country, promising voters the eternal brimstone of deficit reduction isn't enough -- and Paul Ryan knows it, just as Ronald Reagan knew it at another time of economic crisis. [...] Reagan in his 1981 budget message: The motivation and incentive of our people -- to supply new goods and services and earn additional income for their families -- are the most precious resources of our nation's economy.",A Ronald Reagan Budget,The Wall Street Journal
76,Anonymous,"Aug 24, 2011",384," Buildings (including the Pentagon and New York's City Hall) were evacuated for a time, flights were delayed or cancelled, and a Virginia nuclear plant lost its onsite power before the diesel generators kicked in.",Quaking on the East Coast,The Wall Street Journal
77,Anonymous,"Feb 11, 2011",644, [...] the White House threatened to yank aid to Egypt if security forces used violence.,Riding the Uncertain Tiger of the Revolution in Egypt,The Wall Street Journal
78,Anonymous,"Apr 20, 2011",300, The Treasury secretary said there was no risk the government would lose its top-notch bond rating.,World-Wide,The Wall Street Journal
79,Anonymous,"May 13, 2011",637," MICHIGAN Lawmakers Approve Plan With Flat Corporate Tax Michigan's state legislature Thursday passed a broad new tax structure ending a raft of tax credits, replacing the state's complex business tax with a flat corporate tax, while imposing a new pension tax and raising income taxes on residents.",U.S. News: U.S. Watch,The Wall Street Journal
80,"Paletta, Damian; Lee, Carol E","May 16, 2011",857," Many loans and business deals are based on the value of Treasurys, and if their value eroded the impact would be felt broadly. Because the government is projected to run a $1.5 trillion deficit this year, it must borrow money to cover its obligations, ranging from military spending to interest on existing debt.","U.S. News: As Debt Limit Reached, Agreement Still Far Off",The Wall Street Journal
81,Anonymous,"May 6, 2011",399," Pakistan's army chief and a top diplomat warned against a repeat of this week's raid, suggesting that U.S. forces could next time face military resistance.",World-Wide,The Wall Street Journal
82,Anonymous,"Sep 15, 2011",382," WSJ Roundup --- MINNESOTA Cooler Weather Aids Fight Against Wildfire Lighter winds and cooler temperatures delivered encouragement Wednesday as firefighters continued efforts to contain a blaze that was in a ""pause mode"" -- days after it moved at breakneck speeds, swallowing nearly 160 square miles of forest along the Minnesota-Canada border.",U.S. News: U.S. Watch,The Wall Street Journal
83,Anonymous,"Jun 24, 2011",393," Gadhafi is considering fleeing Tripoli for a more secure location due to stepped-up NATO strikes and rebel gains, U.S. intelligence shows. ---",World-Wide,The Wall Street Journal
84,"Jenkins, Holman W, Jr","Jan 5, 2011",783," Companies like Facebook spring from young minds for a reason, and it would be a near-miracle if their young CEOs were ready for the complicated public performances required of them in our politicized, lawyer-happy world in which privacy is bound to be a huge future battleground.",The SEC vs. Zuckerberg,The Wall Street Journal
85,"Hayes, Stephen F","Apr 9, 2011",863," ""Gov. John Kasich's state budget proposal swings the wrecking ball at the state's Local Government Fund, blowing open an unprecedented hole in a funding stream handed down to locals for generations,"" reported the Cleveland Plain-Dealer when the budget was released -- and that wasn't an editorial. The governor is betting his political future that the low approval ratings are temporary, and that voters will reward his party for fiscal responsibility when the budget is balanced.",Cross Country: Can Ohio's John Kasich Win Back the Voters?,The Wall Street Journal
86,"Berman, Dennis K","Feb 8, 2011",531, Kindred Healthcare Inc. is expected to announce the acquisition of RehabCare Group Inc. for about $900 million in stock and cash on Tuesday in the latest industry merger driven by relentless cost-cutting by both government and private health insurers.,Corporate News: Kindred to Acquire RehabCare Group,The Wall Street Journal
87,"Bravin, Jess; Power, Stephen","Jun 21, 2011",739," The states, frustrated that the Bush administration didn't regulate carbon dioxide as an air pollutant, sought court orders requiring American Electric Power, Southern Co., Xcel Energy Inc., Cinergy Corp. (now owned by Duke Energy Corp.) and the federal Tennessee Valley Authority to reduce emissions contributing to global warming.","U.S. News: Court Blocks States' Greenhouse-Gas Suit --- Justices Say in Unanimous Ruling That Pending EPA Rulemaking Takes Precedence for Now, but Door Left Slightly Ajar",The Wall Street Journal
88,"Weisman, Jonathan; Glueck, Katie","Jul 20, 2011",967," [...] House Republicans pressed their version, a bill that would hold the line on taxes, cut spending immediately, cap federal spending levels permanently, and secure a balanced-budget constitutional amendment that would subject any tax increase to a two-thirds majority vote. According to the new poll, 62% of Democrats and 73% of independents want Democratic leaders to make compromises to reach a budget deal.","U.S. News -- The Wall Street Journal / NBC News Poll: Public Tilts Toward Debt-Cap Compromise --- Plurality Want a Deal, but Republicans Oppose a Tax Increase, and Majority of Americans Resist Social Security Changes",The Wall Street Journal
89,"O'Connor, Patrick","Feb 12, 2011",594," At an annual gathering of conservative activists in Washington, attendees celebrated their influence, highlighted in the move by Republican leaders to seek billions of dollars in additional budget cuts after an initial draft faced criticism.",U.S. News: Contenders Back Tea-Party Message,The Wall Street Journal
90,"Weisman, Jonathan","Jun 2, 2011",709, [...] the red ink may prove problematic for a former governor running as a fiscal conservative willing to level with Americans about the tough choices needed to bring the federal deficit under control.,U.S. News: Projected State Deficit Shadows Pawlenty's Bid,The Wall Street Journal
91,"Hook, Janet","Feb 10, 2011",759," House Republicans on Wednesday said they would pursue deep cuts in spending for the rest of the current fiscal year -- including cuts to the Environmental Protection Agency, high-speed-rail projects and other White House priorities -- even as some in the party said they didn't go far enough.",U.S. News: Republicans Splintering On Size of Cuts,The Wall Street Journal
92,"Ball, Jeffrey","Mar 7, 2011",1057," First of all, the technology has developed quite a bit in the last few years, and the range is better. In 2009, the auto-industry executives were at the White House and agreed with President Obama on a plan to raise fuel-economy standards to 35.5 mpg by 2016.",Environment (A Special Report) --- A New Gear: Bill Ford of Ford Motor talks about the green car of the future,The Wall Street Journal
93,"Zuckerman, Gregory; Or, Amy","Jul 15, 2011",933," The firm was started by former consultants of Bain & Co. and used the same approach as the consulting firm, sending out teams of analysts to improve the performance of companies it buys. Bain is run by a group of nine top executives and tends to try to improve businesses over time rather than rely on financial engineering for gains.",Bain Capital Lowers Its Fees,The Wall Street Journal
94,Anonymous,"Feb 19, 2011",558," Since our friends on the left will want to know, we don't mind reporting that Judge Gergel was nominated by Mr. Obama.","Padilla Loses, Again",The Wall Street Journal
95,"Hodge, Nathan","Apr 7, 2011",455," Saudi Arabia is currently the top buyer of U.S. military hardware, and committed last year to a $60 billion arms package, the largest U.S. arms sale in history.",World News: U.S. Says Iran Is Meddling In Bahrain,The Wall Street Journal
