,abstract,author,blog,headline,id,keywords,lead_paragraph,news_desk,pub_date,seo_headline,snippet,source,url,word_count
10,"Artist Jonathan Horowitz's installation Your Land/My Land, exhibited at seven contemporary art museums around the country during the prelude to the presidential election, has raised questions about political discourse in art and in museums.",RANDY KENNEDY,[],Voting Against Ruffled Feathers,509265af95e998af7118a968,"[{u'value': u'Presidential Election of 2012', u'is_major': u'N', u'rank': u'5', u'name': u'subject'}, {u'value': u'Contemporary Art Museum (Raleigh, NC)', u'is_major': u'N', u'rank': u'1', u'name': u'organizations'}, {u'value': u'Museums', u'is_major': u'N', u'rank': u'6', u'name': u'subject'}, {u'value': u'Raleigh (NC)', u'is_major': u'N', u'rank': u'7', u'name': u'glocations'}, {u'value': u'Horowitz, Jonathan', u'is_major': u'Y', u'rank': u'3', u'name': u'persons'}, {u'value': u'Art', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'United States Politics and Government', u'is_major': u'N', u'rank': u'4', u'name': u'subject'}]",Jonathan Horowitz’s installation “Your Land/My Land” raises questions about the function of museums and the purpose and quality of politically engaged art.,Arts&Leisure,2012-11-04T00:00:00Z,American Museums Tend to Tiptoe Around Politics,Jonathan Horowitz’s installation “Your Land/My Land” raises questions about the function of museums and the purpose and quality of politically engaged art.,The New York Times,http://www.nytimes.com/2012/11/04/arts/design/american-museums-tend-to-tiptoe-around-politics.html,1830
11,,SHEILA HEEN,[],Sleeping With the (Political) Enemy,5092ec8895e998af7118ab83,"[{u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'subject', u'value': u'Marriages'}, {u'rank': u'1', u'name': u'subject', u'value': u'United States Politics and Government'}]",Two teachers of conflict resolution navigate a marriage straddling the political left and right.,Fashion & Style,2012-11-04T00:00:00Z,The Mixed-Politics Marriage - Modern Love,Two teachers of conflict resolution navigate a marriage straddling the political left and right.,The New York Times,http://www.nytimes.com/2012/11/04/fashion/the-mixed-politics-marriage.html,1461
12,,CLAYTON M. CHRISTENSEN,[],"A Capitalist’s Dilemma, Whoever Wins on Tuesday",5095a23595e998af7118b1eb,"[{u'rank': u'5', u'name': u'subject', u'value': u'Capital Gains Tax'}, {u'rank': u'6', u'name': u'subject', u'value': u'Entrepreneurship'}, {u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'subject', u'value': u'Capitalism (Theory and Philosophy)'}, {u'rank': u'1', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'4', u'name': u'subject', u'value': u'Labor and Jobs'}]",Corporations and private equity have billions of dollars on hand that they could use to empower innovation to end the economic slump. But how best to start the wheels turning?,Business Day,2012-11-04T00:00:00Z,"A Capitalist&#8217;s Dilemma, Whoever Wins the Election",Corporations and private equity have billions of dollars on hand that they could use to empower innovation to end the economic slump. But how best to start the wheels turning?,The New York Times,http://www.nytimes.com/2012/11/04/business/a-capitalists-dilemma-whoever-becomes-president.html,1845
13,,NICHOLAS CONFESSORE and JO CRAVEN McGINTY,[],Some Voters Are Spelling Out Their Indecision on Their Donation Checks,5095456695e998af7118b14a,"[{u'rank': u'5', u'name': u'subject', u'value': u'Campaign Finance'}, {u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'6', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'7', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'2', u'name': u'subject', u'value': u'Voting and Voters'}]",Back-and-forth donations from a sliver of ordinary voters mirror the undulations of the swing electorate.,U.S. / Politics,2012-11-04T00:00:00Z,Some Voters Waver Even in Their Political Donations,Back-and-forth donations from a sliver of ordinary voters mirror the undulations of the swing electorate.,The New York Times,http://www.nytimes.com/2012/11/04/us/politics/some-voters-waver-even-in-their-political-donations.html,966
14,,SHERYL GAY STOLBERG,[],A Long-Shot Campaign Could Threaten Romney’s Chances in Virginia,5095697595e998af7118b196,"[{u'rank': u'5', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'2', u'name': u'persons', u'value': u'Goode, Virgil H Jr'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'glocations', u'value': u'Virginia'}]",Virgil Goode’s third-party run for president is making some Republicans nervous in a crucial battleground state.,U.S. / Politics,2012-11-04T00:00:00Z,"In Virginia, Third-Party Candidate Virgil Goode Could Disrupt Romney&#8217;s Chances",Virgil Goode’s third-party run for president is making some Republicans nervous in a crucial battleground state.,The New York Times,http://www.nytimes.com/2012/11/04/us/politics/in-virginia-third-party-candidate-virgil-goode-could-disrupt-romneys-chances.html,846
15,,MARK LANDLER,[],"Obama, on a Weekend March, Tries to Recapture His Mantle",5095a58095e998af7118b1f2,"[{u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'persons', u'value': u'Obama, Barack'}]","As he set off on a morning-to-midnight march through Ohio, Wisconsin, Iowa and Virginia, Mr. Obama scoffed at Mitt Romney’s recent attempt to appropriate the “change” label.",U.S. / Politics,2012-11-04T00:00:00Z,,"As he set off on a morning-to-midnight march through Ohio, Wisconsin, Iowa and Virginia, Mr. Obama scoffed at Mitt Romney’s recent attempt to appropriate the “change” label.",The New York Times,http://www.nytimes.com/2012/11/04/us/politics/obama-on-a-weekend-march-tries-to-recapture-his-mantle.html,998
16,,MONICA DAVEY and MICHAEL WINES,[],"Getting Out the Ohio Vote, Campaigns Are a Study in Contrasts",5095e5c195e998af7118b253,"[{u'rank': u'5', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'6', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'subject', u'value': u'Volunteers and Community Service'}, {u'rank': u'2', u'name': u'subject', u'value': u'Voting and Voters'}, {u'rank': u'1', u'name': u'glocations', u'value': u'Ohio'}, {u'rank': u'4', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","As a marathon campaign in Ohio nears a conclusion, the contest has become political trench warfare, President Obama’s intricate operation jousting with the raw drive of Mitt Romney’s field team.",U.S. / Politics,2012-11-04T00:00:00Z,"In Ohio, 2 Campaigns Offer a Study in Contrasts","As a marathon campaign in Ohio nears a conclusion, the contest has become political trench warfare, President Obama’s intricate operation jousting with the raw drive of Mitt Romney’s field team.",The New York Times,http://www.nytimes.com/2012/11/04/us/politics/in-ohio-2-campaigns-offer-a-study-in-contrasts.html,3521
17,,JEFF ZELENY and JIM RUTENBERG,[],"With Time as Tight as Race, Romney and Obama Zero In",5095470b95e998af7118b14d,"[{u'rank': u'5', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'9', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'15', u'name': u'glocations', u'value': u'Florida'}, {u'rank': u'6', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'11', u'name': u'glocations', u'value': u'Virginia'}, {u'rank': u'16', u'name': u'glocations', u'value': u'Iowa'}, {u'rank': u'14', u'name': u'glocations', u'value': u'Ohio'}, {u'rank': u'8', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'13', u'name': u'glocations', u'value': u'New Hampshire'}, {u'rank': u'17', u'name': u'glocations', u'value': u'Colorado'}, {u'rank': u'10', u'name': u'glocations', u'value': u'Wisconsin'}, {u'rank': u'18', u'name': u'glocations', u'value': u'Midwestern States (US)'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'12', u'name': u'glocations', u'value': u'Nevada'}, {u'rank': u'4', u'name': u'subject', u'value': u'States (US)'}, {u'rank': u'7', u'name': u'subject', u'value': u'Political Advertising'}, {u'rank': u'2', u'name': u'persons', u'value': u'Obama, Barack'}]","For President Obama and Mitt Romney, a stubborn landscape of competitive states is producing equal shares of hope and fear amid conflicting signals about the outcome.",U.S. / Politics,2012-11-04T00:00:00Z,Obama and Romney Zero In on Battleground States,"For President Obama and Mitt Romney, a stubborn landscape of competitive states is producing equal shares of hope and fear amid conflicting signals about the outcome.",The New York Times,http://www.nytimes.com/2012/11/04/us/politics/obama-and-romney-zero-in-on-battleground-states.html,1687
18,,GRETCHEN MORGENSON,[],One Safety Net That Needs to Shrink,5095891e95e998af7118b1ca,"[{u'rank': u'5', u'name': u'organizations', u'value': u'CME Group Inc'}, {u'rank': u'8', u'name': u'organizations', u'value': u'Options Clearing Corp'}, {u'rank': u'6', u'name': u'organizations', u'value': u'IntercontinentalExchange Inc'}, {u'rank': u'3', u'name': u'subject', u'value': u'Regulation and Deregulation of Industry'}, {u'rank': u'2', u'name': u'subject', u'value': u'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)'}, {u'rank': u'1', u'name': u'subject', u'value': u'Banking and Financial Institutions'}, {u'rank': u'7', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'organizations', u'value': u'Chicago Mercantile Exchange'}]",Eight lucky financial institutions got the best of both worlds under Dodd-Frank: access to the Fed’s money and no penalty for failure.,Business Day,2012-11-04T00:00:00Z,,Eight lucky financial institutions got the best of both worlds under Dodd-Frank: access to the Fed’s money and no penalty for failure.,The New York Times,http://www.nytimes.com/2012/11/04/business/one-safety-net-that-needs-to-shrink.html,973
19,,PHILIP GALANES,[],A Bully’s Pulpit,5092f75e95e998af7118abbf,"[{u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'subject', u'value': u'Customs, Etiquette and Manners'}, {u'rank': u'1', u'name': u'subject', u'value': u'Freedom of Speech and Expression'}]","Answers to questions about whether to respond to an employee&#8217;s political rants, confronting a landlord over campaign signs and other sticky situations related to the presidential election.",Fashion & Style,2012-11-04T00:00:00Z,Telling a Co-Worker When a Political Rant Is Out of Line - Social Q&#8217;s,"Answers to questions about whether to respond to an employee&#8217;s political rants, confronting a landlord over campaign signs and other sticky situations related to the presidential election.",The New York Times,http://www.nytimes.com/2012/11/04/fashion/telling-a-co-worker-when-a-political-rant-is-out-of-line.html,788
20,,PHILIP GALANES,[],A Bully’s Pulpit,5092f75e95e998af7118abbf,"[{u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'subject', u'value': u'Customs, Etiquette and Manners'}, {u'rank': u'1', u'name': u'subject', u'value': u'Freedom of Speech and Expression'}]","Answers to questions about whether to respond to an employee&#8217;s political rants, confronting a landlord over campaign signs and other sticky situations related to the presidential election.",Fashion & Style,2012-11-04T00:00:00Z,Telling a Co-Worker When a Political Rant Is Out of Line - Social Q&#8217;s,"Answers to questions about whether to respond to an employee&#8217;s political rants, confronting a landlord over campaign signs and other sticky situations related to the presidential election.",The New York Times,http://www.nytimes.com/2012/11/04/fashion/telling-a-co-worker-when-a-political-rant-is-out-of-line.html,788
21,,DAVID SEGAL,[],"Party Planning, for Both Victory and Defeat",50957ec695e998af7118b1b6,"[{u'rank': u'3', u'name': u'subject', u'value': u'Parties (Social)'}, {u'rank': u'2', u'name': u'glocations', u'value': u'Las Vegas (Nev)'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'subject', u'value': u'United States Politics and Government'}]","As a feat of event planning, there is nothing quite like an election-night party, which could be an evening of triumph or fiasco, a celebration or a wake.",Business Day,2012-11-04T00:00:00Z,"In Election-Night Party Planning, Flexibility Is a Must","As a feat of event planning, there is nothing quite like an election-night party, which could be an evening of triumph or fiasco, a celebration or a wake.",The New York Times,http://www.nytimes.com/2012/11/04/business/in-election-night-party-planning-flexibility-is-a-must.html,2028
22,,ASHLEY PARKER,[],Romney Sweeps Through Four Events in Three States With 72 Hours to Go,5095a50795e998af7118b1f0,"[{u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'persons', u'value': u'Romney, Mitt'}]","On his busiest day of the general election so far, Mitt Romney said he would bring the hope, change and bipartisanship that President Obama promised four years ago but failed to deliver.",U.S. / Politics,2012-11-04T00:00:00Z,,"On his busiest day of the general election so far, Mitt Romney said he would bring the hope, change and bipartisanship that President Obama promised four years ago but failed to deliver.",The New York Times,http://www.nytimes.com/2012/11/04/us/politics/with-72-hours-to-go-romney-sweeps-through-four-events-in-three-states.html,704
23,,MATT BAI,[],Still Waiting for the Narrator in Chief,508f9b5d95e998af7118a1ef,"[{u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2008'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'subject', u'value': u'United States Politics and Government'}]",Why the president lost his ability to tell a story.,Magazine,2012-11-04T00:00:00Z,,Why the president lost his ability to tell a story.,The New York Times,http://www.nytimes.com/2012/11/04/magazine/still-waiting-for-the-narrator-in-chief.html,1592
24,"Elections that will decide which party will control Senate are taking place across set of states where neither presidential candidate has campaigned, and it is likely that neither candidate will provide coattails to ensure his agenda will have strong support in Congress's upper chamber.",JONATHAN WEISMAN,[],Senate Candidates See Little Coattail Effect,5094983b95e998af7118b08f,"[{u'value': u'Arizona', u'is_major': u'N', u'rank': u'11', u'name': u'glocations'}, {u'value': u'Donnelly, Joseph Simon', u'is_major': u'N', u'rank': u'5', u'name': u'persons'}, {u'value': u'Indiana', u'is_major': u'N', u'rank': u'9', u'name': u'glocations'}, {u'value': u'Heitkamp, Heidi', u'is_major': u'N', u'rank': u'7', u'name': u'persons'}, {u'value': u'Obama, Barack', u'is_major': u'N', u'rank': u'3', u'name': u'persons'}, {u'value': u'Mourdock, Richard E', u'is_major': u'N', u'rank': u'6', u'name': u'persons'}, {u'value': u'Berg, Richard Alan', u'is_major': u'N', u'rank': u'8', u'name': u'persons'}, {u'value': u'United States', u'is_major': u'Y', u'rank': u'13', u'name': u'glocations'}, {u'value': u'North Dakota', u'is_major': u'N', u'rank': u'10', u'name': u'glocations'}, {u'value': u'Elections, Senate', u'is_major': u'N', u'rank': u'1', u'name': u'subject'}, {u'value': u'Montana', u'is_major': u'N', u'rank': u'12', u'name': u'glocations'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'4', u'name': u'persons'}]","The Senate’s future is being decided largely beyond the focus of the presidential contest, in states like North Dakota and Indiana where neither presidential candidate has campaigned.",National,2012-11-03T00:00:00Z,Senate Races Get Little Lift From Obama and Romney,"The Senate’s future is being decided largely beyond the focus of the presidential contest, in states like North Dakota and Indiana where neither presidential candidate has campaigned.",The New York Times,http://www.nytimes.com/2012/11/03/us/politics/senate-races-get-little-lift-from-obama-and-romney.html,972
25,"Election officials are struggling to avoid voting disruptions caused by Hurricane Sandy in New York, New Jersey and Connecticut.",MICHAEL COOPER,[],"Disruption From Storm
May Be Felt at
the Polls",5094878595e998af7118b077,"[{u'value': u'Voting and Voters', u'is_major': u'N', u'rank': u'5', u'name': u'subject'}, {u'value': u'Elections, House of Representatives', u'is_major': u'N', u'rank': u'7', u'name': u'subject'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'6', u'name': u'subject'}, {u'value': u'New Jersey', u'is_major': u'Y', u'rank': u'3', u'name': u'glocations'}, {u'value': u'Hurricane Sandy (2012)', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'New York State', u'is_major': u'Y', u'rank': u'2', u'name': u'glocations'}, {u'value': u'Connecticut', u'is_major': u'Y', u'rank': u'4', u'name': u'glocations'}]","Along the Eastern Seaboard and beyond, elections officials are struggling to avoid storm-related voting disruptions.",National,2012-11-03T00:00:00Z,Hurricane Sandy Threatens to Disrupt Voting on Election Day,"Along the Eastern Seaboard and beyond, elections officials are struggling to avoid storm-related voting disruptions.",The New York Times,http://www.nytimes.com/2012/11/03/us/politics/hurricane-sandy-threatens-to-disrupt-voting-on-election-day.html,1165
26,,MICHAEL D. SHEAR,[],Economic Data Offers Little Change in Dynamic Between Obama and Romney,5093d28595e998af7118add5,"[{u'rank': u'5', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'Unemployment'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}]","Mitt Romney called the numbers “a sad reminder that the economy is at a virtual standstill,” but the White House cited the report as further evidence that the nation’s economy is recovering.",U.S. / Politics,2012-11-03T00:00:00Z,Jobs Report Offers Little Change in Dynamic Between Obama and Romney,"Mitt Romney called the numbers “a sad reminder that the economy is at a virtual standstill,” but the White House cited the report as further evidence that the nation’s economy is recovering.",The New York Times,http://www.nytimes.com/2012/11/03/us/politics/jobs-report-offers-little-change-in-dynamic-between-obama-and-romney.html,702
