,author,date,section,word_count,abstract
37,"Leddy, Chuck","Jan 24, 2012",Living Arts,718,"
In this period of seemingly endless recession, we can no longer continue paying billions for bank bailouts, entitlement programs such as Social Security and Medicare, the military, endless unemployment benefits, and countless antipoverty programs, while keeping taxes relatively low and maintaining countless programs to promote ""job creation.""
"
38,"Kayyem, Juliette","Jan 26, 2012",Editorial,707,"
Selling immigration reform with the American flag and the dollar bill, the State of the Union speech represented a subtle shift in how immigration is discussed and debated.  [...] it's one that Wall Street and Silicon Valley have been begging for.
"
39,"McKenna, Kathleen","Jan 26, 2012",Obits,1110,"
In 1978, she coauthored a book, ""A Primer for Policy Analysis,"" that is still used in classrooms nationwide.  Besides teaching, Mrs. Stokey helped design the Kennedy School curriculum and admissions policies.
"
40,"Preer, Robert","Jan 29, 2012",South,1016,"
Another Democrat, former state senator Robert A. O'Leary of Barnstable, who finished 1,300 votes, or 2 percentage points, behind Keating in the 2010 Democratic race, is considering running again.  In the process, the Legislature created a minority-majority district centered in Boston and crafted the 9th District to give more clout to a growing region that for decades has been represented in Congress by politicians from Boston or nearby inner suburbs The new 9th stretches from Marshfield to Provincetown and extends along the south coast to southeast sections of Fall River.
"
41,,"Jan 29, 2012",National,412,"
Politics; the Latino vote; reaction to the president's State of the Union address.  Rick Santorum, presidential candidate; Senator John McCain of Arizona; Fred Thompson, former senator; David Axelrod, Obama campaign senior political strategist; Joe Scarborough, MSNBC host; Doris Kearns Goodwin, presidential historian; Chuck Todd, NBC News. 10:30 a.m. (7) This Week in Business. 
"
42,"Neyfakh, Leon","Jan 29, 2012",Ideas,2151,"
According to Farris, he told a friend that he hadn't really wanted to win the presidency anyway, because he was sure ""no man will ever bring out of that office the reputation which carried him into it.""
"
43,"Johnson, Glen","Jan 31, 2012",National,941,"
Bush viewed South Carolina as his political firewall, much as Romney has viewed Florida in his quest for the 2012 Republican presidential nomination.  McCain also railed against phone calls accusing his wife of being a drug addict, of him having an illegitimate daughter, and of him fathering a black child - an allusion to the daughter he adopted from Bangladesh.
"
44,"Rowland, Christopher","Feb 1, 2012",National,1045,"
TAMPA - Mitt Romney presented a potent case in Florida yesterday that he is the strongest Republican candidate to challenge President Obama by clobbering Newt Gingrich in a third swing state.  First came Iowa, where Romney almost won and Gingrich placed a distant fourth.
"
45,,"Feb 1, 2012",Living Arts,280,"
Super Bowl's Greatest Commercials 8 p.m., Channel 4 Herding cats, tiny Darth Vader, Betty White getting tackled, frogs, and lizards. 
"
46,"vennochi, joan","Feb 2, 2012",Editorial,741,"
At Sunday Mass, Catholic parishioners across the country were read letters denouncing the Obama administration's recent decision to require religiously affiliated hospitals, colleges, and charities to offer health insurance coverage to employees for contraception and the ""morning-after pill.""
"
47,"Parish, Matt","Feb 3, 2012",Living Arts,1026,"
The financial goal of the event is to raise money for the Eastern Massachusetts Abortion Fund, a Cambridge-based volunteer group that helps to pay for abortions, but the hopes are to create a lasting network for creative feminists in Boston and beyond.  Starting back in July at the Plough and Stars, the group began organizing a whirlwind of fund-raising shows; ""Ladyfest"" graced dozens of flyers throughout the fall and almost took on its own social scene, bridging bars, galleries, and DIY spaces.
"
48,"Gabler, Neal","Feb 4, 2012",Opinion,797,"
[...] he seemed less worried about Reagan destroying liberalism temporarily than he was about Carter sapping it permanently.
"
49,,"Feb 6, 2012",Living Arts,557,"
Black Box Theater at the Arsenal Center for the Arts, 321 Arsenal St., Watertown. 617-923-8487. www.arsenalarts.org A testament Church is the perfect venue for David Javerbaum, who will talk about his new book, ""The Last Testament: A Memoir by God,"" with comedian Lauren Antler. 
"
50,"Schweitzer, Sarah","Feb 13, 2012",Metro,903,"
Correction:  Because of a reporting error, a Page One story in Monday's paper about the gay marriage battle in several states misstated the results of a Maine referendum on repealing its gay marriage law in 2009. 
"
51,,"Feb 13, 2012",Living Arts,376,"
In 1991, during Operation Desert Storm, allied warplanes destroyed an underground shelter in Baghdad that had been identified as a military command center; Iraqi officials said 500 civilians were killed.  In 2002, John Walker Lindh pleaded not guilty in federal court in Alexandria, Va., to conspiring to kill Americans and supporting the Taliban and terrorist organizations. 
"
52,"Tracy, Jan; Bender, Bryan","Feb 14, 2012",National,1564,"
Since the president knows his budget is not going to pass, it frees him up to do exactly what he needs to do in order to get reelected: please the Democratic base and defer budgetary pain for key segments of the population.
"
53,"Tracy, Jan","Feb 15, 2012",National,879,"
WASHINGTON - Senator Scott Brown, entering a political thicket pitting women's reproductive rights against beliefs of some religious institutions, is cosponsoring a bill that would allow employers and insurers to limit specific health care coverage, including contraception, based on religious or moral objections.  The bill has gained momentum following the uproar surrounding President Obama's January announcement that universities and hospitals affiliated with the Catholic Church and other religious groups need to provide contraception as part of their employee health coverage.
"
54,"Mooney, Brian C","Feb 15, 2012",National,1042,"
There are rumblings about seeking a constitutional amendment that would take years and be difficult to pass, and congressional Democrats led by Maryland Representative Christopher Van Hollen have filed legislation that would increase disclosure requirements and compel social welfare groups engaged in political activity to reveal their donors.
"
55,"Mooney, Brian C","Feb 15, 2012",Metro,960,"
Warren, a bankruptcy law expert and consumer advocate, also had significantly higher concentrations of donations among those who listed their occupations as engineer, physician, scientist, writer, artist, or author. 
"
56,"Peters, Alan","Feb 16, 2012",Letters,299,"
How else can the left send Democrats a message? I HAVE a few questions for Obama supporters and Democratic voters regarding the Feb. 8 letters ""Unhappy liberals and Obama,"" which were published in response to Neal Gabler's op-ed ""The liberal case against Obama"": How do we convince our elected officials to resist corporate pressure when we provide no pressure of our own? 
"
57,"Wulff, June","Feb 16, 2012",Living Arts,556,"
KIDS NTRAK MODEL TRAINS SHOW A carnival scene, Japanese gardens, and a railroad maintenance facility are a few of the highlights presented by the Northeast Ntrak Modular Railroad Club. 
"
58,"Levenson, Michael","Feb 17, 2012",National,965,"
[...] in Michigan, he is highlighting the times he battled unions - his efforts, for example, to ban union members from serving as government managers and to exempt small public works projects from the state's prevailing wage law.
"
59,"Loth, Renee","Feb 18, 2012",Editorial,702,"
Of the 11 states whose legislatures switched from Democratic to Republican majorities in 2010, all 11 introduced bills imposing strict new voter ID requirements.
"
60,,"Feb 19, 2012",National,381,"
Ron Paul, presidential candidate; Howard Schultz, Starbucks chief executive; General Michael Hayden, former CIA director; Edward Walker, former US ambassador to Egypt and Israel; Governor Mitch Daniels of Indiana. 9 a.m. (CNN) Fox News Sunday.  President Obama's budget and its potential impact on New England; containing health care costs; NStar/Northeast Utilities merger; Susan Hockfield to step down as MIT president; Pax East gaming convention signs long-term Boston contract; spring training begins. 
"
61,,"Feb 21, 2012",Sports,942,"
College basketball Napier lifts Connecticut in overtime Shabazz Napier hit a 29-footer with 0.6 seconds left in overtime, and Jeremy Lamb scored a career-high 32 points to help Connecticut defeat Villanova, 73-70, in Philadelphia.  Paul Kelly, former head of the NHL Players' Association, resigned as executive director of College Hockey Inc., which markets the sport. 
"
62,,"Feb 22, 2012",Living Arts,602,"
(The US team went on to win the gold medal.) In 1987, pop artist Andy Warhol died at a New York City hospital at 58; talk-show host David Susskind was found dead in his Manhattan hotel suite; he was 66.  The United Nations' nuclear watchdog agency said that Iran had ignored a Security Council ultimatum to freeze uranium enrichment, and instead had expanded its program by setting up hundreds of centrifuges.\n 
"
63,"lehigh, scot","Feb 24, 2012",Editorial,685,"
In 2002 comments to the National Catholic Reporter, Santorum rejected the idea that a politician shouldn't decide public policy issues based on his personal religious beliefs, saying that notion has caused much harm in America.
"
64,,"Feb 25, 2012",Living Arts,396,"
In 1913, the 16th Amendment to the Constitution, giving Congress the power to levy and collect income taxes, was declared in effect by Secretary of State Philander Chase Knox.  In 2011, Republicans in the Wisconsin Assembly took the first significant action on their plan to strip collective bargaining rights from most public workers, abruptly passing the measure in the small hours before sleep-deprived Democrats realized what was happening. 
"
65,,"Feb 26, 2012",Editorial,614,"
THE 2012 presidential election is still in its early stages, but the transformative effect of super PACs - ostensibly independent groups that collect unlimited funds from unions, corporations, and wealthy individuals - is vividly apparent.
"
66,"Shemkus, Sarah","Feb 26, 2012",Business,790,"
The lifetime maximum, however, could fall to $1 million in 2013.  [...] it may be wise for those who are financially able to give the entire $5 million before the limit is lowered, said Scott Kaplowitch, partner at accounting firm Edelstein &amp; Co. in Boston.
"
67,"Schoenberg, Shira","Feb 29, 2012",Metro,431,"
The number of registered voters in Massachusetts has dropped since the 2010 elections but grown since the 2008 presidential primary, according to new statistics released by the secretary of state's office.
"
68,"Schweitzer, Sarah","Mar 1, 2012",Metro,884,"
There are solid tactical reasons underlying Brown's invocation of Kennedy in the radio ad that defends his cosponsorship of the Blunt Amendment, which would give employers and health insurers broad moral and religious exemptions in health care coverage.  Linda Fowler, a Dartmouth College government professor, said at a time of heightened fractiousness in the Republican Party over social conservatism - particularly as Rick Santorum continues to push its boundaries - Brown's position on contraception has left him vulnerable to being labeled a follower of the right wing of his party.
"
69,"Schweitzer, Sarah","Mar 2, 2012",National,1032,"
NASHUA - President Obama, in his second visit in three months to the battleground state of New Hampshire, fiercely defended his energy policies yesterday against Republican attacks, offering a preview of his strategy to quell voter anger over rising gas prices.  Rising gas prices are a function of global markets, particularly instability in Iran, he said, which is best countered with expanding sustainable energy sources and ending $4 billion in subsidies annually given to oil and gas companies.
"
70,,"Mar 2, 2012",Living Arts,451,"
In 1962, Wilt Chamberlain scored 100 points for the Philadelphia Warriors in a game against the New York Knicks, an NBA record that still stands.  In 2007, a charter bus carrying a college baseball team from Bluffton University in Ohio plunged off an Atlanta highway ramp and slammed into the pavement below, killing seven people. 
"
71,,"Mar 4, 2012",National,365,"
Super Tuesday; 2012 White House and Congress; Obama's AIPAC speech; Guests include former House speaker Newt Gingrich and Representative Ron Paul, Republican presidential candidates. 9 a.m. (CNN) Fox News Sunday. 
"
72,"Vennochi, Joan","Mar 4, 2012",Editorial,711,"
According to a Pew Research Center report published after the November 2008 election, 66 percent of voters under age 30 supported Obama over Republican John McCain.  [...] he also looked at a community college crowd gathered in an unpretentious building on a snowy day and tapped into his old calling card - that seductive combination of hope, belief in self, and belief in America's collective ability to achieve greatness.\n
"
73,"Lewis, Kevin","Mar 4, 2012",Ideas,710,"
People were more willing to donate to public school classrooms portrayed as having young black students than those portrayed as having older black students; more willing to donate to young black students than young white students; and more willing to donate to older white students than older black students.
"
74,,"Mar 6, 2012",Living Arts,745,"
According to the real estate website Homefacts.com, there is a 1.87 percent probability of a 5.0 magnitude earthquake hitting Auburndale, near where I live, within the next 50 years.  Speaking of Governor Patrick, how can you predict anything but a seismic yawn for his forthcoming e-book, ""Faith in the Dream: A Call to Our Nation's Liberal Majority to Restore American Values""?
"
75,"Rowland, Christopher","Mar 7, 2012",National,1127,"
WASHINGTON - The once and future front-runner, Mitt Romney, has labored back into position as the leader for the Republican nomination.  Political consultants and analysts say tough primaries like this one can have a silver lining because they season the winning candidate for a general election.
"
76,"Rowland, Christopher","Mar 10, 2012",National,1110,"
[...] for now, the front-runner for the GOP presidential nomination is weakened by his lack of support among religious conservatives.  The Mormon concept of Jesus - that he is son of God, but a separate being - is different from the traditional Christian view that the trinity of father, son, and Holy Spirit make up a single divine entity.
"
77,"Denison, D C","Mar 10, 2012",News,875,"
Companies in this sector range from financial services providers to health care firms to restaurants and hotels.  [...] Wall Street marked a three-year anniversary this week from the market lows during the recession in 2009 with a modest increase in stock prices.
"
78,"Vennochi, Joan","Mar 15, 2012",Editorial,712,"
The same outcome is possible this time.  [...] Romney's rejection by the most conservative factions of the Republican Party is good news for him in a general election, when moderate is not a dirty word.
"
79,"Mooney, Brian C","Mar 16, 2012",National,1084,"
There are still no plans for Mitt Romney to dip into his personal fortune, as he did four years ago, to bankroll his candidacy, several campaign advisers said this week, even as the battle for the Republican presidential nomination looks increasingly like it will be a long and expensive fight.
"
80,"Viser, Matt","Mar 22, 2012",National,988,"
Yet comments from a top aide inadvertently turned a morning of celebration into an afternoon of damage control for the GOP presidential candidate.  ""Primary elections have been held in 34 states, and now is the time for Republicans to unite behind Governor Romney and take our message of fiscal conservatism and job creation to all voters this fall,"" Bush said in a statement.
"
81,,"Mar 25, 2012",National,360,"
David Plouffe, senior White House adviser; Governor Rick Scott of Florida; Senator Lindsey Graham of South Carolina; Michael Duffy, Time magazine; Susan Page, USA Today. 9 a.m. and noon.  Bruce Bueno de Mesquita, New York University professor; Richard N. Haass, Council on Foreign Relations president; Anne-Marie Slaughter, Woodrow Wilson School of Public and International Affairs dean; Sir James Wolfensohn, former president of the World Bank Group; Reid Hoffman, American venture capitalist. 
"
82,"Jacoby, Jeff","Mar 25, 2012",Editorial,790,"
First of two columns `I Don't mean to be flip with this, said Mitt Romney during a q-and-a with students at the University of Chicago last week.
"
83,"Vennochi, Joan","Mar 25, 2012",Editorial,704,"
Asked last week how the former Massachusetts governor will adjust after being pushed to the right by primary opponents, Fehrnstrom, a key Romney spokesman, told a CNN interviewer, I think you hit a reset button for the fall campaign.  After the slip-up, Romney quickly covered for his longtime adviser, by casting his remarks in the context of strategy, not principle: ""Organizationally, a general election campaign takes on a different profile,"" the candidate explained.
"
84,"Gilsdorf, Ethan","Mar 25, 2012",Living Arts,1146,"
Winner of the 2012 Louis P. and Evelyn Smith First Amendment Award, the Harvard University and Harvard Lampoon alumnus comes back to Boston on Tuesday for ""Strategery: SNL's Remarkable Influence Over Politics Through Satire,"" a free event sponsored by Ford Hall Forum at Suffolk University.  Q. I suspect you're getting this First Amendment Award because your writing at ""SNL"" has helped shaped the political process and public discourse.
"
85,"Irons, Meghan E","Mar 27, 2012",Metro,1056,"
According to the Warren Group, the median sale price for a single-family home in Mattapan last year was $200,000, compared with $279,000 in Hyde Park.
"
86,"Borchers, Callum","Mar 28, 2012",National,592,"
Mitt Romney's labeling of Russia as the United States' ""number one geopolitical foe"" sparked criticism Tuesday from the Kremlin and foreign policy specialists.
"
87,Anonymous,"Mar 31, 2012",Editorial,356,"
Romney's statements were made in response to President Obama's remark to Russian President Dmitri Medvedev - accidentally caught by a live microphone - that the White House might be more flexible with Russia after the election.
"
88,,"Mar 31, 2012",Editorial,353,"
Romney's statements were made in response to President Obama's remark to Russian President Dmitri Medvedev - accidentally caught by a live microphone - that the White House might be more flexible with Russia after the election. 
"
89,,"Apr 1, 2012",National,310,"
High gas prices; President Obama's poll numbers; budget; election; national security; Syria.  Republican primaries; health care reform; gas prices. 
"
90,"Magill, R Jay, Jr","Apr 1, 2012",Ideas,1793,"
When Mitt Romney's longtime campaign adviser Eric Fehrnstrom was asked on CNN if Romney risked losing moderate voters by appearing too conservative in the Republican primaries, Fehrnstrom replied: I think you hit a reset button for the fall campaign.  Protestant ministers from London to Boston--important community and political leaders of their day--prided themselves on being sincere and speaking from the heart (thus the invention of the sermon; reading from prepared texts was for Anglicans). 
"
91,"Ryan, Bob","Apr 3, 2012",Sports,1270,"
Nellie is the proud member of a 12-member Class of 2012, one that is the product of Naismith Basketball Hall of Fame chairman Jerry Colangelo's drive to open up the Hall by forming subcommittees, if you will, to evaluate specific segments of the basketball community and select an annual representative by what we shall call ""direct appointment,"" rather than being elected by a vote of the 24-person Honors Committee.  Elected along with Nellie by the standard Honors Committee were Reggie Miller, Jamaal Wilkes, Ralph Sampson (a three-time national Player of the Year), referee Hank Nichols, two-time Olympic gold medalist Katrina McClain, and the All-American Red Heads, the female version of the Harlem Globetrotters and the first women's professional basketball team. 
"
92,"Ryan, Bob","Apr 3, 2012",Sports,880,"
Nellie is the proud member of a 12-member Class of 2012, one that is the product of Naismith Basketball Hall of Fame chairman Jerry Colangelo's drive to open up the Hall by forming subcommittees, if you will, to evaluate specific segments of the basketball community and select an annual representative by what we shall call ""direct appointment,"" rather than being elected by a vote of the 24-person Honors Committee.  Elected along with Nellie by the standard Honors Committee were Reggie Miller, Jamaal Wilkes, Ralph Sampson (a three-time national Player of the Year), referee Hank Nichols, two-time Olympic gold medalist Katrina McClain, and the All-American Red Heads, the female version of the Harlem Globetrotters.
"
93,"Moskowitz, Eric","Apr 4, 2012",Metro,731,"
Many analysts say the MBTA's problem is not mismanagement - it beats several peer agencies on administrative costs and operating expense per passenger and mile - but too much debt and too little income, as well as rising utility costs and soaring use of The Ride, a federally mandated service for the disabled.
"
94,Bobby Caina Calvan,"Apr 7, 2012",National,1158,"
Polls indicate Pennsylvanians are just as torn about Santorum today as they were six years ago, when he failed in his reelection bid for a third term, losing to Democrat Bob Casey by 18 points, the widest margin anyone can remember.  According to recent polls, Romney has been cutting into Santorum's lead.
"
95,"Mooney, Brian C","Apr 8, 2012",National,1390,"
For the first time in the post-Watergate era, neither candidate will use public funds, and the super PACs created as a result of a 2010 Supreme Court ruling will have their first chance to wield their unlimited contributions from wealthy individuals, corporations, and labor unions as the nation selects a president.  The Obama campaign has fallen behind its torrid 2008 fund-raising pace, and while Republican donations to presidential candidates have also dropped off from 2008 levels, the influence of super PACs, technically independent political committees, has filled much of the void on the GOP side of the ledger.
"
