,abstract,author,date,headline,section,source,word_count,id,candidate
291," A mother of five sons and grandmother to 16, she speaks to campaign gatherings about her husband's commitment to his family and his respect for her role raising the family; she takes a pass on policy debates. Though there is no cure for multiple sclerosis, doctors have recommended ways to manage symptoms, ranging from physical or occupational therapy, to the use of wheelchairs or walkers, to stress management, nutrition, exercise, and alternative therapies such as reflexology.","Schoenberg, Shira",2011-09-22,Trail no obstacle for Ann Romney,National,Boston Globe,1292.0,291,Romney
294, WASHINGTON - A $1 million contribution from an obscure firm to a political action committee run by former aides of Republican presidential candidate Mitt Romney prompted calls for an inquiry and concern among campaign finance specialists that the donor may be trying to circumvent federal law.,"Slack, Donovan",2011-08-05,Mystery donation to PAC for Romney draws scrutiny,National,Boston Globe,770.0,294,Romney
305," A Dan Wasserman editorial cartoon editorial cartoon depicts Republican presidential candidate W. Mitt Romney imagining his rival Newt Gingrich ""self-deporting.""",Dan Wasserman,2012-01-28,Editorial cartoon,,Boston Globe,,305,Romney
309," The 10 primaries and caucuses to be held in two days - collectively known as ""Super Tuesday"" - once seemed like the date on which Mitt Romney would wrap up the Republican presidential nomination he has so determinedly sought. By this time, according to the Romney game plan, party activists would join the establishment in coalescing around him, his opponents' money would dry up, and he would start moving toward the political middle to woo independents.","Kranish, Michael; Viser, Matt",2012-03-04,Another trial by primary for Mitt Romney,National,Boston Globe,1426.0,309,Romney
311," WASHINGTON - Mitt Romney proposed a significant restructuring of the American education system on Wednesday, one that would revamp funding formulas, encourage more charter schools, and revive the debate over how poor and disabled students choose the schools they attend.","Viser, Matt",2012-05-24,Mitt Romney proposes overhaul of US education system,National,Boston Globe,1072.0,311,Romney
316," [...] right from the start, from the Arab Spring to the craziness of the Republican nomination process to bin Laden taking one in the head, it's been spectacularly busy. Q. Speaking of Republicans, can you imagine any of these presidential candidates being elected? A. I think Romney, against all the desires of the party, is going to be the nominee.","Shanahan, Mark",2011-10-27,This comic stands up to America,Living Arts,Boston Globe,778.0,316,Romney
322," Romney, pointing to controversial remarks in Perry's book ""Fed Up!"" continued to attack the Texas governor for calling Social Security a ""Ponzi scheme"" and a ""monstrous lie,"" and for arguing that it should be run by the states, not the federal government.","Levenson, Michael; Viser, Matt",2011-09-23,"Romney, Perry keep up fight in Fla. debate",National,Boston Globe,1162.0,322,Romney
323, The only big difference is he didn't have to pay for his. Because the federal government paid for it.,"Mooney, Brian C",2011-11-18,Economist says Romney `lying' remark too harsh,National,Boston Globe,495.0,323,Romney
324," For both Romney and Jon Huntsman, the path to the presidency is the same: appease evangelical Christians to win the GOP nomination, then assuage social liberals in a general election.","Weiss, Joanna",2011-07-05,Mormons on center stage,Opinion,Boston Globe,782.0,324,Romney
329," Yet he also differentiated himself from the only other former business executive in the field, onetime Godfather's Pizza chief executive Herman Cain, by embracing his four-year tenure as governor of Massachusetts. According to The New York Times, he added: ""Running a state is different than running a business.""","Johnson, Glen",2011-08-16,"Romney says his business, political acumen gives him edge",National,Boston Globe,886.0,329,Romney
356," While voters in 10 states cast ballots on the day known as Super Tuesday, much of the evening's focus was on Ohio, which plays a pivotal role in general elections and has become one of the defining battlefields of the primary campaign. In an era where super PACs can flood the contest with new money from a single donor - and where each time it has appeared Romney could lock up the nomination, the race only became more fluid - the mixed results on Tuesday brought more uncertainty to the nomination.","Viser, Matt; Bobby Caina Calvan; Kranish, Michael",2012-03-07,"Romney wins big, but rivals hang in",National,Boston Globe,1359.0,356,Romney
360, What was he doing at Freddie Mac? Because Freddie Mac figures in very prominently to the fact that people of Florida have seen home values go down.,"Viser, Matt; Levenson, Michael",2012-01-23,Romney laboring to regain advantage,National,Boston Globe,1144.0,360,Romney
368," There are still no plans for Mitt Romney to dip into his personal fortune, as he did four years ago, to bankroll his candidacy, several campaign advisers said this week, even as the battle for the Republican presidential nomination looks increasingly like it will be a long and expensive fight.","Mooney, Brian C",2012-03-16,"With donors tough to find, Romney faces dilemma",National,Boston Globe,1084.0,368,Romney
370," According to Gallup's tracking polls, only 30 percent of Republican voters say that Romney is the candidate they would prefer to nominate.","Jacoby, Jeff",2012-01-11,`Acceptable' is pronounced `winner',Editorial,Boston Globe,373.0,370,Romney
377," Ann Romney has been described by campaign officials and friends as her husband's most valuable surrogate as he fights for the Republican presidential nomination. In recent days, Romney has appealed specifically to women on economic issues - helping her husband convey his economic message, and perhaps trying to appeal to independent women turned off by the Republican candidates' recent focus on limiting access to contraception.","Schoenberg, Shira",2012-03-22,Ann Romney's crucial role: Show her husband's human side,National,Boston Globe,1105.0,377,Romney
378," A Dan Wasserman editorial cartoon spoofs Gov. Rick Perry of Texas challenging Mitt Romney on illegal immigration October 18, 2011, during the Republican Presidential debates, calling it the ""height of hypocrisy"" that the former Massachusetts governor takes a hard-line stance given that illegal immigrants had landscaped the lawn at his Belmont home just a few years ago.",Dan Wasserman,2011-10-20,Editorial cartoon,,Boston Globe,,378,Romney
379," Romney yesterday also called for reducing the 35 percent corporate income tax rate to 25 percent; implementing free trade agreements with Colombia, Panama, and South Korea; and directing the Department of the Interior to work with energy companies to survey energy reserves and lease all areas currently approved for exploration.","Viser, Matt",2011-09-07,"Romney plan calls for middle class tax cuts, sanctions on China",National,Boston Globe,804.0,379,Romney
421," Unless we are running for president, most of us will not have our youthful transgressions exposed for all the world to see.",,2012-05-22,Romney's reaction to bullying story raises questions,EditorialOpinion,Boston Globe,158.0,421,Romney
422," The question is, has this recovery been as speedy as it should have been. . . . [and] has the president been willing to take on the looming challenges we face to make sure that we have a bright future? Bachmann calls deal on payroll tax a mistake CHARITON, Iowa - Michele Bachmann already sent her bus driver home for Christmas.","Viser, Matt",2011-12-24,Romney says Biden lives in `fantasy land',National,Boston Globe,744.0,422,Romney
424," Romney's strength with female voters - they support him by about five percentage points more than men do - was not something he saw in his 2002 campaign for governor nor his 2008 presidential run. According to a Fox News poll, Romney got the support of 23 percent of Republican women nationally, compared with 17 percent for Georgia businessman Herman Cain; 11 percent for Governor Rick Perry of Texas; and 10 percent for Newt Gingrich, former House speaker.","Viser, Matt",2011-11-07,Female voters drawn to Romney this time,National,Boston Globe,1206.0,424,Romney
429," [...] of two stories on Mitt Romney and the state health care overhaul. [...] there is no significant constituency here for repeal. [...] while health care costs continue to grow at alarming rates, as they have nationally, the consensus of industry leaders and health care economists is that this trend cannot be fairly traced to the makeover but rather to cost pressures baked into the existing health care payment system.","Mooney, Brian C",2011-06-26,`RomneyCare' - a revolution that basically worked,Metro,Boston Globe,4737.0,429,Romney
438," First in a series on Mitt Romney and the Massachusetts health care overhaul . For two years, they had grappled with the abstruse complexities of health care reform, sifting data, evaluating input from experts, and testing theories to craft a plan that would expand coverage to nearly everyone in the state and not break the bank.","Mooney, Brian C",2011-05-30,Romney and health care: In the thick of history,National,Boston Globe,5155.0,438,Romney
440," MANCHESTER, N.H. - Ron Paul, who for years had been cast as the GOP's fringe also-ran presidential candidate, claimed the runner-up position against the political juggernaut of Mitt Romney, giving the Texas congressman much-needed momentum as the campaign heads south, first to South Carolina and then Florida.",Bobby Caina Calvan,2012-01-11,Paul gains momentum with runner-up finish,National,Boston Globe,601.0,440,Romney
455," The blunt-talking New Jersey governor is considered a rising star in the party and has won praise from Tea Party activists and establishment Republicans. [...] last week, he was the subject of an intense courtship by Republican donors and party elders to seek the presidential nomination.","Schoenberg, Shira; Katz, Alex",2011-10-12,Christie says he'll back Romney,National,Boston Globe,750.0,455,Romney
456," On coverage of his real estate debt and sprawling home: ""As if Ted Kennedy, or Mitt Romney or John Kerry could own a nice home, but not Deval Patrick.""",Anonymous,2011-02-09,In his own words,Metro,Boston Globe,131.0,456,Romney
472," In turning to Santorum, voters in Missouri, Minnesota, and Colorado revived an alternative who, while lacking Romney's money, organization, and establishment support, offers a homespun conservative sensibility, unbending Christian conservative convictions, and a message acknowledging the struggles of blue-collar workers. [...] in racing toward the general election, Romney may have lost sight of the unease he continues to stir among some Tea Party adherents, evangelical voters, and conservatives, who hold sway in the primaries and caucuses, some Republican leaders said.","Levenson, Michael",2012-02-09,Santorum surge is telling for Romney,National,Boston Globe,865.0,472,Romney
480," Democrats themselves are already attacking Perry's job-creation record in Texas, saying it has been rooted in low-wage jobs or those poached from other states. [...] if Romney's critics say he is vulnerable for imposing a mandate to buy health insurance in Massachusetts, Perry could face criticism for trying to mandate that all teenage girls in Texas receive the human papillomavirus vaccine to guard against the sexually transmitted infection.","Johnson, Glen; Viser, Matt",2011-08-17,Romney stands firm amid Perry whirl,National,Boston Globe,1181.0,480,Romney
492," A Dan Wasserman editorial cartoon depicts 2012 Republican Presidential candidate W. Mitt Romney asking someone to ""check the lighting"" because Sarah Palin's shadow is showing up in the background.",Dan Wasserman,2011-06-05,Editorial cartoon,,Boston Globe,,492,Romney
496," Waltham Our focus on wealth defies snooze button IN ""ROMNEY'S returns open a window on the wealthy"" (Page A1, Jan. 25), Eric Fehrnstrom, a senior adviser to Mitt Romney, may claim that disclosure of the candidate's recent tax returns puts the controversy around tax rates for the wealthy to bed.","McCarthy, Courtney",2012-01-30,ROMNEY'S TAX RETURNS,Letters,Boston Globe,303.0,496,Romney
502," Newt Gingrich called Mitt Romney a liar yesterday for saying he has no role in or responsibility for a barrage of negative television ads credited with damaging the former House speaker's campaign in Iowa. During an interview with CBS News, Gingrich, who was leading the polls in Iowa just three weeks ago, said ""baloney"" to the idea that Romney had nothing to do with the ads from an independent group, a super PAC called Restore Our Future, which is backing the former Massachusetts governor.",Bobby Caina Calvan,2012-01-04,Gingrich calls Romney liar over role in ads,National,Boston Globe,929.0,502,Romney
509," According to the Gallup Poll, 90 percent of Republicans say they'll vote for him over Obama. [...] the nominating process is mostly inside baseball, and a series of biographical ads can do much to repair Romney's image with the general public, particularly since his family takes wholesomeness to a level that rivals the Cleavers.","Keane, Tom",2012-04-21,"Romney's prospects are good, for now",EditorialOpinion,Boston Globe,757.0,509,Romney
