,author,date,section,word_count,abstract,headline,source
19,"Vaughn, Alexa","Oct 17, 2011",News,625,"Obama, a child during the country's civil rights movement, recalled that King was not always seen as a unifying leader, even among his own supporters.",King's dream set in stone,Chicago Tribune
20,"Kass, John","Sep 18, 2011",News,874,"[...] it's not just a Washington saga -- it has all the elements of a Chicago City Hall story, except with more zeros. According to the Tribune story, Spinner the other day invited Obama's national political finance committee to a meeting in Chicago.",Obama's Solyndra scandal reeks of the Chicago Way,Chicago Tribune
21,"Parsons, Christi; Richter, Paul","May 26, 2011",News,430,"A week after ratcheting up pressure on Israel's government to restart peace talks with the Palestinians, President Barack Obama launched a campaign to persuade European leaders not to endorse a separate Palestinian bid for statehood, but he was met with a noncommittal response in his appeal to Britain's prime minister, David Cameron.","As Palestinians eye U.N., Obama lobbies Europe",Chicago Tribune
22,Anonymous,"Apr 18, 2011",News,239,"""In retrospect, I think I was the lightning rod for many Americans to address their frustration with overspending and lack of representation of both political parties,"" Santelli said Friday via email.",Tea party rant heard 'round the nation,Chicago Tribune
23,"Podmolik, Mary Ellen","Nov 16, 2011",Business,599,[...]the government is encouraging that because interest rates are usually lower on shorter-term loans and it allows the borrower can increase equity in their home at a faster rate.,HARP's new tune: Aid more borrowers,Chicago Tribune
24,"Hilkevitch, Jon","May 3, 2011",News,1197,"While there are strong signs that investors interested in public-private partnerships are looking for viable projects like O'Hare express rail, ""on the public sector side, we don't have the money to make major investments in transit projects right now,"" said Leanne Redden, senior deputy executive director for planning at the Regional Transportation Authority.",Daley keeps fast-rail plan alive,Chicago Tribune
25,"Mascaro, Lisa","Apr 12, 2011",News,672,"[...] Congress is expected to approve the measure as lawmakers turn to broader battles, regarding the future of Medicare, Medicaid and upper-income tax cuts in the 2012 fiscal year, which begins Oct. 1.",Details emerge on '11 budget,Chicago Tribune
26,"Parsons, Christi","Feb 20, 2011",News,1239,"The arrival of Daley, until recently an executive at JP Morgan Chase & Co., raises the question of how the two former business executives will jockey within the White House power structure. When Jarrett voiced concern that no women's names were being floated to replace Gibbs as press secretary, for instance, Daley joined her in requesting more diversity in the pool of candidates.",The president's right-hand woman,Chicago Tribune
27,,"Nov 18, 2011",News,296,The Vatican said Thursday it would take legal action to stop the distribution of a photo montage in an advertisement by the Italian fashion company Benetton showing Pope Benedict XVI kissing an imam on the mouth.,Vatican has no love for kissing pope ad,Chicago Tribune
28,"Samuelson, Kristin","Sep 18, 2011",Business,1179,"Medicare, Social Security, corporate taxes, etc. Because of the bad economy, people's incomes are down, so we're getting only 16 percent of the GDP in revenue. [...] there's an enormous difference between tax rates and revenue.",Higher taxes for the mega-rich,Chicago Tribune
29,"Woo, Elaine","Apr 21, 2011",News,626,"William A. Rusher, a leading theorist and organizer of the modern conservative movement who helped William F. Buckley Jr. build the National Review into one of the American right's most influential journals, died Saturday at a retirement home in San Francisco.",WILLIAM A. RUSHER: 1923-2011,Chicago Tribune
30,"Manker, Rob","Feb 16, 2011",News,237,Most disturbing: the Cheaterville online shop. Because nothing helps heal a broken heart like Cheaterville thong underwear and baby bib.,small talk,Chicago Tribune
31,"Gold, Matea; Hamburger, Tom","May 12, 2011",News,655,"Gingrich, who was raised a Lutheran and became a Southern Baptist when he entered politics, converted two years ago to Catholicism, the faith of his third wife, Callista -- an experience he said shaped his new focus on faith. [...] he created a nonprofit organization aimed at religious conservatives.",Gingrich officially tosses hat into ring,Chicago Tribune
32,Anonymous,"Aug 15, 2011",News,629,The question: how to draw federal education law that builds and improves on NCLB. Judge schools not just on test scores but a range of factors such as students' academic growth and graduation rates.,No Child revisited,Chicago Tribune
33,Anonymous,"Jul 8, 2011",News,197,"An administrator for what was then the U.S. Immigration and Naturalization Service describes what the elder Obama told the school adviser: ""Subject got his USC wife 'Hapai' (Hawaiian for pregnant) and although they were married they do not live together and Miss Dunham is making arrangements with the Salvation Army to give the baby away.""",Book: Obama's father talked about adoption,Chicago Tribune
34,Anonymous,"Sep 13, 2011",News,663,"Schultz also called on other American business leaders to join him in withholding political contributions until Congress and the president get their act together, play nice and enact a ""transparent, comprehensive, bipartisan debt-and-deficit package ... that honestly, and fairly, sets America on a path to long-term financial health and security."" Political-action committees, lobbyists and the new ""527"" advocacy groups, which are able to draw unlimited contributions, are what prop up our political class.",Wake up and smell American politics,Chicago Tribune
35,"Lauter, David","Oct 30, 2011",News,997,"To win, Obama needs big margins among his two core groups, minorities and college-educated white professionals, plus a reasonable share of whites without college degrees -- the working-class voters who formed the bedrock of the Democratic majority in the 20th century but who now tend to vote Republican. [...] extensive polling by the Democratic firm Greenberg, Quinlan, Rosner shows that through the George W. Bush years, whites without college degrees were, on average, about 7 percentage points more likely to call themselves Republicans than Democrats.",Obama 2012: The demography of hope,Chicago Tribune
36,"Secter, Bob; Pearson, Rick","Sep 27, 2011",News,2094,"[...] the hothouse atmosphere of a presidential campaign, coupled with increasing political polarization, only ratchets up the rhetoric and complicates efforts to reach consensus on how best to keep the system running. Defenders of the program condemn such assertions as a gross distortion needlessly unnerving the 55 million Americans, most senior citizens, who depend on monthly benefits that last month averaged less than $13,000 a year per beneficiary.",Shoring up Social Security,Chicago Tribune
37,"Kass, John","Aug 3, 2011",News,903,"Obama may have fed the multitudes at his 2008 inauguration with two Filet-O-Fish sandwiches and five hot dog buns, but his absolute thrashing of reality this week was truly astounding. Obama and his Democrats were able to increase the federal debt ceiling by $2.4 trillion -- money that we don't have -- and then give taxpayers a lecture about fiscal responsibility and how a tax increase will create more jobs.",Forget the debt ceiling -- let's aim a bit farther north,Chicago Tribune
38,"Mascaro, Lisa; Dilanian, Ken","Jun 22, 2011",News,414,"Panetta, who spent two years as director of the Central Intelligence Agency, will replace Robert Gates, who is retiring after serving in two administrations, as the White House overhauls its national security team.",Panetta OK'd as defense chief,Chicago Tribune
39,Anonymous,"Feb 15, 2011",News,241,"""Rather than setting the stage for broad-based, pro-growth tax reform, this budget goes in the opposite direction, with more tax hikes,"" said House Ways and Means Committee Chairman Dave Camp, R-Mich.",Republicans rail against budget,Chicago Tribune
40,"Wernau, Julie","Mar 31, 2011",News,1206,"Illinois residents have paid more than people in any other state because nearly half the state's electricity is generated by nuclear reactors. ""Since our elected officials are either inept, apathetic or afraid of their own shadow when it comes to making tough decisions, consumers and businesses end up paying the tab in fees and higher taxes,"" said Tom Wolf, executive director of the Energy Council for the Illinois Chamber of Commerce. Because Illinois has the most nuclear plants in the country, we have the most to gain with decisive leadership and the most to lose with the continuation of the status quo.",Nuclear waste costs millions,Chicago Tribune
41,"Nicholas, Peter","Jan 6, 2011",News,241,"Robert Gibbs, the public face of the Obama presidency, said Wednesday he is stepping down as press secretary amid a string of staff changes meant to carry the White House through the 2012 re-election campaign and parry the Republican takeover of the House.",Obama press secretary leaving,Chicago Tribune
42,Anonymous,"May 26, 2011",,407,Blagojevich lawyer Aaron Goldstein spent five minutes asking questions of the veteran Chicago congressman about his lack of knowledge of the marquee charge in the case--that Blagojevich wanted to hand Jackson the Senate seat vacated by Obama in exchange for $1.5 million in fundraising from Jackson supporters.,"Big names, big day",Chicago Tribune
43,Scott Stantis,"Dec 9, 2011",,,A Scott Stantis editorial cartoon depicts Mitt Romney talking from both sides of his face.,Editorial cartoon,Chicago Tribune
44,"Page, Clarence","Dec 4, 2011",News,663,"[...] the former House speaker has surged to the top of GOP presidential polls on the shoulders of tea party supporters, a movement that ironically came together to topple ""Washington insiders"" -- like Gingrich.","So long, tea party",Chicago Tribune
45,"Harris, Melissa","May 12, 2011",News,853,"Had they taken modest salaries, the company would have lost money. [...] first-quarter 2011 profit reached $100,000; and the co-founders were able to move distribution out of Szymczak's Sauganash garage.",Local entrepreneurs dive into 'Shark Tank',Chicago Tribune
46,"Pearson, Rick; Heinzmann, David","Feb 24, 2011",News,1063,"Chicago's new mayor-elect won on the strength of large numbers of African-American votes on the South and West sides in addition to the margins he rolled up among white voters, particularly along the lakefront and in Northwest Side wards he used to represent in Congress. [...] Emanuel held his own in Latino wards as two Hispanic contenders split the vote. Emanuel starts with support across racial and ethnic lines among the electorate and now will have to turn that into alliances with City Council members, particularly as the key topic of painful budget cuts is on the table.",Coalition building pays off,Chicago Tribune
47,Anonymous,"Jul 6, 2011",News,285,"According to administration officials, Warsame was seized April 19 by U.S. forces in international waters.",U.S. detains Somali target,Chicago Tribune
48,"Mascaro, Lisa","Oct 11, 2011",News,733,"Obama's jobs plan, with its mix of tax breaks for workers and new spending to hire teachers or build roads and bridges, would add 1.9 million jobs and boost growth in gross domestic product by about 2 percentage points, according to many independent economists.",Jobs plan duel takes shape,Chicago Tribune
49,"Lighty, Todd; Stacy St Clair; Cohen, Jodi S","Jun 17, 2011",News,2578,"The Tribune's findings also raise fresh questions about the way college administrators and law enforcement officials handle the allegations, even as the Obama administration calls attention to the issue with a series of initiatives and investigations aimed at better protecting students from sex crimes. Kim Lonsway, director of research for the nonprofit group End Violence Against Women International, worries that low arrest and prosecution rates could discourage future victims from coming forward, leaving them with the impression that reporting a sex crime is pointless and only serves to cause further pain and humiliation.","Arrests, convictions rare in college cases",Chicago Tribune
50,"Mascaro, Lisa","Oct 28, 2011",News,584,"A group of about 100 House members, almost evenly divided between Democrats and Republicans, is circulating a letter they plan to release next week that urges the panel to aim for a large deficit reduction deal on the order of $4 trillion. -------- lmascaro@tribune.com Credit:",Deficit plans at loggerheads,Chicago Tribune
51,Anonymous,"Jun 20, 2011",News,1540,"Michael E. Gaughan, Homewood GOP flip-floppers I've long thought of the far right of the Republican Party not as conservatives but as preservatives, the stuff that extends the shelf life of packaged goods -- and politicians -- but really isn't good for you. Judith Arkes, Chicago Enforce phone law If Mayor Rahm Emanuel wants to help fix the budget and make us all safer, he should hire a special force in unmarked vehicles to drive the city and write tickets to drivers who use their cell phones to talk and text while threatening all of our lives each and every day.",Voice of the people,Chicago Tribune
52,Anonymous,"Jan 19, 2011",News,623,"Obama's action fits a pattern since the midterm elections of mollifying business leaders disenchanted with his policies. Since Republicans won control of the House and picked up seats in the Senate, the president has extended the Bush tax cuts for the wealthiest Americans and appointed William Daley, a former banking executive, as his chief of staff.",Obama moves to relax business rules,Chicago Tribune
53,"Dilanian, Ken","May 31, 2011",News,845,"[...] in a statement before the vote, Udall said the law allows the government to ""place wide-ranging wiretaps on Americans without even identifying the target or location of such surveillance; target individuals who have no connection to terrorist organizations, and collect business records on law-abiding Americans, without any connection to terrorism."" [...] the warnings by two lawmakers with access to secret information underscore the extent to which government surveillance is shielded from view, in an age when nearly every American leaves a digital trail through the Internet and mobile devices.",Sounding an alarm on the Patriot Act,Chicago Tribune
54,"Garcia, Monique","Apr 14, 2011",News,662,House Republican Leader Tom Cross appeared with Raoul last month to promote legislation that would require schools to adopt policies regarding concussions and head injuries for athletes.,Raoul new 'it guy' in Springfield,Chicago Tribune
55,Anonymous,"Apr 19, 2011",,263,"First daughter Malia Obama is growing up, and paying more attention to hair and makeup, first lady Michelle Obama said Monday on ABC's ""The View.""",First teen,Chicago Tribune
56,,"Nov 17, 2011",,275,"Penn State's campus police and State College police -- have no record of any police report from a Penn State assistant football coach who has been criticized for not doing more in an alleged rape of a boy by former coach Jerry Sandusky, both agencies said Wednesday.",NATION/WORLD,Chicago Tribune
57,Anonymous,"Apr 18, 2011",,436,"""In retrospect, I think I was the lightening rod for many Americans to address their frustration with overspending and lack of representation of both political parties,"" Santelli said Friday via email.",Tea Party roots,Chicago Tribune
58,"Mascaro, Lisa; Hennessey, Kathleen","Feb 19, 2011",News,740,"Federal authorities began developing plans Friday to furlough workers in preparation for deep budget cuts as the Republican-led House pressed on with a marathon effort to slash spending, heightening prospects for a government shutdown.",Shutdown is looming large,Chicago Tribune
59,Anonymous,"Mar 29, 2011",News,668,"Sen. Sherrod Brown, a Democrat from Ohio, said that even union sympathizers were surprised at the degree to which the Republicans' approach ""blew up in their faces,"" and that ""the poll numbers of support for collective bargaining for public-sector workers are stronger than even most labor supporters expected.""",Midwest's new class of extreme politics,Chicago Tribune
60,"Hilkevitch, Jon","May 5, 2011",News,321,"Illinois' application for funding that Florida declined to use included two other high-speed rail projects that are still eligible for funding: a multistate $806.8 million application for new locomotives and train cars, and $1 million for preliminary engineering and environmental work on a new station in East St. Louis.",Florida passes on rail money; Illinois takes it,Chicago Tribune
61,Anonymous,"Feb 24, 2011",News,707,"[...] the Obama administration had taken the view that it had a duty to defend all laws, so long as they could be justified as constitutional.",Obama takes bold new stance on gay rights,Chicago Tribune
62,,"Aug 4, 2011",Business,387,"Marketing practices and government student loan defaults by for-profit colleges are under scrutiny by attorneys general, Congress and the U.S. Education Department.",Career Ed finds 'improper practices',Chicago Tribune
63,"Coen, Jeff","Dec 6, 2011",News,1214,"Prosecutors also argue that Blagojevich should be punished for attempting to obtain a $1.5 million in bribe to name U.S. Rep. Jesse Jackson Jr. to the Senate seat vacated by Barack Obama after his election as president. Since no money changed hands, however, the defense holds that Blagojevich shouldn't be held responsible for any amount.",Tough odds for leniency bid,Chicago Tribune
64,"Smith, Ryan","Feb 12, 2011",,337,"VERDICT Unless we can get a brand-new, bigger domed stadium and find a way to turn the city's thermostat up in February, Chicago's chances aren't so super.",BRRRR-ING ON THE SUPER BOWL,Chicago Tribune
65,"Dampier, Cindy","Oct 9, 2011",Sunday,542,"To make your sofa do more for your room, look for details -- an interesting leg, stitching or tufting that appeals to you, or a fabric that takes the piece just a little past ordinary.",One easy piece,Chicago Tribune
66,Anonymous,"Sep 14, 2011",,275,Obama health plan illegal A Pennsylvania federal judge ruled Tuesday that the provision in President Obama's health care initiative requiring individuals to purchase health insurance is unconstitutional.,NATION/WORLD,Chicago Tribune
67,"Japsen, Bruce","Apr 15, 2011",News,885,"Medicare and most private health insurance companies have escalated their focus on medical errors, refusing to pay for poor-quality care, particularly when preventable errors are involved, such as a doctor leaving a sponge in a patient following heart surgery or when the wrong limb is amputated.",Death prompts action,Chicago Tribune
68,Katherine Skiba and Christi Parsons,"Apr 12, 2011",News,156,"A lower-priced event, at Navy Pier, will include Rose, said a Democratic official who spoke Monday on condition of anonymity.",Obama to bring Bulls star to 1 of 3 city fundraisers,Chicago Tribune
69,CNN,"Feb 11, 2011",,550,"After the speech, parliamentary speaker Ahmed Fathi Srour told state-run Nile TV that Mubarak's move had put the authority for the day-to-day running of the government in Suleiman's hands.",NO RESIGNATION,Chicago Tribune
70,Anonymous,"Jan 21, 2011",News,240,The news came as senior adviser David Axelrod prepares to leave the White House and return to Chicago soon after the State of the Union speech on Tuesday in order to spearhead the re-election bid.,Obama's 2012 HQ to be here,Chicago Tribune
71,"Sweeney, Annie","Aug 2, 2011",News,392,"A federal judge Monday set a tentative sentencing date of Oct. 6 for former Gov. Rod Blagojevich, who was convicted this summer of wire fraud, bribery, attempted extortion and conspiracy.",Blagojevich sentencing scheduled for October,Chicago Tribune
72,"Parsons, Christi; Mascaro, Lisa","Feb 8, 2011",News,696,"On Jan. 26, the day after the president outlined his education priorities in his State of the Union speech, House Speaker John Boehner, R-Ohio, unveiled legislation to renew a school voucher program in the capital.",Obama's education plan an early test of civility,Chicago Tribune
73,"Savage, David G","Jul 17, 2011",News,900,"Because the marriage act, passed in 1996, remains the law, the administration has stopped short of a blanket policy change on deportation cases involving married same-sex couples. In February, President Barack Obama and Attorney General Eric Holder announced that the government no longer would defend the act in court against claims from legally married same-sex couples in New England, who contend they deserve the same federal benefits as heterosexual couples. Because these gay couples were legally married in their states, the federal government could not deny them equal benefits, the administration said.",Evolving immigration policies leave gay couples in legal limbo,Chicago Tribune
74,"Hennessey, Kathleen","Nov 19, 2011",News,581,The congressional supercommittee's effort to trim budget deficits appeared near collapse Friday as Democrats rejected a scaled-back proposal from Republicans.,Budget amendment fails,Chicago Tribune
75,Anonymous,"Jul 8, 2011",News,178,"Among the proposals being discussed are a change in the way cost-of-living increases are calculated for Social Security; an increase in the payments that upper-income seniors make for Medicare; an overhaul of the corporate tax system; elimination of a variety of tax breaks that primarily benefit upper-income taxpayers; and significant cuts in the military budget, farm programs and other domestic spending.",Bigger deal is sought on debt,Chicago Tribune
76,Anonymous,"Jul 1, 2011",,325,"OMG stop smoking LOL Smokers are twice as likely to quit when they get text messages urging them to stick to their goal of being smoke free compared with those who receive texts with no motivational messages, a British study has found.",NATION/WORLD,Chicago Tribune
77,"Frenkel, Sheera","Sep 16, 2011",News,648,"[...] the U.S. insistence that it will veto any resolution in the Security Council, and remarks by President Barack Obama, who called the Palestinian bid a ""distraction"" to peace negotiations, are engendering hostility among Palestinians.",West Bank boiling at U.S. opposition to statehood bid,Chicago Tribune
78,"Cohen, Jodi S; Vikki Ortiz Healy","Oct 30, 2011",News,2056,[...] a generation of students and graduates is walking off campus with a collective $1 trillion in student loan debt and troubling career prospects. [...] student loan debt now exceeds the country's credit card debt.,College debt weighs on generation,Chicago Tribune
79,,"Dec 20, 2011",,337,Tax cut vote looms House Republican leaders put off until Tuesday a vote on a Senate plan to extend the payroll tax cut and said they were willing to work until the end of the year to negotiate a compromise with Senate Democrats.,NATION/WORLD,Chicago Tribune
80,,"Oct 12, 2011",News,217,"[...] Tuesday, protesters had not strayed far from their home base at Zuccotti Park.","Marchers target Capitol, N.Y.'s rich",Chicago Tribune
81,"Savage, David","Nov 15, 2011",News,945,"At least 100 such claims are pending at the Social Security Administration. Since 1939, the Social Security system has provided a benefit to the family of a deceased wage earner, including his children.\n","Election, health law set to clash",Chicago Tribune
82,"Mitchell, Fred","Jan 28, 2011",News,1138,"""Provo,"" as it is known, is where the couple hosted family members during Christmas, including son John Green, supervisor of amateur scouts for the Dodgers; his wife, Roxanna; and their children, Christina and 11-year-old Dallas. Since receiving the heart-wrenching news, the Greens' island paradise has been anything but.",Support touches former Cubs GM,Chicago Tribune
83,"Cameron, Peter","Jul 20, 2011",Chicagoland Health &amp; Family,1025,"Without such empathy, therapy often is doomed, vets say. Because most psychologists and mental health care professionals don't have a military background, there's a void in the safety net for vets. Joe Troiani, a faculty member and Navy veteran who created the track, said the school hopes to prepare students for the specific psychological problems that stem from military service.",Combat-tested therapists in short supply,Chicago Tribune
84,"Mehta, Seema","Dec 15, 2011",News,502,Polls favor Obama over 2 key rivals A new round of polling shows President Barack Obama ahead of the two leading Republican candidates in the 2012 election.,Perry's Iowa tour off to mixed start,Chicago Tribune
85,"Chapman, Steve","Jul 31, 2011",News,764,"All these ""cuts"" are modest reductions in the growth of outlays envisioned in President Barack Obama's budget, which would boost annual spending by 57 percent over the next decade. Chris Edwards, a fiscal policy analyst at the libertarian Cato Institute in Washington, points out that since gaining control of the House of Representatives, Republicans have shown no interest in abolishing anything.",What the debt ceiling fight won't fix,Chicago Tribune
86,"Parsons, Christi; Lee, Don; Dilanian, Ken","Feb 7, 2011",News,692,"Sen. John Kerry, D-Mass., chairman of the Senate Foreign Relations Committee, said he was heartened that the ruling Cairo government offered to cede on a number of protesters' demands, including lifting a decades-old emergency law used to repress opposition forces.",Obama: Several options for coalition,Chicago Tribune
87,Anonymous,"Sep 3, 2011",News,462,"[...] the survey of economists in question suggests something quite different: A wide majority of respondents believe the federal government should reduce its budget deficit with a combination of spending cuts and, at least in small part, tax increases.",WHAT OTHERS ARE SAYING,Chicago Tribune
88,"Moore, Booth","Mar 20, 2011",Sunday,779,"The opening look was a tailored tribal mix, with a terrific-looking pair of wool jacquard pants in an orange, brown, black, white and gray pixilated pattern that spiraled around the legs, worn with a jagged-hem, saddle-colored leather T-shirt and a beautifully cut black, double-face wool blazer.",Elegance meets edginess for fall,Chicago Tribune
89,"Nicholas, Peter","Mar 19, 2011",News,758,"Asked whether it was ""awkward"" for Obama to be traveling to a part of the world so far removed from the crises, White House press secretary Jay Carney said this week that Obama is ""president of the United States.""","Obama on Latin trip, but crises still at forefront",Chicago Tribune
90,"Hsu, Tiffany","Jan 28, 2011",News,446,"""We don't need to wait nearly three decades,"" said Denise Bode, the group's chief executive. [...] other clean-tech industry executives are grumbling that Obama has grouped ""clean coal"" and nuclear power along with solar panels, wind turbines and biofuels as green power sources.",Green industry doubts Obama's grand goals,Chicago Tribune
91,"West, Paul","May 13, 2011",News,887,"Tackling an issue that poses a serious threat to his presidential ambitions, Mitt Romney acknowledged Thursday that the landmark health care law he promoted and signed as Massachusetts governor had become a liability for him. If elected, Romney said, he would issue an executive order allowing all 50 states to receive waivers from the federal law, but states still would be required to implement insurance plans at least as effective as those in the federal law.",Romney tries again to stanch bleeding on health care issue,Chicago Tribune
92,"Nicholas, Peter; Lauter, David","Oct 21, 2011",News,690,"Obama went into the Libyan crisis determined to not stretch American military resources further, with U.S. forces committed in Iraq and Afghanistan and the domestic economy struggling.",Obama right at home using force overseas,Chicago Tribune
93,,"Dec 18, 2011",News,349,A Golden State Warriors B Milwaukee Bucks C New Jersey Nets D Toronto Raptors Answers 1.,Test your news knowledge from the week of Dec. 12.,Chicago Tribune
94,Anonymous,"Jul 18, 2011",News,713,"Obama is already waving the red flag, warning ominously that Social Security, disabled veterans' benefits, ""critical"" medical research, food inspection -- without which agriculture shuts down -- are in jeopardy. Republicans should call for urgent negotiations on tax reform along the lines of Simpson-Bowles that, in one option, strips out annually $1.1 trillion of deductions, credits and loopholes while lowering tax rates across the board to a top rate of 23 percent.",Why not call Obama's bluff?,Chicago Tribune
95,Anonymous,"Jan 31, 2011",News,732,"Apart from the irony of this appeal being made by the very president who has just killed NASA's manned space program, there is the fact that for three decades, since Jimmy Carter's synfuel fantasy, Washington has poured billions of taxpayer dollars down a rat hole in vain pursuit of economically competitive renewable energy.",The old Obama gussied up in new clothing,Chicago Tribune
96,Anonymous,"Jan 26, 2011",News,568,"Watching Obama speak, we recalled with a smile Senate Republican leader Mitch McConnell's quip on ""Fox News Sunday"": ""With all due respect to our Democratic friends, any time they want to spend, they call it investment, so I think you will hear the president talk about investing a lot Tuesday night.""",Tacking right,Chicago Tribune
97,"Abcarian, Robin","Nov 6, 2011",News,1079,"Belafonte, said Cain, ""was referring to the fact that I wouldn't stay on the Democrat plantation because I ran away and I ain't going back!"" But now that his campaign is floundering because of the emergence of sexual harassment allegations made when he ran the National Restaurant Association in the 1990s, Cain has advanced the idea that his race might be to blame. Specifically, he has tied his situation to that of Clarence Thomas, who accused opponents of a ""high-tech lynching"" when he was accused of past sexual harassment in his 1991 Supreme Court confirmation hearings.",Race rises amid Cain fallout,Chicago Tribune
