,author,date,section,word_count,abstract,headline,source,subjects
19,"Bolch, Ben","Jan 8, 2012",Sports; Part C; Sports Desk,502,,INSIDE THE NBA; COAST TO COAST,Los Angeles Times,
20,"Barabak, Mark Z","Apr 16, 2012",Main News; Part A; National Desk,1167," Romney responded by blaming Obama for the tepidness of the economic recovery and said he would spur growth by cutting taxes across the board, repealing regulations he deemed onerous and boosting domestic energy production ""so that we finally get the energy we need at a price we can afford.""",CAMPAIGN 2012; A few states could decide it all; Signs from the Obama and Romney camps point to a negative slugfest over a small slice of the electorate.,Los Angeles Times,"Presidential elections, Voter behavior, States, Recessions, Candidates, Primaries & caucuses"
21,"Levey, Noam N","Feb 3, 2012",LATExtra; Part AA; National Desk,285, The Medicare prescription drug provision is designed to gradually phase out a gap in coverage for pharmaceuticals that was included in the Part D program when it was created under President George W. Bush.,Savings from new health law detailed,Los Angeles Times,"Health care expenditures, Beneficiaries, Health care policy, Medicare, Prescription drugs"
22,"Duncan, Ian","Feb 25, 2012",Main News; Part A; National Desk,782," In an attempt to push home the implications of the bill, Democratic Sen. Janet Howell introduced an amendment that would require men to have a ""digital rectal examination"" before being prescribed medicine for erectile dysfunction.",Legislators in Virginia revise controversial abortion bill,Los Angeles Times,"Womens health, Legislation -- Virginia, Abortion, Ultrasonic imaging"
23,"Mehta, Seema; West, Paul","Dec 30, 2011",LATExtra; Part AA; National Desk,790, The Republicans jostling to break into the upper tier of presidential contenders clashed over Iran's nuclear ambitions and their credentials to be commander in chief as they dashed across Iowa on Thursday to lock down support in next week's opening contest of the race.,Trading shots all across Iowa; Republicans take aim at each other over Iran and presidential qualifications.,Los Angeles Times,"Presidential elections, Nuclear weapons, Political campaigns, Primaries & caucuses"
24,"Bennett, Brian","Mar 18, 2012",Main News; Part A; National Desk,865," ICE has come under fire from news reports, internal investigations and human rights groups for putting people who have not been convicted of crimes in local jails and other facilities where overcrowding, sexual assaults and poor health conditions are rife. The private prison corporations are making a tremendous profit off the detention of asylum seekers and other immigrants in detention, said Bob Libal, a senior organizer at Grassroots Leadership, a Charlotte, N.C.-based nonprofit group that opposes the use of for-profit prisons and detention centers.","THE NATION; A kinder, gentler detention center; A facility in Texas is touted as model for fairer treatment of immigration prisoners.",Los Angeles Times,"Deportation, Immigration policy, Freedom of movement, Aliens, Prisoner treatment, Detention centers"
25,"Vartabedian, Ralph","Mar 8, 2012",Main News; Part A; Metro Desk,1377," In their view, the rationale of the rail system rests on flawed assumptions that would undermine California's identity, which during the last half-century has revolved around single-family homes that have driven economic growth, family-oriented lifestyles and signature West Coast recreation. Charting Our Future, which laid out the case for compact communities reducing demand for residential land, single-family homes, vehicles, energy and water.","A collision of visions; Bullet train would transform California lifestyles for the better, backers say. Opponents see social-engineering folly.",Los Angeles Times,"Government spending, High speed rail, Transportation planning"
26,"Duncan, Ian; Gold, Matea","Mar 19, 2012",Main News; Part A; National Desk,1051," Several contributors -- including a Florida aerospace company that has contracts with the Defense Department, and a Boston-based construction company that is helping build a Navy base -- are taking advantage of a legal gray area created by the Supreme Court's 2010 ruling in the Citizens United case, which said that independent political expenditures could not be regulated based on who was making them.",Romney backers test a ban on donors; Federal contractors give to a 'super PAC' despite a law barring such activity. Did a Supreme Court case kill the rule - or not?,Los Angeles Times,"Supreme Court decisions, Defense contracts, Bans, Political campaigns, Presidential elections, Campaign contributions, Donations, Political action committees--PAC, Contractors, Government contracts"
27,"Perry, Tony","Apr 26, 2012",LATExtra; Part AA; Metro Desk,436," ""Since the days of Valley Forge, I seriously doubt that there haven't been members of the armed forces who haven't complained about their government.""",Marine who criticized Obama to be discharged,Los Angeles Times,"Criticism, Military personnel, Social networks, Armed forces"
28,"Hirsch, Jerry","Feb 10, 2012",Business; Part B; Business Desk,422," Lewis Booth, executive vice president and chief financial officer, and Derrick Kuzak, group vice president of global product development, have elected to retire effective April 1.",Ford names successors for 2 execs; CFO and a group vice president will leave in April. No word on a CEO replacement.,Los Angeles Times,"Automobile industry, Chief executive officers, Retirement, Product development, Succession planning, Executives"
29,"Landsberg, Mitchell","Mar 4, 2012",Main News; Part A; National Desk,656," Schennum, a professor of electrical engineering at Gonzaga University who favored Paul, shepherded the group through a lengthy discussion of the candidates' positions on the issues, primarily foreign policy and healthcare.",Washington voters pick Romney,Los Angeles Times,"Presidential elections, Political conventions, Primaries & caucuses, Voter behavior, Election results"
30,"Fausset, Richard","Apr 22, 2012",Main News; Part A; National Desk,571," Land, on his radio show, called some black religious leaders ""race hustlers"" for stirring up interest in the case, in which an unarmed black teenager was fatally shot by a neighborhood watch volunteer.",Church leader accused of plagiarism; The radio host had made waves with remarks about the Trayvon Martin case.,Los Angeles Times,"Hate speech, Plagiarism, Committees, Racism, Baptist churches, Clergy, Ethics"
31,,"Jun 17, 2012",Main News; Part A; National Desk,116,,NATIONAL BRIEFING / IOWA; Delegates heavily favor Ron Paul,Los Angeles Times,
32,"Barabak, Mark Z","Feb 12, 2012",Main News; Part A; National Desk,646," (South Carolina has some of the most pugilistic politics in the country -- think of Republican Rep. Joe Wilson bellowing ""You lie!"" during Obama's 2009 State of the Union speech -- so perhaps voters there were less put off by the nastiness.) But another reason may by a distinct lack of excitement surrounding the front-runner, Mitt Romney, who has struggled to consolidate support behind his candidacy even after convincing wins in New Hampshire, Florida and Nevada.",Lower GOP turnout seen as warning sign; So far it has slipped below what it was in state nominating contests in 2008.,Los Angeles Times,"Presidential elections, Nominations, Negative campaigning, Primaries & caucuses, Voter behavior"
33,"Savage, David G","Feb 13, 2012",LATExtra; Part AA; National Desk,334," McConnell said on CBS' ""Face the Nation"" that he would press legislation to exempt all employers from providing insurance coverage for contraceptives if they have religious or moral objections.",Key Republican vows to fight birth control mandate,Los Angeles Times,"Insurance coverage, Birth control, Insurance companies, Government mandates, Federal legislation"
34,"Lopez, Steve","Feb 12, 2012",Main News; Part A; Metro Desk,1023," In the tiny farm town of Pixley, south of Tulare, I strolled into the True Romance Tattoo parlor, because how could I not? ""I'm a convicted felon,"" said the owner, Josh Richardson, explaining why he won't be voting in June or November. Was this government-shrinking crowd aware, I asked, that Reagan raised taxes as California governor and nearly tripled the national deficit as president? I got blank stares, so it didn't seem worth adding that Reagan signed an abortion rights law in California and gave amnesty to millions of illegal immigrants as president.","Taking pulse of state's GOP; In the Central Valley, tough views are aired about candidates",Los Angeles Times,"Presidential elections, Primaries & caucuses"
35,"Martens, Todd","Dec 23, 2011",Calendar; Part D; Entertainment Desk,1112," The former Gap model has multiple films in the pipeline, including a trip to Sundance for the upcoming indie film ""LUV"" and a role alongside Jennifer Garner in next year's ""The Odd Life of Timothy Green."" A dressing room debate as to whether to wear a sweater or a black jacket would ultimately last longer than the interview with Handler, and Common was setting aside outfits for events that were six weeks away.","He's got it all going on; Common -- rapper, actor, writer -- has a new album that's a return to his roots.",Los Angeles Times,"Musical recordings, Television programs, Talk shows"
36,"Brooks, Rosa","Feb 1, 2012",Main News; Part A; Editorial Desk,828," According to the Republicans, President Obama's fundamental foreign policy problem is that he thinks America is a fading power and all we can hope for is to ""manage the decline."" American life expectancy ranks well below that of other industrialized democracies, and the same is true for infant mortality rates and elementary school enrollment rates.",Where we stand; America's declining global influence could be good; decline at home is not.,Los Angeles Times,"National security, Foreign policy -- United States--US, Political campaigns, State of the Union Address, Presidential elections, Demonstrations & protests"
37,"Abcarian, Robin; Mehta, Seema","Dec 31, 2011",Main News; Part A; National Desk,727," Romney, acting as though he were the presumptive nominee on the stump in West Des Moines, did not mention his Republican rivals, instead seeking to cast President Obama as out of touch with the economic pain being felt by average Americans.","Gingrich sheds tears at memories of his mom; The candidate, who is slipping in Iowa polls, shows a personal side at a campaign event.",Los Angeles Times,"Presidential elections, Long term health care, Nominations, Political campaigns, Candidates"
38,"Mehta, Seema","Mar 30, 2012",LATExtra; Part AA; National Desk,744, Why? Because Americans don't have a clear choice.,"CAMPAIGN 2012; Santorum invokes spirit of Reagan; Likening himself to the conservative icon, he says he's the true believer in the race.",Los Angeles Times,"Religious right, Evangelicalism, Political campaigns, Endorsements, Abortion, Presidential elections, Conservatism, Primaries & caucuses"
39,"McDonnell, Patrick J; Richter, Paul","Feb 8, 2012",Main News; Part A; Foreign Desk,1158," [...] diplomats acknowledge privately that the nonmilitary strategy is likely to alter Assad's behavior only slowly at best, even as the body count from his crackdown on dissent continues to rise. [...] the question of whether to provide intelligence help, arms and money to rebels is assuming a growing urgency.",ARMING SYRIAN REBELS IS NOT YET ON TABLE,Los Angeles Times,"Human rights, Military aid, Rebellions, International relations-US -- Syria, Diplomacy"
40,"Savage, David G","Jun 1, 2012",Main News; Part A; National Desk,1029," Advocates of same-sex marriage won a major legal victory -- and greatly increased the odds of a U.S. Supreme Court showdown on the subject -- as an appeals court ruled that the government could not deny tax, Social Security and other federal benefits to gay couples who were legally married in their home states. In that case, a federal appeals court in San Francisco struck down California's Proposition 8, which had reversed the state Supreme Court's decision.",Key part of marriage act ruled invalid,Los Angeles Times,"Litigation, Same sex marriage, Couples, Joint tax returns, Equal rights, Federal court decisions, Gays & lesbians, Federal employees"
41,"Bennett, Brian","May 24, 2012",Main News; Part A; National Desk,719," [...]members of the Senate Homeland Security and Governmental Affairs Committee were concerned that these were not isolated trysts, and that the actions may be part of a larger culture of hard partying on the road that had routinely put agents at risk for coercion, blackmail and kidnapping.",THE NATION; Secret Service chief sees no pattern; Mark Sullivan tells skeptical senators the Colombia prostitute scandal was an isolated incident.,Los Angeles Times,"Scandals, Official misconduct, Prostitution, Evidence, Congressional hearings, Criminal investigations"
42,"Geiger, Kim","Mar 3, 2012",Main News; Part A; National Desk,588," Obama entered the fray Friday when he made a phone call to Sandra Fluke, a third-year Georgetown University law student, to express support after she drew Limbaugh's ire when she testified on Capitol Hill last month in favor of the administration's new rule requiring employers to offer health insurance plans that cover birth control.","All sides rebuke Limbaugh; Sponsors of his talk show, President Obama and Republicans criticize the host for insulting a Georgetown law student.",Los Angeles Times,"Birth control, Talk shows"
43,"Castellanos, Dalina","May 20, 2012",Main News; Part A; National Desk,406," The National Assn. for the Advancement of Colored People passed a resolution supporting gay marriage at a meeting of its board of directors in Miami, saying it opposed any policy or legislative initiative that ""seeks to codify discrimination or hatred into the law or to remove the constitutional rights of LGBT citizens.""",NAACP endorses same-sex marriage,Los Angeles Times,"Gays & lesbians, Civil rights, Endorsements, African Americans, Same sex marriage"
44,"Hennessey, Kathleen; Richter, Paul","Mar 27, 2012",Main News; Part A; Foreign Desk,613," In a private conversation made public by a live microphone, President Obama appeared to be putting off diplomatic talks with Russian leaders about a controversial missile defense system until after the November election, prompting quick attacks from the president's Republican rivals.",Obama's chat about defense stirs critics; He is caught on tape saying he'll have 'flexibility' on a Europe missile shield after the election.,Los Angeles Times,"International relations-US -- Russia, Missile defense, Political campaigns, Term limitations"
45,"Mostaghim, Ramin; Sandels, Alexandra","Jan 14, 2012",Main News; Part A; Foreign Desk,477, Thousands of mourners flocked to the funeral Friday of an Iranian nuclear scientist killed in a bomb blast this week that officials in Tehran blame on Western spies intent on scuttling Iran's atomic energy program.,"Iranian leader blames slaying on CIA, Israel",Los Angeles Times,"Nuclear weapons, Bombings, Uranium, Assassinations & assassination attempts"
46,"Mehta, Seema","May 5, 2012",Main News; Part A; National Desk,511," Mitt Romney, who has long staked his presidential bid on his business experience, painted a rosy picture of his definition of a successful economy on Friday, arguing that the unemployment rate should be cheered only if it is below 4%, and arguing that half a million new jobs should be created every month in a true economic recovery.","Romney criticizes job figures; Unemployment ought to be below 4% and up to half a million jobs should be created every month, he says.",Los Angeles Times,"Presidential elections, Recessions, Political campaigns, Unemployment"
47,"Hennessey, Kathleen","Apr 6, 2012",Main News; Part A; National Desk,764," Atty. Gen. Eric H. Holder Jr. told a federal appeals court that President Obama respects the Supreme Court's power to rule on the constitutionality of the nation's laws, a statement that a week ago would have seemed obvious but on Thursday appeared aimed at ending days of White House stumbling over the tricky politics of the high court. While Republicans have long motivated their base by labeling the federal courts as bastions of liberalism and ""activist judges,"" Democrats have been less comfortable on such turf. [...] recently, that is.","THE NATION; Obama and the Supreme Court; The attorney general, in a letter to a federal judge, tries to ease an uproar the president caused in remarks on the healthcare case.",Los Angeles Times,"Litigation, Public relations, Separation of powers, Attorneys general, Constitutional law, Federal court decisions, Patient Protection & Affordable Care Act 2010-US, Political parties"
48,"Bennett, Brian","Apr 5, 2012",Main News; Part A; National Desk,465," Five senior members of Al Qaeda who are accused of planning the Sept. 11, 2001, terrorist attacks will face a death penalty trial at Naval Station Guantanamo Bay this year, the Pentagon announced Wednesday.",9/11 suspects to face tribunal with new rules; Five including Khalid Shaikh Mohammed will be tried this year at Guantanamo Bay.,Los Angeles Times,"Aircraft hijacking, Terrorism, Capital punishment, Torture, Military tribunals"
49,"Mascaro, Lisa","Jun 27, 2012",LATExtra; Part AA; National Desk,620," Turnout was key as Rangel, a founding member of the Congressional Black Caucus, faced several challengers for the Democratic nomination. Since redistricting, his district includes a swath of the Bronx -- and a Latino-majority electorate.","CAMPAIGN 2012; Incumbents Hatch, Rangel beat primary challengers; The senator faced a candidate from the right; the congressman a brand-new district.",Los Angeles Times,"Congressional elections, Primaries & caucuses, Voter behavior, Election results"
50,"White, Ronald D","Mar 21, 2012",Business; Part B; Business Desk,639," To achieve that, the project's experts will visit several cities, bringing studies about the export potential of various regions, sharing best export practices with local leaders and business owners, and building an international network of trade contacts.",TRADE; Program to boost exports launches; The project's message is that U.S. growth will come from selling to overseas customers.,Los Angeles Times,"US exports, Initiatives, Economic growth, Metropolitan areas"
51,"Geiger, Kim","May 24, 2012",LATExtra; Part AA; National Desk,627," Emails and meeting transcripts obtained from the Pentagon and CIA through a Freedom of Information Act lawsuit by the conservative watchdog group Judicial Watch suggest that officials went out of their way to assist the filmmakers, while trying to keep their cooperation from becoming public.","'Vault' opened for Bin Laden film; Pentagon and CIA went out of their way to help filmmakers, documents show.",Los Angeles Times,"Motion pictures, Meetings, Documentary films, Motion picture directors & producers, Classified information, Raids, Assassinations & assassination attempts"
52,"Lee, Don","Mar 17, 2012",Business; Part B; Business Desk,754," The drop ended six straight months of gains and was driven entirely by diminished optimism about the future. [...] the Michigan survey showed consumers' expectations for one-year inflation rose to 4% from 3.3% -- an increase that, if sustained, could influence their spending behavior and thus the actual inflation rate.",THE ECONOMY; Gas price run-up crimps recovery; A fuel cost surge has contributed to higher inflation and a drop in consumer confidence.,Los Angeles Times,"Economic statistics, Economic recovery, Inflation, Economic forecasts, Gasoline prices"
53,,"Dec 22, 2011",LATExtra; Part AA; National Desk,86,,LATE BRIEFING / NEW HAMPSHIRE; Romney's take on Obama uncle,Los Angeles Times,
54,"Gold, Matea; Mason, Melanie","Feb 8, 2012",Main News; Part A; National Desk,812," ""[...] said veteran Hollywood fundraiser Andy Spahn in a one-word email.",Obama's 'super PAC' alliance will test donors,Los Angeles Times,"Presidential elections, Campaign contributions, Candidates, Political action committees--PAC, Political finance, Fund raising"
55,,"Jan 12, 2012",Main News; Part A; Editorial Desk,447," State-sponsored extrajudicial killing is a serious violation of international law, and car-bomb assassination is a tactic little different from the methods used by terrorists.",How far is too far on Iran?; The car-bomb death of a nuclear scientist raises important questions about targeted assassinations.,Los Angeles Times,"Editorials -- Assassinations & assassination attempts, Nuclear weapons, Assassinations & assassination attempts, Scientists"
56,"Verrier, Richard","Jan 21, 2012",Business; Part B; Business Desk,898," The Obama administration angered many studio executives last Saturday by releasing a statement that criticized aspects of SOPA and PIPA even after sponsors of the bills agreed to remove the most controversial provision, which would have enabled Internet service providers to block access to foreign websites engaged in piracy.",COMPANY TOWN; Hollywood regroups after losing fight over anti-piracy legislation; The entertainment industry will likely be forced to accept a much weaker law.,Los Angeles Times,"Public relations, Piracy, Bills, Internet, Web sites"
57,,"Jan 13, 2012",Main News; Part A; Letters Desk,1201,,LETTERS,Los Angeles Times,
58,"Morrison, Patt","Feb 4, 2012",Main News; Part A; Editorial Desk,1311," Every presidential campaign turns out to be a quadrennial godsend for editorial cartoonists, but for Lalo Alcaraz, 2012 is a jubilee year. Herman Cain, chowing down at a Miami restaurant, asks, ""How do you say 'delicious' in Cuban?"" Newt Gingrich uses ""bilingual education"" and ""language of living in a ghetto"" in the same sentence.",PATT MORRISON ASKS / LALO ALCARAZ; Pocho pundit,Los Angeles Times,"Cartoonists, Political campaigns, Presidential elections, Hispanic Americans, Bilingual education, Coaches & managers"
59,"Daum, Meghan","Dec 15, 2011",Main News; Part A; Editorial Desk,782," Since she didn't elaborate, we can only assume this refers to stealing from the cookie jar or refusing to hand over the remote control during ""Full House.""",The 'hot mess' of politics,Los Angeles Times,"Presidential elections, Scandals, Political campaigns, Candidates, Political finance"
60,"Memoli, Michael A","May 30, 2012",Main News; Part A; National Desk,1353," At the Obama for America campaign store, an online visitor can buy ""Morning Joe"" coffee mugs (featuring the grinning face of a man who rarely lacks energy), ""BFD"" T-shirts (memorializing one of the vice president's more famous off-color lines) or the whole ""Joe Biden Pack"" available ""by popular demand"" for $30. Biden's initial deployments this year, for a series of speeches on key issues -- the auto industry bailout, manufacturing, tax fairness, retirement security and national security -- have been considered largely successful at Obama's Chicago headquarters.",CAMPAIGN 2012; Just an average Joe?; Obama's reelection effort is relying on the vice president's everyman appeal in battleground states.,Los Angeles Times,"Presidential elections, Candidates"
61,"Reston, Maeve","Dec 13, 2011",LATExtra; Part AA; National Desk,393," Vietnam veteran Bob Garon waited more than two hours at a Manchester diner Monday to get Mitt Romney's views on the proposed repeal of New Hampshire's law permitting gay marriage, but he did not like what he heard.",Romney and gay veteran argue over marriage law,Los Angeles Times,"Gays & lesbians, Same sex marriage"
62,"Williams, Carol J","Dec 23, 2011",LATExtra; Part AA; Metro Desk,816," Only Congress can impeach a president, and any citizen petition for a common-law writ to initiate an inquiry into the legitimacy of the president would have to be brought through the federal court in Washington, D.C., the 9th Circuit panel noted. Because the courts are constitutionally barred by the separation of powers doctrine from ruling on a president's eligibility to hold office, the three-judge panel -- all appointees of Democratic presidents -- declined to review any of the materials the plaintiffs hauled to the Pasadena hearing to prove Obama's documents were counterfeit.",Judges reject 'birther' lawsuit; A 9th Circuit panel rules against plaintiffs who claim Obama was born in Africa.,Los Angeles Times,"Federal court decisions, Judges & magistrates, Court hearings & proceedings"
63,"Hiltzik, Michael","May 9, 2012",Business; Part B; Business Desk,1210," There a Tory-led coalition government cannonballed into the austerity pool without any prompting from the European Union, cutting government spending 20% across the board. The result is a double-dip recession and a recovery rate far below that of the U.S., where the White House and congressional Democrats put the kibosh on the most draconian austerity proposals coming from the GOP.",Europe's vote has lessons for U.S.,Los Angeles Times,"Economic policy, Elections, Election results"
64,"Romney, Lee; Gordon, Larry","Mar 29, 2012",LATExtra; Part AA; Metro Desk,765," The court is not persuaded that either the Legislature or the California Supreme Court intended [the law protecting officer information] to apply whenever public entities investigated law enforcement policies, procedures or actions,"" Grillo wrote, ""and to preclude all public entities from disclosing the results of those investigations if they touched on the conduct of individual police officers.","UC Davis report to be made public; Pepper-spraying review should not be sealed, judge rules, rejecting police union's reasoning.",Los Angeles Times,"Campus police, Information dissemination, Court decisions, Right of privacy, Police brutality, Public access"
