,author,date,section,word_count,abstract,headline,source,subjects
10,,"Oct 14, 2012",Main News; Part A; National Desk,115,,NATIONAL BRIEFING; NEW YORK; 'Barak' Obama on the ballot,Los Angeles Times,
11,,"Sep 23, 2012",Travel; Part L; Travel Desk,857,,LETTERS,Los Angeles Times,
12,"Puzzanghera, Jim","Oct 25, 2012",Business; Part B; Business Desk,1288," The financial industry has poured more than $6.2 million in contributions into the U.S. Senate race in Massachusetts between incumbent Republican Scott Brown and Democratic challenger Elizabeth Warren, who has made the fight against Wall Street greed and corruption a cornerstone of her campaign. [...]he was one of three Republicans to support the sweeping 2010 overhaul of financial regulations, providing the final pivotal vote that secured its passage over the strenuous lobbying of Wall Street. [...]Brown refused to join nearly all his Republican Senate colleagues in blocking the confirmation of a director for the new Consumer Financial Protection Bureau.",ELECTION 2012; Wall Street firms back Elizabeth Warren's rival,Los Angeles Times,"Fund raising, Campaign contributions, Congressional elections -- Massachusetts, Political finance"
13,,"Sep 2, 2012",Sunday Calendar; Part E; Calendar Desk,568, The Light Between Oceans by M.L. Stedman (Scribner: 3 $25) An Australian lighthouse keeper and his wife take in a baby washed ashore in a boat. 10.,"BOOK REVIEW; BESTSELLERS / LOS ANGELES TIMES / Sept. 2, 2012",Los Angeles Times,
14,,"Aug 17, 2012",Main News; Part A; Letters Desk,1243,,LETTERS,Los Angeles Times,
15,,"Sep 1, 2012",Calendar; Part D; Entertainment Desk,1133,,LETTERS; Marveling at giant small steps continues,Los Angeles Times,
16,"Gordon, Larry","Oct 14, 2012",Main News; Part A; Metro Desk,1025," Because if tuition keeps going up, it's going to get tougher and tougher every year for college students,"" Jimenez, 22, a computer information systems major, said after he filled out a registration form during a recent campus event.",Prop. 30 inspires student voter drives; Gov. Jerry Brown's tax hike proposal is being touted as the only way to avoid tuition hikes.,Los Angeles Times,"Voter registration, Sales taxes, College students, Referendums, Voter behavior, Tuition, Tax increases"
17,"Hamilton, Walter; Pfeifer, Stuart","Sep 12, 2012",Business; Part B; Business Desk,838," In one of the largest whistle-blower cases in U.S. history, the federal government is paying that amount to a globe-trotting banker who once smuggled a client's diamonds in a toothpaste tube to avoid detection by tax authorities. The tax-avoidance issue has even emerged as a focal point in the presidential race given Mitt Romney's previous use of a Swiss bank account. [...]a government crackdown in recent years caused in part by Birkenfeld's disclosure of widespread tax cheating, wealthy people frequently engaged in questionable activities to slash their tax bills, said Steven Rosenthal, a visiting fellow at the nonprofit Tax Policy Center in Washington.",FINANCE; Big reward for revealing tax schemes; A banker who helped clients avoid taxes gets $104 million for blowing the whistle.,Los Angeles Times,"Tax avoidance, Disclosure, Whistleblowing, Settlements & damages, Conspiracy, Criminal pleas"
18,"Bloomekatz, Ari","Jul 26, 2012",LATExtra; Part AA; Metro Desk,461," ""Without doing a Title VI analysis, it is impossible to know if there were changes that resulted in disparate impacts,"" said Dan Levy, director of Metro's division of civil rights programs compliance, referring to a study of whether the cuts in service were unjust to riders.",CALIFORNIA; Protesters decry cuts to bus service,Los Angeles Times,"Mass transit, Civil rights, Violations, Demonstrations & protests -- Los Angeles California, Buses"
19,"Parker, Ned; Abdellatif, Reem","Sep 23, 2012",Main News; Part A; Foreign Desk,1144," [...]two days after the protests, recently elected Egyptian President Mohamed Morsi offered a similar conciliatory communique.",A Brotherhood divided,Los Angeles Times,"International relations-US -- Egypt, Foreign policy -- United States--US, Presidential elections, Leadership, Debt cancellation, Islamism"
20,,"Oct 11, 2012",Business; Part B; Business Desk,250," Solar companies in both countries are suffering from a lack of global demand for their products, even as President Obama looks to renewable energy to create jobs and reduce U.S. dependence on oil.",U.S. affirms tariffs on solar panels; Steep duties on low-cost Chinese imports are aimed at boosting the U.S. solar industry.,Los Angeles Times,"Solar energy, Price cuts, International trade"
21,"Magnier, Mark","Sep 11, 2012",Main News; Part A; Foreign Desk,798," India finds itself in the middle of a new free-speech controversy after authorities arrested cartoonist and anti-corruption activist Aseem Trivedi on sedition charges over the weekend after he posted caricatures of India's Constitution, Parliament and the national emblem on a social networking site.",Outcry over cartoonist in India; Aseem Trivedi's works have landed him in jail and sparked a free-speech controversy.,Los Angeles Times,"Arrests, Cartoonists, Freedom of speech, Social networks, Treason"
22,"James, Meg","Aug 15, 2012",Calendar; Part D; Entertainment Desk,1036," [...]King had been giving inspirational speeches in far-flung countries, doing an occasional stand-up comedy routine and taping a few TV specials for CNN. Awake at 6 a.m. A breakfast of Cheerios, blueberries, 2% milk and half a corn muffin , ""burnt,"" at 8:45 a.m. When he hosted a radio talk show in Miami, it ran from 9 a.m. to noon.","Back in the game; After 25 years at CNN and a few mostly off, veteran broadcaster Larry King is ready to do more talking -- on the Internet this time",Los Angeles Times,"Interviews, Television programs, Talk shows, Internet"
23,,"Aug 15, 2012",Calendar; Part D; Entertainment Desk,66,,QUICK TAKES; Woodward on economic crisis,Los Angeles Times,
24,"Issenberg, Sasha","Nov 6, 2012",Main News; Part A; Editorial Desk,898," Would-be voters weighed the relative costs of voting (learning about the candidates, traveling to polling places, waiting in line) against the benefits (the chance that their votes would be pivotal in swinging an election in the direction that would afford them material benefits). Experimenters -- many aligned with the Analyst Institute, a think-tank-cum-secret-society that conducts electoral experiments for the left's top institutions, including the Obama campaign -- discovered that it was possible to increase turnout simply by talking up voting as a popular activity or addressing reminders to ""the type of person who votes.""",Why do we vote?,Los Angeles Times,"Presidential elections, Voting, Voter behavior"
25,"Shaikin, Bill; Baxter, Kevin; Dillman, Lisa; Elliott, Helene","Aug 11, 2012",Special Section; Part V; Sports Desk,535,,LONDON 2012: THE SUMMER OLYMPICS; NOTES; USC runner is flag bearer,Los Angeles Times,
26,"Puzzanghera, Jim; Memoli, Michael A","Sep 18, 2012",Main News; Part A; Business Desk,1218," The Obama administration launched a new enforcement action Monday with the World Trade Organization, alleging that China was illegally subsidizing exports of automobiles and auto parts.","CAMPAIGN 2012; U.S., China tensions heat up over trade; Washington alleges Beijing is illegally subsidizing exports of autos as both nations file WTO complaints.",Los Angeles Times,"Complaints, Presidential elections, Exports, Political campaigns, International trade"
27,"Bennett, Brian; Nelson, Laura J","Aug 16, 2012",Main News; Part A; National Desk,729," Gay rights groups have called for a boycott of Chick-fil-A because its chief executive took a public stance against gay marriage, and the Family Research Council has supported Chick-fil-A.",Guard shot at conservative group; The incident at the Family Research Council may be linked to Chick-fil-A dust-up.,Los Angeles Times,"Murders & murder attempts, Shootings, Gays & lesbians, Law enforcement, Same sex marriage"
28,,"Oct 28, 2012",Main News; Part A; National Desk,101,,NATIONAL BRIEFING; IOWA; Newspaper endorses Romney,Los Angeles Times,
29,,"Aug 7, 2012",LATExtra; Part AA; National Desk,156, President Obama signed a bill Monday promising health benefits for Marines and families who were exposed to contaminated water at a military base for decades.,Obama signs bill to aid Marines in water case,Los Angeles Times,"Presidents, Bills, Federal legislation"
30,,"Oct 28, 2012",Sunday Calendar; Part D; Calendar Desk,639," During the GOP primaries, Mitt Romney continually touted his purported ""electability"" -- that is, voters' perception of his candidacy's value -- as distinct from his worthiness as a potential president.",FEEDBACK; Debate over Bill Maher,Los Angeles Times,"Politics, Actors, Primaries & caucuses, Candidates"
31,"Romney, Lee","Jul 9, 2012",LATExtra; Part AA; Metro Desk,1160," The Academy of Art University has snatched up nine apartment buildings and former hotels in the enclave, converting them into dorms for students who pack the neighborhood's cafes and linger on the sidewalks to smoke and skateboard. (A fleet of private buses picks students up and drops them at classrooms throughout town.) The conversions largely took place without required city permits.",S.F. may urge the building of dorms,Los Angeles Times,"Dormitories, Bans, Colleges & universities, College students, Rent control, Apartments, City ordinances"
32,,"Oct 17, 2012",Main News; Part A; Letters Desk,1260," The long view of our schools Re ""Some are in denial about precarious state of schools,"" Column, Oct. 14 The voter reactions to the crisis in school funding described by Steve Lopez remind me of my daughter's response years ago when I told her we couldn't afford something: ""Why don't you just write a check?"" My two daughters were in high school in the South Bay when Proposition 13 was passed in 1978. Just as President Obama's mini-Dream Act is no substitute for comprehensive immigration reform, Proposition 30 is no substitute for the Legislature and governor actually governing by developing comprehensive education reform.",A skewed picture,Los Angeles Times,"Schools, Food, Genetically altered foods, Education reform"
33,"Kim, Victoria; Garrison, Jessica","Sep 28, 2012",LATExtra; Part AA; Metro Desk,805," Because of his use of aliases, he was able to deceive people into working on the film without realizing they were dealing with a convicted felon, Dugdale told the judge.",Man behind film attacking Islam is ordered detained,Los Angeles Times,"Violations, Video recordings, Motion picture directors & producers, Perjury, Parole & probation"
34,"Cloud, David S","Sep 18, 2012",LATExtra; Part AA; Foreign Desk,449, Beijing fears the expanding U.S. ballistic missile defense system in the Pacific could degrade the deterrent value of its arsenal.,"Panetta set to meet Chinese vice president; Xi Jinping, expected to be the nation's next leader, had canceled talks with Clinton.",Los Angeles Times,"International relations-US -- China, Missile defense"
35,"Chea, Terence","Sep 23, 2012",Main News; Part A; News Desk,840," The recently opened installation owes its 1,368 distinctive glass rods, and its name, to Solyndra -- the failed solar company that received a hefty sum in federal loan guarantees before going bankrupt and becoming a favorite target for critics of President Obama's energy policy. In a party-line vote, House Republicans pushed through legislation that would phase out federal loan guarantees such as the one Solyndra received.",Solyndra cylinders aglow with new purpose; UC Berkeley's botanical garden displays a sculpture of unused tubes from the solar-energy firm.,Los Angeles Times,"Guaranteed loans, Bankruptcy reorganization, Bills, Bankruptcy"
36,"Chu, Henry","Aug 20, 2012",Main News; Part A; Foreign Desk,424," In his first public appearance since seeking diplomatic refuge, WikiLeaks founder Julian Assange on Sunday called on the U.S. to end its ""war on whistle-blowers"" and to release Bradley Manning, the American soldier accused of passing thousands of classified documents to Assange's secret-spilling website.",THE WORLD; Assange tells U.S. to end 'war on whistle-blowers'; The Australian also calls for the release of the American soldier accused of providing classified information.,Los Angeles Times,"Diplomatic & consular services, Political asylum, Sex crimes, Whistleblowing, Extradition"
37,,"Sep 19, 2012",Main News; Part A; Editorial Desk,594," GOP presidential nominee Mitt Romney's secretly recorded comments about Americans who don't pay income taxes and Palestinians who don't want peace may finally convince Republicans that he's as conservative as he claims to be. [...]while it's not unreasonable to propose that everyone pay at least some tax on incomes, it's worth remembering that the vast majority of Americans pay federal taxes in one form or another, such as gasoline or Social Security taxes.","Romney, unscripted",Los Angeles Times,"Editorials -- Romney, W Mitt, Video recordings, Political campaigns, Income taxes, Presidential elections, Peace negotiations"
38,,"Jul 9, 2012",Main News; Part A; National Desk,457," Edward Weidenbener, a World War II veteran who had voted for Mitt Romney in the Republican presidential contest, said he was surprised by the rules and the consequences.","ID laws could block thousands of 2012 voters; In Indiana, a World War II veteran's primary ballot for Romney was thrown out because of the state's new standards.",Los Angeles Times,"Presidential elections, REAL ID Act 2005-US, Primaries & caucuses"
39,"Mason, Melanie","Oct 19, 2012",Main News; Part A; National Desk,940," Crossroads GPS, the U.S. Chamber of Commerce, the YG Action Fund, the American Action Network and its super PAC affiliate the Congressional Leadership Fund -- have committed at least $35 million to help GOP candidates in the final three weeks of their House races. Whereas candidates for federal office pay a television station's lowest commercial rate, outside groups pay market rates, which have been increasing as demand has soared.",Republicans' ad blitz hits congressional campaigns,Los Angeles Times,"Congressional elections, Political advertising, Political finance"
40,,"Jul 1, 2012",Sunday Calendar; Part E; Calendar Desk,568, Rules of Civility by Amor Towles (Viking: $26.95) A 41 year in the social life of three young adults set in Jazz Age New York City.,"BOOK REVIEW; BESTSELLERS / LOS ANGELES TIMES / July 1, 2012",Los Angeles Times,
41,,"Aug 24, 2012",Calendar; Part D; Entertainment Desk,80,,QUICK TAKES; First lady heads to 'Dr. Oz',Los Angeles Times,
42,"Linthicum, Kate","Jul 19, 2012",LATExtra; Part AA; Metro Desk,1221," [...]while elected leaders have taken pains to keep the group from returning, recently strengthening rules against camping in parks, activists insist there is nothing to worry about. Since early June, protesters have been training their cross hairs on the Central City Assn., a downtown business group that represents local shop owners but also large corporations and banks. Sixteen-year-old protester Isaac Badger said he thinks the group is now getting it right by targeting the Central City Assn. and the downtown business district, where the U.S. Bank building and other skyscrapers light up the skyline.",Occupy protesters shift target; Activists see a downtown L.A. business group as using its money to negatively influence city policy.,Los Angeles Times,"Meetings, Cities, Municipal government, Demonstrations & protests -- Los Angeles California"
43,"Landsberg, Mitchell","Aug 30, 2012",Special Section; Part U; National Desk,634," [...]other than a videotaped message delivered Wednesday night, neither he nor his father, former President George H.W. Bush, has had any place at all.",ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; Bush gets the cold shoulder from his party,Los Angeles Times,"Presidents, Presidential elections, Public opinion, Candidates, Political conventions, American history"
44,"Mehta, Seema","Aug 29, 2012",Special Section; Part U; National Desk,722," [...]Romney received more than 2,000 votes, easily securing the nomination, while Paul received just under 200.",ELECTION 2012 / THE REPUBLICAN NATIONAL CONVENTION; Paul's army fights to the end; His fiercely loyal supporters try to put the Texan's name into consideration.,Los Angeles Times,"Presidential elections, Political conventions, Nominations, Political campaigns, Primaries & caucuses"
45,"Kaufman, Amy","Aug 27, 2012",Calendar; Part D; Entertainment Desk,685," The movie, written and directed by its star Birbiglia and produced by Glass, is loosely based on Birbiglia's struggles with sleepwalking as he traveled on the road trying to make it as a stand-up comedian. -- amy.kaufman@latimes.com -- BEGIN TEXT OF INFOBOX BOX OFFICE Estimated sales in the U.S. and Canada: -- Movie (Studio) 3-day gross(millions) Percentage change from last weekend Total (millions) Days in release 1 The Expendables 2 (Lionsgate/Millennium) $13.5 -53% $52.3 10 2 The Bourne Legacy (Universal/Relativity) $9.3 -46% $85.5 17 3 ParaNorman (Focus/Laika) $8.5 -39% $28.3 10 4 The Campaign (Warner Bros.) $7.4 -43% $64.5 17 5 The Dark Knight Rises (Warner Bros./Legendary) $7.2 -35% $422.2 38 6 The Odd Life of Timothy Green (Disney) $7.1 -34% $27.1 12 7 Premium Rush (Sony) $6.3 NA $6.3 3 8 2016:","Call them 'Dependables'; Aging action stars keep 'Expendables 2' at No. 1, while four debut films struggle to gain attention.",Los Angeles Times,"Motion pictures, Ticket sales"
46,"Landsberg, Mitchell; Reston, Maeve","Aug 24, 2012",Main News; Part A; National Desk,687," The measure, part of the agreement to raise the national debt ceiling, set in motion $1.2 trillion in federal budget cuts -- to be divided roughly equally between defense and domestic programs -- that would go into effect only if the administration and Congress failed to agree on an alternate plan to reduce the federal deficit.","Ryan defends his vote for military cuts; The Republican objected to the measure in the 2011 budget bill, he said.",Los Angeles Times,"Presidential elections, Negative campaigning, Defense contracts, National security, Political campaigns, Federal budget, Defense spending, National debt"
47,,"Aug 1, 2012",Main News; Part A; Editorial Desk,469," Just last week, World Bank economist John Nasir wrote that ""no state can be successful without a sustainable, private sector-led economy and this is simply not achievable under the heavy restrictions that the government of Israel imposes on movement and access to resources such as land, water and the electromagnetic spectrum required for modern telecommunications.""","Pandering on the world stage; Mitt Romney's comments in Israel, designed to win over voters, were unfortunate and unhelpful.",Los Angeles Times,"Foreign policy, Editorials -- Romney, W Mitt, International relations-US, Political campaigns, Palestinians"
48,"McGreevy, Patrick","Aug 18, 2012",LATExtra; Part AA; Metro Desk,718, The lawmaker has tried unsuccessfully for several years to pass legislation that would grant driver's licenses to illegal immigrants and was poised to reintroduce a bill to help clarify the DMV's authority.,DMV ponders licenses for immigrants who get reprieve,Los Angeles Times,"Licenses, Deportation, Aliens, Bills, Drivers licenses"
49,"Gold, Matea; Tanfani, Joseph","Sep 25, 2012",Main News; Part A; National Desk,1636," ""Barack Obama said he wanted it resolved and he wanted to do good things for Indian country to address the injustices that had happened,"" said Interior Secretary Ken Salazar, whose department oversees most Indian affairs. [...]Obama's election, ""what the United States has done is essentially taken a position that Indian country is something to almost be forgotten,"" Salazar said.","Indian tribes bet on Obama; Native Americans say they've found an ally, and they're using income from casinos to back his campaign.",Los Angeles Times,"Presidential elections, Politics, Native North Americans, Mineral rights, Voter behavior"
50,"Tangel, Andrew; Lazo, Alejandro","Oct 2, 2012",Business; Part B; Business Desk,700, JPMorgan Chase & Co. has become the first target of a Justice Department task force set up this year to hold big Wall Street banks accountable for their role in the financial crisis.,COURTS; JPMorgan is targeted by U.S. task force; A lawsuit says bank should be liable for fraud and contributing to the financial crisis.,Los Angeles Times,"Litigation, Fraud, Economic crisis, Corporate liability, Statutes of limitations, Investment bankers, Mortgages, Attorneys general, Criminal investigations"
51,"Lauter, David","Sep 7, 2012",Special Section; Part U; National Desk,977," ""Today, of all the major industrial nations of the world, America has the strongest economic growth; one of the lowest inflation rates; the fastest rate of job creation ... and the largest increase in real, after- tax personal income since World War II,"" Reagan proclaimed. A new tower rises above the New York skyline, Al Qaeda is on the path to defeat, and Osama bin Laden is dead.""",ELECTION 2012 / THE DEMOCRATIC NATIONAL CONVENTION; NEWS ANALYSIS; A sweeping theme concludes the night,Los Angeles Times,"First ladies, Citizenship, Unemployment, Political campaigns, Presidential elections, Political conventions"
52,"Marcum, Diana","Nov 4, 2012",Main News; Part A; Metro Desk,1309," If he wins Tuesday's election, said longtime Stockton political columnist Michael Fitzgerald, the big question becomes: ""Can he effect change, or is Stockton where a promising young man's dreams go to die?"" Times are dark in this port city of almost 300,000. Despite that honor and a 4.3 grade-point average in an advanced studies program, Tubbs' high school counselors suggested he apply only to nearby Sacramento State or a community college.","Stockton candidate never forgot where he's from; Michael Tubbs, 22, is back from Stanford and the White House to run for council.",Los Angeles Times,"Violent crime, Candidates, Local elections -- Stockton California, Bankruptcy"
53,"Lee, Don","Jul 16, 2012",Main News; Part A; Business Desk,1210,,"MONDAY BUSINESS; Newly created jobs go mostly to men; Post-recession, they're filling more of the positions that women typically dominated.",Los Angeles Times,"Gender equity, Recessions, Income inequality"
54,"Hiltzik, Michael","Sep 9, 2012",Business; Part B; Business Desk,1615," GOP vice presidential candidate Paul Ryan has proposed converting Medicaid from a traditional reimbursement program into a block grant, through which states would get a lump sum from Washington to spend on beneficiaries as they please; this plan was part of the budget passed this year by the GOP House and has been endorsed, at least implicitly, by Mitt Romney's presidential campaign.",Know what cutting Medicaid would do,Los Angeles Times,"Presidential elections, Patient Protection & Affordable Care Act 2010-US, Political campaigns, Medicaid, Uninsured people"
55,"Zimmerman, Jonathan","Sep 7, 2012",Main News; Part A; Editorial Desk,908," Whereas other voucher programs let kids attend private schools with government funding, Romney's plan would also allow them attend public schools outside of their own districts. To Jencks, who crafted a 1970 report on the subject for Richard Nixon's White House, vouchers could help equalize American education if public as well as private schools were required to admit a certain fraction of low-income students.",Romney's radical vision,Los Angeles Times,"Educational vouchers, Low income groups, Public schools, Education reform"
56,"Daum, Meghan","Sep 6, 2012",Main News; Part A; Editorial Desk,990," For all the charm of Ann's memories of the basement apartment she and Mitt occupied as newlyweds (the desk that was a door on sawhorses, the fold-out ironing board as dining table, the empty chair they occasionally held conversations with ... oh, wait), Michelle's forthright comments about the Obamas' combined student loan debt exceeding their monthly mortgage payments rang far truer.",Michelle Obama's traditional values,Los Angeles Times,"Presidential elections, First ladies, Political campaigns, Political conventions, Speeches"
57,"Gold, Scott","Aug 19, 2012",Main News; Part A; Entertainment Desk,1780," Last year, Calvin LeBrun, a noted hip-hop figure known as Mister Cee, pleaded guilty to loitering after he was caught receiving oral sex from another man in a parked car; 50 Cent, who once suggested in a Tweet that gay men should kill themselves, stood publicly by his side. In May, after President Obama announced his support for same-sex marriage, some of the most vociferous criticism came from African American and Latino religious leaders.",Hip-hop artists change tune on gay rights,Los Angeles Times,"Musicians & conductors, Bible, Gays & lesbians, Hip hop music, Same sex marriage"
58,"Kim, Victoria; Sewell, Abby; Garrison, Jessica","Oct 3, 2012",Main News; Part A; Metro Desk,1058," [...]the sequence of events looks very much as though this man has been arrested and held on account of his producing a film,"" said Michael W. McConnell, a former judge on the U.S. Court of Appeals for the 10th Circuit who now directs the Stanford Constitutional Law Center.","Some question jailing of film's creator; Free speech advocates worry 'Innocence of Muslims,' not alleged probation violations, prompted detention.",Los Angeles Times,"Imprisonment, Freedom of speech, Court hearings & proceedings, Federal court decisions, Parole & probation, Motion pictures -- Innocence of Muslims"
59,,"Nov 1, 2012",Main News; Part A; Letters Desk,1249,,LETTERS,Los Angeles Times,
60,"Watanabe, Teresa","Oct 29, 2012",LATExtra; Part AA; Metro Desk,1287," Academic Growth Over Time, as the district calls it, is based on students' progress on standardized test scores. In 2010, Cochran's years of low test scores resulted in placement on the district's list of campuses eligible for takeover by charter schools or other groups with a credible improvement plan.\n",Do test scores depict whole teacher?; LAUSD's Academic Growth Over Time evaluation system spurs intense debate.,Los Angeles Times,"Teacher evaluations, Academic achievement, School districts, Learning, Standardized tests, Mathematics education"
61,"Dilanian, Ken","Nov 3, 2012",Main News; Part A; Foreign Desk,1098," Republican senators including John McCain of Arizona wrote an op-ed article, published Thursday in the Washington Times, in which they called on Obama to answer whether ""any member of the U.S. government, including senior administration officials, reject[ed] requests for greater military and intelligence assistance for our personnel on the ground in Benghazi.""",Criticism on Libya attack countered; U.S. officials issue a detailed response to reports alleging gross negligence in deadly Benghazi incident.,Los Angeles Times,"Foreign policy, Terrorism, Public opinion, Special forces"
62,"Mason, Melanie; Hennessey, Kathleen","Jul 13, 2012",Main News; Part A; National Desk,784," Bain filed documents with the Securities and Exchange Commission as late as 2002 that identified Romney as the ""sole stockholder, chairman of the board, chief executive officer, and president."" [...]financial disclosure forms in Massachusetts show Bain paid Romney at least $100,000 in salary in 2001 and 2002, according to a report Thursday in the Boston Globe.","Obama camp focuses on Romney, Bain; The dispute over how long his rival ran the firm diverts attention from criticism of the president's record.",Los Angeles Times,"Corporate raiders, Disclosure, Chief executive officers, Negative campaigning, Olympic games, Political campaigns, Presidential elections"
63,,"Oct 17, 2012",Main News; Part A; Editorial Desk,381," In our view, the Department of Homeland Security deserves praise for fulfilling its pledge to hold immigration jailers like Baca accountable and for imposing standards to ensure that the tens of thousands of immigrants incarcerated across the country, including asylum seekers, are being treated fairly and humanely. [...]Homeland Security's request to investigate deputies' use of force against detainees is off-limits because it could conflict with the California Peace Officer's Bill of Rights that protects deputies' personnel records, according to the department.",Detention standards or else,Los Angeles Times,"Shutdowns, Immigration policy, Editorials -- Detention centers, Aliens, Detention centers"
64,"Banks, Sandy","Sep 15, 2012",Main News; Part A; Metro Desk,1002," [...]why was I surprised -- and annoyed -- when his recent status messages in my Facebook news feed featured a thumbs-up for ""Things Liberals Hate,"" a snarky ""NObama"" meme, and a shout-out to the host of a fundraiser for Mitt Romney? Because Facebook has become a political battleground -- with the civic pretension of a campaign town hall and the clumsy incivility of a brewing street brawl. According to a Pew Research Center poll -- taken last spring, even before the campaign heated up -- almost 30% of avid Facebook users have taken that approach: blocking, unfriending or hiding someone's post because they're politically poles apart.\n",In-your-Facebook politics; People assume they have a lot in common with their social network 'friends.' The election is causing many to find they don't always click.,Los Angeles Times,"Presidential elections, Politics, Political campaigns, Social networks, Political activism"
65,"Lopez, Ricardo; Pierson, David","Oct 10, 2012",Business; Part B; Business Desk,965," On Monday, a House Intelligence Committee report said the federal government should ""view with suspicion"" attempts by two Chinese telecommunications companies, Huawei Technologies Co. and ZTE Corp., to expand in the U.S. The yearlong investigation by the committee concluded there is a strong risk the two firms would aid spying and cyber theft by China.","FOREIGN INVESTMENT; Chinese firms pouring cash into state; They invested $1.3 billion in California companies from 2000 to 2011, but the region can do better, a new study says.",Los Angeles Times,"Studies, Foreign investment"
